| Government | Haiti |
| --- | --- |
| Country name: | conventional long form: Republic of Haiti |
| Country name: | conventional short form: Haiti |
| Country name: | local short form: Haiti |
| Country name: | local long form: Republique d'Haiti |
| Government type: | elected government |
| Capital: | Port-au-Prince |
| Administrative divisions: | 9 departments (departements, singular - departement); Artibonite, Centre, Grand 'Anse, Nord, Nord-Est, Nord-Ouest, Ouest, Sud, Sud-Est |
| Independence: | 1 January 1804 (from France) |
| National holiday: | Independence Day, 1 January (1804) |
| Constitution: | approved March 1987; suspended June 1988 with most articles reinstated March 1989; in October 1991 government claimed to be observing the constitution; returned to constitutional rule in October 1994 |
| Legal system: | based on Roman civil law system; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Interim President Boniface ALEXANDRE (since 29 February 2004) |
| Executive branch: | note: Jean-Bertrand ARISTIDE resigned as president on 29 February 2004; ALEXANDRE, as Chief of the Supreme Court, constitutionally succeeded Aristide |
| Executive branch: | head of government: Interim Prime Minister Gerald LATORTUE (since 12 March 2004), chosen by extraconstitutional Council of Eminent Persons representing cross-section of political and civic interests |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president |
| Executive branch: | election results: Jean-Bertrand ARISTIDE elected president; percent of vote - Jean-Bertrand ARISTIDE 92% |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 26 November 2000 (next to be held in November 2005); prime minister appointed by the president, ratified by the National Assembly |
| Legislative branch: | bicameral National Assembly or Assemblee Nationale consists of the Senate (27 seats; members elected by popular vote to serve six-year terms; one-third elected every two years) and the Chamber of Deputies (83 seats; members are elected by popular vote to serve four-year terms); note - the National Assembly stopped functioning in January 2004 when the terms of all Deputies and two-thirds of sitting Senators expired; no replacements have been elected; the Prime Minister is currently ruling by decree |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - FL 26, independent 1; Chamber of Deputies - percent of vote by party - NA%; seats by party - FL 73, MOCHRENA 3, PLB 2, OPL 1, vacant 1, other minor parties and independents 3 |
| Legislative branch: | elections: Senate - last held for two-thirds of seats 21 May 2000 with runoffs on 9 July boycotted by the opposition; seven seats still disputed; election for remaining one-third held on 26 November 2000 (next to be held in 2004); Chamber of Deputies - last held 21 May 2000 with runoffs on 30 July boycotted by the opposition; one vacant seat rerun 26 November 2000 (next to be held in November 2005) |
| Judicial branch: | Supreme Court or Cour de Cassation |
| Political parties and leaders: | Alliance for the Liberation and Advancement of Haiti or ALAH [Reynold GEORGES]; Assembly of Progressive National Democrats or RDNP [Leslie MANIGAT]; Convention for Democratic Unity or KID [leader Evans PAUL]; Democratic Convergence (opposition coalition composed of KID, KONAKOM, OPL, PANPRA, RNDP, MIDH, and MOCHRENA) [Evans PAUL, Victor BENOIT, Edgard LEBLANC, Serge GILLES, Leslie MANIGAT, Marc BAZIN, Luc MESADIEU]; Democratic Movement for the Liberation of Haiti or MODELH [Francois LATORTUE]; Grand Center Right Front coalition (composed of MDN, MRN, and PDCH) [Hubert de RONCERAY, Jean BUTEAU, Osner FEVRY and Marie-Denise CLAUDE]; Haitian Christian Democratic Party or PDCH [Osner FEVRY and Marie-Denise CLAUDE]; Haitian Democratic Party or PADEMH [Clark PARENT]; Haitian Democratic and Reform Movement or MODEREH [Dany TOUSSAINT and Pierre Soncon PRINCE]; Heads Together [Dr. Gerard BLOT]; Lavalas Family or FL [Jean-Bertrand ARISTIDE]; Liberal Party of Haiti or PLH [Michael MADSEN]; Mobilization for National Development or MDN [Hubert DE RONCERAY]; Movement for National Reconstruction or MRN [Jean BUTEAU]; Movement for the Installation of Democracy in Haiti or MIDH [Marc BAZIN]; National Front for the Reconstruction of Haiti or FRON [Guy PHILIPPE and Winter ETIENNE]; National Progressive Democratic Party or PNDPH [Turneb DELPE]; New Christian Movement for a New Haiti or MOCHRENA [Luc MESADIEU]; Popular Party for the Renewal of Haiti, or Generation 2000 [Claude ROMAIN and Daniel SUPPLICE]; Struggling People's Organization or OPL [Edgard LEBLANC] |
| Political pressure groups and leaders: | Autonomous Organizations of Haitian Workers or CATH [Fignole ST-CYR]; Confederation of Haitian Workers or CTH; Federation of Workers Trade Unions or FOS; Group of 184 Civil Society Organization, or G-184 [Andy APAID]; National Popular Assembly or APN; Papaye Peasants Movement or MPP [Chavannes JEAN-BAPTISTE]; Popular Organizations Gathering Power or PROP; Roman Catholic Church |
| International organization participation: | ACCT, ACP, Caricom, FAO, G-77, IADB, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAES, MIGA, OAS, OPANAL, OPCW (signatory), PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Charge d'Affaires Raymond JOSEPH (as of November 2004) |
| Diplomatic representation in the US: | chancery: 2311 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Miami, New York, and San Juan (Puerto Rico) |
| Diplomatic representation in the US: | FAX: [1] (202) 745-7215 |
