| Government | HAITI |
| --- | --- |
| Country name: | conventional long form: Republic of Haiti |
| Country name: | conventional short form: Haiti |
| Country name: | local long form: Republique d'Haiti/Repiblik d Ayiti |
| Country name: | local short form: Haiti/Ayiti |
| Country name: | etymology: the native Taino name means "Land of High Mountains" and was originally applied to the entire island of Hispaniola |
| Government type: | semi-presidential republic |
| Capital: | name: Port-au-Prince |
| Capital: | geographic coordinates: 18 32 N, 72 20 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | 10 departments (departements, singular - departement); Artibonite, Centre, Grand'Anse, Nippes, Nord, Nord-Est, Nord-Ouest, Ouest, Sud, Sud-Est |
| Independence: | 1 January 1804 (from France) |
| National holiday: | Independence Day, 1 January (1804) |
| Constitution: | many previous (23 total); latest adopted 10 March 1987; amended 2012 (2016) |
| Legal system: | civil law system strongly influenced by Napoleonic Code |
| International law organization participation: | accepts compulsory ICJ jurisdiction; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a native-born citizen of Haiti |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jovenel MOISE (since 7 February 2017) |
| Executive branch: | head of government: Prime Minister Dr. Jack Guy LAFONTANT (since 21 March 2017) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president; parliament must ratify the Cabinet and Prime Minister's governing policy |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a single non-consecutive term); last election originally scheduled for 9 October 2016 but postponed to 20 November 2016 due to Hurricane Matthew |
| Executive branch: | election results: Jovenel MOISE elected president in first round; percent of vote - Jovenel MOISE (PHTK) 55.6%, Jude CELESTIN (LAPEH) 19.6%, Jean-Charles MOISE (PPD) 11%, Maryse NARCISSE (FL) 9%; other 4.8% |
| Legislative branch: | description: bicameral legislature or le Corps Legislatif ou parlement consists of le Senat or Senate (30 seats; members directly elected in multi-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 6-year terms with one-third of the membership renewed every 2 years) and la Chambre de deputes or Chamber of Deputies (118 seats; members directly elected in single-seat constituencies by absolute majority vote in 2 rounds if needed; members serve 4-year terms); note - when the 2 chambers meet collectively it is known as L'Assemblee Nationale or the National Assembly and is convened for specific purposes spelled out in the constitution |
| Legislative branch: | elections: Senate - last held on 9 August 2015 with run-off election on 25 October 2015 (next possible election in 2017); Chamber of Deputies - last held on 9 August 2015 with run-off election on 25 October 2015 (next regular election may be held in 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; Chamber of Deputies - percent of vote by party - NA; seats by party - NA |
| Judicial branch: | highest court(s): Supreme Court or Cour de Cassation (consists of a chief judge and other judges); note - Haiti is a member of the Caribbean Court of Justice |
| Judicial branch: | judge selection and term of office: judges appointed by the president from candidate lists submitted by the Senate of the National Assembly; note - Article 174 of the Haiti Constitution states that judges of the Supreme Court are appointed for 10 years, whereas Article 177 states that judges of the Supreme Court are appointed for life |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance; magistrates' courts; special courts |
| Political parties and leaders: | Alternative League for Haitian Progress and Empowerment or LAPEH [Jude CELESTIN] |
| Political parties and leaders: | Christian Movement for a New Haiti or MCNH [Luc MESADIEU] |
| Political parties and leaders: | Christian National Movement for the Reconstruction of Haiti or UNCRH [Chavannes JEUNE] |
| Political parties and leaders: | Convention for Democratic Unity or KID [Evans PAUL] |
| Political parties and leaders: | Cooperative Action to Rebuild Haiti or KONBA [Jean William JEANTY] |
| Political parties and leaders: | December 16 Platform or Platfom 16 Desanm [Dr. Gerard BLOT] |
| Political parties and leaders: | Democratic Alliance Party or ALYANS [Evans PAUL] (coalition includes KID and PPRH) |
| Political parties and leaders: | Democratic Centers' National Council or CONACED [Osner FEVRY] |
| Political parties and leaders: | Dessalinian Patriotic and Popular Movement or MOPOD [Jean Andre VICTOR] |
| Political parties and leaders: | Effort and Solidarity to Create an Alternative for the People or ESKAMP [Joseph JASME] |
| Political parties and leaders: | Fanmi Lavalas or FL [Jean-Bertrand ARISTIDE] |
| Political parties and leaders: | For Us All or PONT [Jean-Marie CHERESTAL] |
| Political parties and leaders: | Fusion of Haitian Social Democrats or FHSD [Edmonde Supplice BEAUZILE] |
| Political parties and leaders: | Grouping of Citizens for Hope or RESPE [Charles-Henri BAKER] |
| Political parties and leaders: | Haitians for Haiti [Yvon NEPTUNE] |
| Political parties and leaders: | Haitian Tet Kale Party or PHTK [Ann Valerie Timothee MILFORT] |
| Political parties and leaders: | Haiti in Action or AAA [Youri LATORTUE] |
| Political parties and leaders: | Independent Movement for National Reconstruction or MIRN [Luc FLEURINORD] |
| Political parties and leaders: | Konbit Pou refe Ayiti or KONBIT |
| Political parties and leaders: | Lavni Organization or LAVNI [Yves CRISTALIN] |
| Political parties and leaders: | Liberal Party of Haiti or PLH [Jean Andre VICTOR] |
