| Government | Haiti |
| --- | --- |
| Country name: | conventional long form: Republic of Haiti |
| Country name: | conventional short form: Haiti |
| Country name: | local long form: Republique d'Haiti/Repiblik d' Ayiti |
| Country name: | local short form: Haiti/Ayiti |
| Government type: | republic |
| Capital: | name: Port-au-Prince |
| Capital: | geographic coordinates: 18 32 N, 72 20 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Capital: | daylight saving time: no DST planned for 2012 |
| Administrative divisions: | 10 departments (departements, singular - departement); Artibonite, Centre, Grand'Anse, Nippes, Nord, Nord-Est, Nord-Ouest, Ouest, Sud, Sud-Est |
| Independence: | 1 January 1804 (from France) |
| National holiday: | Independence Day, 1 January (1804) |
| Constitution: | approved March 1987; this is Haiti's 23rd constitution |
| Legal system: | civil law system strongly influenced by Napoleonic Code |
| International law organization participation: | accepts compulsory ICJ jurisdiction; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Michel MARTELLY (since 14 May 2011) |
| Executive branch: | head of government: Prime Minister Laurent LAMOTHE (since 16 May 2012) |
| Executive branch: | cabinet: Cabinet chosen by the prime minister in consultation with the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (may not serve consecutive terms); election last held on 28 November 2010; runoff on 20 March 2011 (next to be held in 2015); prime minister appointed by the president, ratified by the National Assembly |
| Executive branch: | election results: Michel MARTELLY won the runoff election held on 20 March 2011 with 67.6% of the vote against 31.7% for Mirlande MANIGAT |
| Legislative branch: | bicameral National Assembly or Assemblee Nationale consists of the Senate (30 seats; members elected by popular vote to serve six-year terms; one-third elected every two years) and the Chamber of Deputies (99 seats; members elected by popular vote to serve four-year terms); |
| Legislative branch: | elections: Senate - last held on 28 November 2010 with run-off elections on 20 March 2011 (next regular election, for one third of seats, scheduled for 2012 but delayed); Chamber of Deputies - last held on 28 November 2010 with run-off elections on 20 March 2011 (next regular election to be held in 2014) |
| Legislative branch: | election results: 2010 Senate - percent of vote by party - NA; seats by party - Inite 6, ALTENNATIV 4, LAVNI 1; 2010 Chamber of Deputies- percent of vote by party - NA; seats by party - Inite 32, Altenativ 11, Ansanm Nou Fo 10, AAA 8, LAVNI 7, RASANBLE 4, KONBIT 3, MOCHRENA 3, Platforme Liberation 3, PONT 3, Repons Peyizan 3, Independent 2, MAS 2, MODELH-PRDH 1, PLAPH 1, RESPE 1, Veye Yo 1, vacant 4 |
| Judicial branch: | Supreme Court or Cour de Cassation |
| Political parties and leaders: | Assembly of Progressive National Democrats or RDNP [Mirlande MANIGAT]; Christian and Citizen For Haiti's Reconstruction or ACCRHA [Chavannes JEUNE]; Convention for Democratic Unity or KID [Evans PAUL]; Cooperative Action to Rebuild Haiti or KONBA [Jean William JEANTY]; December 16 Platform or Platfom 16 Desanm [Dr. Gerard BLOT]; Democratic Alliance or ALYANS [Evans PAUL] (coalition composed of KID and PPRH); Democratic Centers's National Council or CONACED [Osner FEVRY]; Effort and Solidarity to Create an Alternative for the People or ESKAMP [Joseph JASME]; Fanmi Lavalas or FL [Jean-Bertrand ARISTIDE]; For Us All or PONT [Jean-Marie CHERESTAL]; Grouping of Citizens for Hope or RESPE [Charles-Henri BAKER]; Haiti in Action or AAA [Youri LATORTUE]; Haitians for Haiti [Yvon NEPTUNE]; Independent Movement for National Reconstruction or MIRN [Luc FLEURINORD]; Lavni Organization or LAVNI [Yves CRISTALIN]; Liberal Party of Haiti or PLH [Jean Andre VICTOR]; Love Haiti or Renmen Ayiti [Jean-Henry CEANT and Camille LEBLANC]; Merging of Haitian Social Democratics or FUSION [Edmonde Supplice BEAUZILE] (coalition of Ayiti Capable, Haitian National Revolutionary Party, and National Congress of Democratic Movements); Mobilization for National Development or MDN [Hubert de RONCERAY]; National Front for the Reconstruction of Haiti or FRN [Guy PHILIPPE]; New Christian Movement for a New Haiti or MOCHRENA [Luc MESADIEU]; Peasant's Response or Repons Peyizan [Michel MARTELLY]; Platform Alternative for Progress and Democracy or ALTENATIV [Victor BENOIT and Evans PAUL]; Platform of Haitian Patriots or PLAPH [Dejean BELISAIRE and Himmler REBU]; Popular Party for the Renewal of Haiti or PPRH [Claude ROMAIN]; Strength in Unity or Ansanm Nou Fo [Leslie VOLTAIRE]; Struggling People's Organization or OPL [Sauveur PIERRE-ETIENNE]; Union [Chavannes JEUNE]; Union of Haitian Citizens for Democracy, Development, and Education or UCADDE [Jeantel JOSEPH]; Union of Nationalist and Progressive Haitians or UNPH [Edouard FRANCISQUE]; Unity or Inite [Levaillant LOUIS-JEUNE] (coalition that includes Front for Hope or L'ESPWA); Vigilance or Veye Yo [Lavarice GAUDIN]; Youth for People's Power or JPP [Rene CIVIL] |
