| Government | Bosnia and Herzegovina |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bosnia and Herzegovina |
| Country name: | local long form: none |
| Country name: | local short form: Bosna i Hercegovina |
| Country name: | former: People's Republic of Bosnia and Herzegovina, Socialist Republic of Bosnia and Herzegovina |
| Country name: | abbreviation: BiH |
| Country name: | etymology: the larger northern territory is named for the Bosna River; the smaller southern section takes its name from the German word "herzog," meaning "duke," and the ending "-ovina," meaning "land," forming the combination denoting "dukedom" |
| Government type: | parliamentary republic |
| Capital: | name: Sarajevo |
| Capital: | geographic coordinates: 43 52 N, 18 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: the name derives from the Turkish noun "saray," meaning "palace" or "mansion," and the term "ova," signifying "plain(s)," to give a meaning of "palace plains" or "the plains about the palace" |
| Administrative divisions: | 3 first-order administrative divisions - Brcko District (Brcko Distrikt) (ethnically mixed), Federation of Bosnia and Herzegovina (Federacija Bosne i Hercegovine) (predominantly Bosniak-Croat), Republika Srpska (predominantly Serb) |
| Independence: | 1 March 1992 (from Yugoslavia); note - referendum for independence completed on 1 March 1992; independence declared on 3 March 1992 |
| National holiday: | Independence Day, 1 March (1992) and Statehood Day, 25 November (1943) - both observed in the Federation of Bosnia and Herzegovina entity; Victory Day, 9 May (1945) and Dayton Agreement Day, 21 November (1995) - both observed in the Republika Srpska entity |
| National holiday: | note: there is no national-level holiday |
| Constitution: | history: 14 December 1995 (constitution included as part of the Dayton Peace Accords); note - each of the political entities has its own constitution |
| Constitution: | amendments: decided by the Parliamentary Assembly, including a two-thirds majority vote of members present in the House of Representatives; the constitutional article on human rights and fundamental freedoms cannot be amended; amended several times, last in 2009 (2016) |
| Legal system: | civil law system; Constitutional Court review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Bosnia and Herzegovina |
| Citizenship: | dual citizenship recognized: yes, provided there is a bilateral agreement with the other state |
| Citizenship: | residency requirement for naturalization: 8 years |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: Chairman of the Presidency Milorad DODIK (chairman since 20 November 2020; presidency member since 20 November 2018 - Serb seat); Sefik DZAFEROVIC (presidency member since 20 November 2018 - Bosniak seat); Zeljko KOMSIC (presidency member since 20 November 2018 - Croat seat) |
| Executive branch: | head of government: Chairman of the Council of Ministers Zoran TEGELTIJA Â (since 5 December 2019) |
| Executive branch: | cabinet: Council of Ministers nominated by the council chairman, approved by the state-level House of Representatives |
| Executive branch: | elections/appointments: 3-member presidency (1 Bosniak and 1 Croat elected from the Federation of Bosnia and Herzegovina and 1 Serb elected from the Republika Srpska) directly elected by simple majority popular vote for a 4-year term (eligible for a second term, but then ineligible for 4 years); the presidency chairpersonship rotates every 8 months with the new member of the presidency elected with the highest number of votes starting the new mandate as chair; election last held onÂ 7 October 2018 (next to be held in October 2022); the chairman of the Council of Ministers appointed by the presidency and confirmed by the state-level House of Representatives |
| Executive branch: | election results: percent of vote - Milorad DODIK (SNSD) 53.9% - Serb seat;Â Zeljko KOMSIC (DF)Â 52.6% - Croat seat;Â Sefik DZAFEROVICÂ (SDA) 36.6% - Bosniak seat |
| Executive branch: | note: President of the Federation of Bosnia and Herzegovina Marinko CAVARA (since 11 February 2015); Vice Presidents Melika MAHMUTBEGOVIC (since 11 February 2015), Milan DUNOVIC (since 11 February 2015); President of the Republika Srpska Zeljka CVIJANOVIC (since 18 November 2018); Vice Presidents Ramiz SALKIC (since 24 November 2014), Josip JERKOVIC (since 24 November 2014) |
| Legislative branch: | description: bicameral Parliamentary Assembly or Skupstina consists of: |
| Legislative branch: | House of Peoples or Dom Naroda (15 seats - 5 Bosniak, 5 Croat, 5 Serb; members designated by the Federation of Bosnia and Herzegovina's House of Peoples and the Republika Srpska's National Assembly to serve 4-year terms) |
| Legislative branch: | House of Representatives or Predstavnicki Dom (42 seats to include 28 seats allocated to the Federation of Bosnia and Herzegovina and 14 to the Republika Srpska; members directly elected by proportional representation vote to serve 4-year terms); note - the Federation of Bosnia and Herzegovina has a bicameral legislature that consists of the House of Peoples (58 seats - 17 Bosniak, 17 Croat, 17 Serb, 7 other) and the House of Representatives (98 seats; members directly elected by proportional representation vote to serve 4-year terms); Republika Srpska's unicameral legislature is the National Assembly (83 directly elected delegates serve 4-year terms) |
| Legislative branch: | elections: House of Peoples - last held on 18 October 2018 (next to be held in October 2022) |
| Legislative branch: | House of Representatives - last held on 7 October 2018 (next to be held in October 2022) |
| Legislative branch: | election results: House of Peoples - percent of vote by coalition/party - NA; seats by coalition/party - NA; composition - men 13, women 2, percent of women 13.3% |
