| Government | BOSNIA AND HERZEGOVINA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bosnia and Herzegovina |
| Country name: | local long form: none |
| Country name: | local short form: Bosna i Hercegovina |
| Country name: | former: People's Republic of Bosnia and Herzegovina, Socialist Republic of Bosnia and Herzegovina |
| Country name: | abbreviation: BiH |
| Government type: | federal democratic republic |
| Capital: | name: Sarajevo |
| Capital: | geographic coordinates: 43 52 N, 18 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 2 first-order administrative divisions and 1 internationally supervised district* - the Bosniak-Croat Federation of Bosnia and Herzegovina (Federacija Bosne i Hercegovine), the Bosnian Serb-led Republika Srpska, Brcko District (Brcko Distrikt)*; note - Brcko District is in northeastern Bosnia and is a self-governing administrative unit under the sovereignty of Bosnia and Herzegovina and formally held in condominium between the two entities |
| Independence: | 1 March 1992 (from Yugoslavia; referendum for independence completed on 1 March 1992; independence declared on 3 March 1992) |
| National holiday: | National Day (Statehood Day), 25 November (1943); note - observed only in the Federation of Bosnia and Herzegovina entity |
| Constitution: | 14 December 1995 (constitution included as part of the Dayton Peace Accords); amended several times, last in 2003; note - each of the entities has its own constitution (2011) |
| Legal system: | civil law system; Constitutional Court review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: Chairman of the Presidency Dragan COVIC (chairman since 17 July 2015; presidency member since 17 November 2014 - Croat) ; other members of the three-member presidency rotate every eight months |
| Executive branch: | head of government: Chairman of the Council of Ministers Denis ZVIZDIC (since 11 February 2015) |
| Executive branch: | cabinet: Council of Ministers nominated by the council chairman, approved by the state-level House of Representatives |
| Executive branch: | elections/appointments: 3-member presidency (one Bosniak, one Croat, one Serb) directly elected by simple majority popular vote for a 4-year term (eligible for a second term, but then ineligible for 4 years) by constituencies of the 3 ethnic groups; the chairmanship rotates every 8 months and resumes where it left off following each general election; election last held on 12 October 2014 (next to be held in October 2018); the chairman of the Council of Ministers appointed by the presidency and confirmed by the state-level House of Representatives |
| Executive branch: | election results: percent of vote - Mladen IVANIC 48.7% - Serb seat; Dragan COVIC 52.2% - Croat seat; Bakir IZETBEGOVIC 32.9% - Bosniak seat |
| Executive branch: | note: President of the Federation of Bosnia and Herzegovina Marinko CAVARA (since 11 February 2015); Vice Presidents Melika MAHMUTBEGOVIC (since 11 February 2015), Milan DUNOVIC (since 11 February 2015); President of the Republika Srpska Milorad DODIK (since 15 November 2010); Vice Presidents Ramiz SALKIC (since 24 November 2014), Josip JERKOVIC (since 24 November 2014) |
| Legislative branch: | description: bicameral Parliamentary Assembly or Skupstina consists of the House of Peoples or Dom Naroda (15 seats - 5 Bosniak, 5 Croat, 5 Serb; members designated by the Bosniak/Croat Federation's House of Peoples and the Republika Srpska's National Assembly to serve 4-year terms) and the state-level House of Representatives or Predstavnicki Dom (42 seats to include 28 seats allocated to the Federation of Bosnia and Herzegovina and 14 to the Republika Srpska; members directly elected by proportional representation vote to serve 4-year terms); note - the Bosniak/Croat Federation has a bicameral legislature that consists of the House of Peoples (58 seats - 17 Bosniak, 17 Croat, 17 Serb, 7 other) and the House of Representatives (98 seats; members directly elected by proportional representation vote to serve 4-year terms); Republika Srpska's unicameral legislature is the National Assembly (83 directly elected delegates serve four-year terms) |
| Legislative branch: | elections: House of Peoples - last constituted in 11 February 2015 (next likely to be constituted in 2018); state-level House of Representatives - election last held on 12 October 2014 (next to be held in October 2018) |
| Legislative branch: | election results: House of Peoples - percent of vote by party/coalition - NA; seats by party/coalition - NA; state-level House of Representatives - percent of vote by party/coalition - Federation votes: SDA 27.9%, DF 15.3%, SBB BiH 14.4%, HDZ BiH-HSSS-NHI-HKDU-HSP-dr. Ante Starcevic-HSP Herceg-Bosne 12.2%, SDP BiH 9.5%, HDZ-1990 4.1%, BPS-Sefer Halilovic 3.7%, A-SDA 2.3%, other 10.6%; Republika Srpska votes: SNSD 38.5%, SDS 32.6%, PDP-NDP 7.8%, DNS 5.7%, SDA 4.9%, other 10.5%; seats by party/coalition - SDA 10, SNSD 6, SDS 5, DF 5, SBB BiH 4, HDZ BiH-HSS-NHI-HKDU-HSP-Dr. Ante Starcevic-HSP Herceg-Bosne 4, SDP BiH 3, PDP-NDP 1, HDZ-1990 1, BPS-Sefer Halilovic 1, DNS 1, A-SDA 1 |
| Judicial branch: | highest court(s): BiH Constitutional Court (consists of 9 members); Court of BiH (consists of 44 national judges and 7 international judges organized into 3 divisions - Administrative, Appellate, and Criminal, which includes a War Crimes Chamber) |
