| Government | BOSNIA AND HERZEGOVINA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bosnia and Herzegovina |
| Country name: | local long form: none |
| Country name: | local short form: Bosna i Hercegovina |
| Country name: | former: People's Republic of Bosnia and Herzegovina, Socialist Republic of Bosnia and Herzegovina |
| Country name: | abbreviation: BiH |
| Country name: | etymology: the larger northern territory is named for the Bosna River; the smaller southern section takes its name from the German word "herzog," meaning "duke," and the ending "-ovina," meaning "land," forming the combination denoting "dukedom" |
| Government type: | parliamentary republic |
| Capital: | name: Sarajevo |
| Capital: | geographic coordinates: 43 52 N, 18 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 3 first-order administrative divisions - Brcko District (Brcko Distrikt) (ethnically mixed), the Federation of Bosnia and Herzegovina (Federacija Bosne i Hercegovine) (predominantly Bosniak-Croat), the Republic of Srpska (Republika Srpska) (predominantly Serb) |
| Independence: | 1 March 1992 (from Yugoslavia); note - referendum for independence completed on 1 March 1992; independence declared on 3 March 1992 |
| National holiday: | Independence Day, 1 March (1992) and Statehood Day, 25 November (1943) - both observed in the Federation of Bosnia and Herzegovina entity; Victory Day, 9 May (1945) and Dayton Agreement Day, 21 November (1995) - both observed in the Republika Srpska entity |
| National holiday: | note: there is no national-level holiday |
| Constitution: | history: 14 December 1995 (constitution included as part of the Dayton Peace Accords); note - each of the political entities has its own constitution |
| Constitution: | amendments: decided by the Parliamentary Assembly, including a two-thirds majority vote of members present in the House of Representatives; the constitutional article on human rights and fundamental freedoms cannot be amended; amended several times, last in 2009 (2016) |
| Legal system: | civil law system; Constitutional Court review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Bosnia and Herzegovina |
| Citizenship: | dual citizenship recognized: yes, provided there is a bilateral agreement with the other state |
| Citizenship: | residency requirement for naturalization: 8 years |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: Chairman of the Presidency Dragan COVIC (chairman since 17 July 2017, presidency member since 17 November 2014 - Croat), Mladen IVANIC (presidency member since 17 November 2014 - Serb); Bakir IZETBEGOVIC (presidency member since 10 November 2010 - Bosniak) |
| Executive branch: | head of government: Chairman of the Council of Ministers Denis ZVIZDIC (since 11 February 2015) |
| Executive branch: | cabinet: Council of Ministers nominated by the council chairman, approved by the state-level House of Representatives |
| Executive branch: | elections/appointments: 3-member presidency (1 Bosniak and 1 Croat elected from the Federation of Bosnia and Herzegovina and 1 Serb elected from the Republika Srpska) directly elected by simple majority popular vote for a 4-year term (eligible for a second term, but then ineligible for 4 years); the presidency chairpersonship rotates every 8 months and resumes where it left off following each general election; election last held on 12 October 2014 (next to be held in October 2018); the chairman of the Council of Ministers appointed by the presidency and confirmed by the state-level House of Representatives |
| Executive branch: | election results: percent of vote - Mladen IVANIC (PDP) 48.7% - Serb seat; Dragan COVIC (HDZ-BiH) 52.2% - Croat seat; Bakir IZETBEGOVIC (SDA) 32.9% - Bosniak seat |
| Executive branch: | note: President of the Federation of Bosnia and Herzegovina Marinko CAVARA (since 11 February 2015); Vice Presidents Melika MAHMUTBEGOVIC (since 11 February 2015), Milan DUNOVIC (since 11 February 2015); President of the Republika Srpska Milorad DODIK (since 15 November 2010); Vice Presidents Ramiz SALKIC (since 24 November 2014), Josip JERKOVIC (since 24 November 2014) |
| Legislative branch: | description: bicameral Parliamentary Assembly or Skupstina consists of the House of Peoples or Dom Naroda (15 seats - 5 Bosniak, 5 Croat, 5 Serb; members designated by the Federation of Bosnia and Herzegovina's House of Peoples and the Republika Srpska's National Assembly to serve 4-year terms) and the state-level House of Representatives or Predstavnicki Dom (42 seats to include 28 seats allocated to the Federation of Bosnia and Herzegovina and 14 to the Republika Srpska; members directly elected by proportional representation vote to serve 4-year terms); note - the Federation of Bosnia and Herzegovina has a bicameral legislature that consists of the House of Peoples (58 seats - 17 Bosniak, 17 Croat, 17 Serb, 7 other) and the House of Representatives (98 seats; members directly elected by proportional representation vote to serve 4-year terms); Republika Srpska's unicameral legislature is the National Assembly (83 directly elected delegates serve 4-year terms) |
| Legislative branch: | elections: House of Peoples - last constituted in 11 February 2015 (next likely to be constituted in 2019); state-level House of Representatives - election last held on 12 October 2014 (next to be held in October 2018) |
