| Government | Bosnia and Herzegovina |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Bosnia and Herzegovina |
| Country name: | local long form: none |
| Country name: | local short form: Bosna i Hercegovina |
| Country name: | former: People's Republic of Bosnia and Herzegovina, Socialist Republic of Bosnia and Herzegovina |
| Government type: | emerging federal democratic republic |
| Capital: | name: Sarajevo |
| Capital: | geographic coordinates: 43 52 N, 18 25 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 2 first-order administrative divisions and 1 internationally supervised district* - Brcko district (Brcko Distrikt)*, the Bosniak/Croat Federation of Bosnia and Herzegovina (Federacija Bosna i Hercegovina) and the Bosnian Serb-led Republika Srpska; note - Brcko district is in northeastern Bosnia and is a self-governing administrative unit under the sovereignty of Bosnia and Herzegovina and formally held in condominium between the two entities; the District remains under international supervision |
| Independence: | 1 March 1992 (from Yugoslavia; referendum for independence completed on 1 March 1992; independence declared on 3 March 1992) |
| National holiday: | National Day, 25 November (1943) |
| Constitution: | the Dayton Peace Accords, signed on 14 December 1995 in Paris, included a constitution; note - each of the entities also has its own constitution |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: Chairman of the Presidency Nebojsa RADMANOVIC (chairman of the presidency since 10 November 2010; presidency member since 1 October 2006 - Serb); other members of the three-member presidency rotate every eight months: Bakir IZETBEGOVIC (presidency member since 3 October 2010 - Bosniak); Zeljko KOMSIC (presidency member since 1 October 2006 - Croat) |
| Executive branch: | head of government: Chairman of the Council of Ministers Nikola SPIRIC (since 11 January 2007) |
| Executive branch: | cabinet: Council of Ministers nominated by the council chairman; approved by the state-level House of Representatives |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the three members of the presidency (one Bosniak, one Croat, one Serb) elected by popular vote for a four-year term (eligible for a second term, but then ineligible for four years); the chairmanship rotates every eight months and resumes where it left off following each general election; election last held on 3 October 2010 (next to be held in October 2014); the chairman of the Council of Ministers appointed by the presidency and confirmed by the state-level House of Representatives |
| Executive branch: | election results: percent of vote - Nebojsa RADMANOVIC with 48.9% of the votes for the Serb seat; Zeljko KOMSIC with 60.6% of the votes for the Croat seat; Bakir IZETBEGOVIC with 34.9% of the votes for the Bosniak seat |
| Executive branch: | note: President of the Federation of Bosnia and Herzegovina: Borjana KRISTO (since 21 February 2007); Vice Presidents Spomenka MICIC (since 21 February 2007) and Mirsad KEBO (since 21 February 2007); President of the Republika Srpska: Milorad DODIK (since 3 October 2010); took office 15 November 2010 |
| Legislative branch: | bicameral Parliamentary Assembly or Skupstina consists of the House of Peoples or Dom Naroda (15 seats, 5 Bosniak, 5 Croat, 5 Serb; members elected by the Bosniak/Croat Federation's House of Peoples and the Republika Srpska's National Assembly to serve four-year terms); and the state-level House of Representatives or Predstavnicki Dom (42 seats, 28 seats allocated for the Federation of Bosnia and Herzegovina and 14 seats for the Republika Srpska; members elected by popular vote on the basis of proportional representation to serve four-year terms); note - Bosnia's election law specifies four-year terms for the state and first-order administrative division entity legislatures |
| Legislative branch: | elections: House of Peoples - last constituted in February 2007 (next to be constituted in 2011); state-level House of Representatives - elections last held on 3 October 2010 (next to be held in October 2014) |
| Legislative branch: | election results: House of Peoples - percent of vote by party/coalition - NA; seats by party/coalition - NA; state-level House of Representatives - percent of vote by party/coalition - NA; seats by party/coalition - SDP BiH 8, SDA 7, SNSD 7, SDS 5, SBBBiH 4, HDZ-BiH 3, SBiH 2, HDZ-1990/HSP 2, other 4 |
| Legislative branch: | note: the Bosniak/Croat Federation has a bicameral legislature that consists of a House of Peoples (58 seats - 17 Bosniak, 17 Croat, 17 Serb, 7 other); last constituted February 2007; and a House of Representatives (98 seats; members elected by popular vote to serve four-year terms); elections last held on 3 October 2010 (next to be held in October 2014); percent of vote by party - NA; seats by party/coalition - SDP 28, SDA 23, SBBBiH 13, HDZ-BiH 12, HDZ-1990/HSP 5, other 17; the Republika Srpska has a National Assembly (83 seats; members elected by popular vote to serve four-year terms); elections last held on 3 October 2010 (next to be held in October 2014); percent of vote by party - NA; seats by party/coalition - SNSD 37, SDS 18, PDP 7, DNS 6, SP 4, DP 3, SDP 3, SDA 2, NDS 2 SRS-RS 1; as a result of the 2002 constitutional reform process, a 28-member Republika Srpska Council of Peoples (COP) was established in the Republika Srpska National Assembly including 8 Croats, 8 Bosniaks, 8 Serbs, and 4 members of the smaller communities |
