| Government | Egypt |
| --- | --- |
| Country name: | conventional long form: Arab Republic of Egypt |
| Country name: | conventional short form: Egypt |
| Country name: | local long form: Jumhuriyat Misr al-Arabiyah |
| Country name: | local short form: Misr |
| Country name: | former: United Arab Republic (with Syria) |
| Government type: | republic |
| Capital: | name: Cairo |
| Capital: | geographic coordinates: 30 03 N, 31 15 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 27 governorates (muhafazat, singular - muhafazat); Ad Daqahliyah, Al Bahr al Ahmar (Red Sea), Al Buhayrah, Al Fayyum, Al Gharbiyah, Al Iskandariyah (Alexandria), Al Isma'iliyah (Ismailia), Al Jizah (Giza), Al Minufiyah, Al Minya, Al Qahirah (Cairo), Al Qalyubiyah, Al Uqsur (Luxor), Al Wadi al Jadid (New Valley), As Suways (Suez), Ash Sharqiyah, Aswan, Asyut, Bani Suwayf, Bur Sa'id (Port Said), Dumyat (Damietta), Janub Sina' (South Sinai), Kafr ash Shaykh, Matruh, Qina, Shamal Sina' (North Sinai), Suhaj |
| Independence: | 28 February 1922 (from UK protectorate status; the revolution that began on 23 July 1952 led to a republic being declared on 18 June 1953 and all British troops withdrawn on 18 June 1956); note - it was ca. 3200 B.C. that the Two Lands of Upper (southern) and Lower (northern) Egypt were first united politically |
| National holiday: | Revolution Day, 23 July (1952) |
| Constitution: | 11 September 1971; amended 22 May 1980, 25 May 2005, and 26 March 2007; note - constitution suspended by the military caretaker government 13 February 2011 and a new provisional constitution adopted 30 March 2011 |
| Legal system: | mixed legal system based on Napoleonic civil law and Islamic religious law; judicial review by Supreme Court and Council of State (oversees validity of administrative decisions) |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | Note: following the resignation of President Mohamed Hosni MUBARAK in February 2011, the Supreme Council of the Armed Forces, headed by Defense Minister Muhammad Hussein TANTAWI, assumed control of the government |
| Executive branch: | chief of state: president (vacant); vice president (vacant) |
| Executive branch: | head of government: Prime Minister Kamal Ahmad El-GANZOURI (since 25 November 2011) |
| Executive branch: | cabinet: Prime Minister GANZOURI asked to form a new government on 27 November 2011 |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: NA |
| Executive branch: | election results: Hosni MUBARAK reelected president; percent of vote - Hosni MUBARAK 88.6%, Ayman NOUR 7.6%, Noman GOMAA 2.9% |
| Legislative branch: | bicameral system consists of the Advisory Council or Majlis al-Shura (Shura Council) that traditionally functions mostly in a consultative role (264 seats; 176 members elected by popular vote, 88 appointed by the president; members serve six-year terms; mid-term elections for half of the elected members) and the People's Assembly or Majlis al-Sha'b (518 seats; 508 members elected by popular vote, 64 seats reserved for women, 10 appointed by the president; members serve five-year terms) |
| Legislative branch: | elections: Advisory Council - last held in June 2010 (next to be held in 2012); People's Assembly - last held in November-December 2010 in one round of voting and one run-off election (next to be held in 2015); note - on 13 February 2011 the ruling military council dissolved the parliament; new parliamentary elections to be held in late 2011 - early 2012 |
| Legislative branch: | election results: Advisory Council - percent of vote by party - NA; seats by party - NDP 80, Al-Geel 1, Nasserist 1, NWP 1, Tagammu 1, Tomorrow Party 1, independents 3; People's Assembly - percent of vote by party - NA; seats by party - NDP 419, NWP 6, Tagammu 5, Democratic Peace Party 1, Social Justice Party 1, Tomorrow Party 1, independents 71, seats undecided 4, seats appointed by president 10 |
| Judicial branch: | Supreme Constitutional Court |
| Political parties and leaders: | Al-Geel; Democratic Peace Party; Nasserist Party [Ahmed HASSAN]; National Democratic Party or NDP (governing party) [Mohamed Hosni MUBARAK]; National Progressive Unionist Grouping or Tagammu [Rifaat EL-SAID]; New Wafd Party or NWP [Sayed EL-BEDAWY]; Social Justice Party [Mohamed Abdel Al HASAN]; Tomorrow Party [Ayman NOUR] |
| Political parties and leaders: | note: formation of political parties must be approved by the government; only parties with representation in elected bodies are listed |
| Political pressure groups and leaders: | Muslim Brotherhood (technically illegal) |
| Political pressure groups and leaders: | note: despite a constitutional ban against religious-based parties and political activity, the technically illegal Muslim Brotherhood constitutes Egypt's most potentially significant political opposition; President MUBARAK has alternated between tolerating limited political activity by the Brotherhood and blocking its influence (its members compete as independents in elections but do not currently hold any seats in the legislature); civic society groups are sanctioned, but constrained in practical terms; only trade unions and professional associations affiliated with the government are officially sanctioned; Internet social networking groups and bloggers |
