| Government | Egypt |
| --- | --- |
| Country name: | conventional long form: Arab Republic of Egypt |
| Country name: | conventional short form: Egypt |
| Country name: | local long form: Jumhuriyat Misr al-Arabiyah |
| Country name: | local short form: Misr |
| Country name: | former: United Arab Republic (with Syria) |
| Government type: | republic |
| Capital: | name: Cairo |
| Capital: | geographic coordinates: 30 03 N, 31 15 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 27 governorates (muhafazat, singular - muhafazat); Ad Daqahliyah, Al Bahr al Ahmar (Red Sea), Al Buhayrah, Al Fayyum, Al Gharbiyah, Al Iskandariyah (Alexandria), Al Isma'iliyah (Ismailia), Al Jizah (Giza), Al Minufiyah, Al Minya, Al Qahirah (Cairo), Al Qalyubiyah, Al Uqsur (Luxor), Al Wadi al Jadid (New Valley), As Suways (Suez), Ash Sharqiyah, Aswan, Asyut, Bani Suwayf, Bur Sa'id (Port Said), Dumyat (Damietta), Janub Sina' (South Sinai), Kafr ash Shaykh, Matruh, Qina, Shamal Sina' (North Sinai), Suhaj |
| Independence: | 28 February 1922 (from UK protectorate status; the revolution that began on 23 July 1952 led to a republic being declared on 18 June 1953 and all British troops withdrawn on 18 June 1956); note - it was ca. 3200 B.C. that the Two Lands of Upper (southern) and Lower (northern) Egypt were first united politically |
| National holiday: | Revolution Day, 23 July (1952) |
| Constitution: | new constitution passed by referendum 22 December 2012 |
| Legal system: | mixed legal system based on Napoleonic civil law and Islamic religious law; judicial review by Supreme Court and Council of State (oversees validity of administrative decisions) |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Muhammad MURSI (since 30 June 2012); vice president (vacant) |
| Executive branch: | head of government: Prime Minister Hisham QANDIL (since 24 July 2012) |
| Executive branch: | cabinet: in an early January 2013 cabinet reshuffle, 10 new ministers were sworn in |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: presidential election (first round held on 23-24 May 2012; runoff held on 16-17 June 2012 (next election NA) |
| Executive branch: | election results: percent of vote (first round) - Mohammed MURSI 24.3%, Ahmed SHAFIQ 23.3%, Hamdin SABBAHI 20.4%, Abdul Moneim Aboul FOTOUH 17.2%, Amr MOUSSA 11.1, other 3.7%; (runoff) - Mohammed MURSI 51.7%, Ahmed SHAFIQ 48.3% |
| Legislative branch: | bicameral parliament consists of the Shura Council or Majlis al-Shura that traditionally functions mostly in a consultative role (at least 150 seats with up to one-tenth of body appointed by the president; members serve six-year terms)and the House of Representatives (at least 350 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: People's Assembly and Advisory Council elections last held between November and January 2012; elections for new House of Representaives to be held in early 2013; election for the Shura Council to be held within one year |
| Legislative branch: | election results: Advisory Council - percent of vote by party - Democratic Alliance for Egypt 45%, Alliance for Egypt (Islamic Bloc) 28.6%, New Wafd Party 8.5%, Egyptian Bloc 5.4%, other 2.8%;; seats by party - Democratic Alliance for Egypt 105, Alliance for Egypt (Islamic Bloc) 45, New Wafd Party 14, Egyptian Bloc 8, other 4, independents 4, presidential appointees 90; People's Assembly - percent of vote by party - Democratic Alliance for Egypt 37.5%, Alliance for Egypt (Islamic Bloc) 27.8%, New Wafd Party 9.2%, Egyptian Bloc 8.9%, Al Wasat Party 3.7%, The Revolution Continues Alliance 2.8%, Reform and Development Party 2.2%, National Party of Egypt 1.6%, Freedom Party 1.9%, Egyptian Citizen Party 0.9%, other 3.7; seats by party - Democratic Alliance of Egypt 235, Alliance for Egypt (Islamic Bloc) 123, New Wafd Party 38, Egyptian Bloc 35, Al-Wasat 10, Reform and Development Party 9, The Revolution Continues Alliance 8, National Party of Egypt 5, Egyptian Citizen Party 4, Freedom Party 4, independents 21, other 6, SCAF appointees 10 |
| Legislative branch: | note: the Supreme Court on 14 June 2012 dissolved the People's Assembly |
| Judicial branch: | Court of Cassation (final court of appeal in civil and criminal cases); State Council (head of court system administration); Supreme Constitutional Court (jurisdiction limited to constitutionality of laws) |
| Political parties and leaders: | Al-Wasat Party; Constitution Pary [Mohammed ELBARADEI]; Democratic Peace Party; Egyptian Citizen Party; Freedom Party; Nation Party [Hazem Abu ISMAIL]; National Party of Egypt; New Wafd Party; People's Party; Popular Current Party [Hamdin SABAHI]; Reform and Development Party; Strong Egypt Party [Abdel Aboul FOTOUH] |
| Political pressure groups and leaders: | NA |
