| Government | LIBYA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Libya |
| Country name: | local long form: none |
| Country name: | local short form: Libiya |
| Country name: | note: the name derives from the Libu, an ancient Libyan tribe first mentioned in texts from the 13th century B.C. |
| Government type: | operates under a transitional government |
| Capital: | name: Tripoli (Tarabulus) |
| Capital: | geographic coordinates: 32 53 N, 13 10 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 22 districts (shabiyat, singular - shabiyat); Al Butnan, Al Jabal al Akhdar, Al Jabal al Gharbi, Al Jafarah, Al Jufrah, Al Kufrah, Al Marj, Al Marqab, Al Wahat, An Nuqat al Khams, Az Zawiyah, Banghazi, Darnah, Ghat, Misratah, Murzuq, Nalut, Sabha, Surt, Tarabulus, Wadi al Hayat, Wadi ash Shati |
| Independence: | 24 December 1951 (from UN trusteeship) |
| National holiday: | Liberation Day, 23 October (2011) |
| Constitution: | previous 1951, 1977; latest 2011 (interim); note - the Constitution Drafting Assembly continued drafting a new constitution as of early 2015 (2015) |
| Legal system: | Libya's post-revolution legal system is in flux and driven by state and non-state entities |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent or grandparent must be a citizen of Libya |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: varies from 3 to 5 years |
| Suffrage: | 18 years of age, universal |
| Executive branch: | chief of state: Speaker of the House of Representatives Aqilah Salah ISSA (since 5 August 2014) |
| Executive branch: | head of government: Prime Minister Abdullah al-THINI (since 11 March 2014); Deputy Prime Ministers Abd al-Salam al-BADRI (since 4 August 2014), Al-Mahdi Hasan Muftah al-LABAD (since 4 August 2014), Abd al-Rahman al-Tahir al-UHAYRISH (since 4 August 2014) |
| Executive branch: | cabinet: new cabinet approved by the House of Representatives in September 2014 |
| Executive branch: | elections/appointments: prime minister and speaker of the house elected by the House of Representatives |
| Executive branch: | election results: NA |
| Legislative branch: | description: unicameral Council of Deputies or Majlis Al Nuwab (200 seats including 32 reserved for women; members elected by direct popular vote; member term NA) |
| Legislative branch: | elections: election last held in June 2014; note - the Libyan Supreme Court in November 2014 declared the House election unconstitutional, but the Council rejected te ruling; no country has officially recognized the rival government |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - independents 200; note - not all 200 seats were filled in the June election because of boycotts and lack of security at some polling stations; some elected members of the Council also boycotted the election |
| Judicial branch: | highest court(s): NA; note - government in transition |
| Political parties and leaders: | Al-Watan (Homeland) Party |
| Political parties and leaders: | Justice and Construction Party or JCP [Mohamed SOWAN] |
| Political parties and leaders: | National Forces Alliance or NFA [Mahmoud JIBRIL] (includes many political organizations, NGOs, and independents) |
| Political parties and leaders: | National Front (initially the National Front for the Salvation of Libya, formed in 1981 as a diaspora opposition group) |
| Political parties and leaders: | Union for the Homeland [Abd al-Rahman al-SUWAYHILI] |
| Political parties and leaders: | note: partial list of the larger political parties and leaders |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BDEAC, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Wafa M.T. BUGHAIGHIS (since 5 December 2014) |
| Diplomatic representation in the US: | chancery: 2600 Virginia Avenue NW, Suite 705, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-9601 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-9606 |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter William BODDE (since 21 December 2015) |
| Diplomatic representation from the US: | note: on 11 September 2012, US Ambassador Christopher STEVENS and three other American diplomats were killed in an attack by heavily armed militants on a US diplomatic post in the eastern city of Benghazi; the US Government evacuated its Embassy in Tripoli in July 1014 |
| Diplomatic representation from the US: | embassy: Sidi Slim Area/Walie Al-Ahed Road, Tripoli |
| Diplomatic representation from the US: | mailing address: US Embassy, 8850 Tripoli Place, Washington, DC 20521-8850 |
| Diplomatic representation from the US: | telephone: [218] (0) 91-220-3239 |
| Flag description: | three horizontal bands of red (top), black (double width), and green with a white crescent and star centered on the black stripe; the National Transitional Council reintroduced this flag design of the former Kingdom of Libya (1951-1969) on 27 February 2011; it replaced the former all-green banner promulgated by the QADHAFI regime in 1977; the colors represent the three major regions of the country: red stands for Fezzan, black symbolizes Cyrenaica, and green denotes Tripolitania; the crescent and star represent Islam, the main religion of the country |
| National symbol(s): | star and crescent, hawk; national colors: red, black, green |
| National anthem: | name: "Allahu Akbar" (God Is Greatest) |
| National anthem: | lyrics/music: Mahmoud el-SHERIF/Abdalla Shams el-DIN |
| National anthem: | note: adopted 1969; originally a battle song for the Egyptian Army in the 1956 Suez War |
