| Government | Libya |
| --- | --- |
| Country name: | conventional long form: Great Socialist People's Libyan Arab Jamahiriya |
| Country name: | conventional short form: Libya |
| Country name: | local long form: Al Jumahiriyah al Arabiyah al Libiyah ash Shabiyah al Ishtirakiyah al Uzma |
| Country name: | local short form: none |
| Government type: | Jamahiriya (a state of the masses) in theory, governed by the populace through local councils; in fact, a military dictatorship |
| Capital: | name: Tripoli |
| Capital: | geographic coordinates: 32 54 N, 13 11 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 25 municipalities (baladiyat, singular - baladiyah); Ajdabiya, Al 'Aziziyah, Al Fatih, Al Jabal al Akhdar, Al Jufrah, Al Khums, Al Kufrah, An Nuqat al Khams, Ash Shati', Awbari, Az Zawiyah, Banghazi, Darnah, Ghadamis, Gharyan, Misratah, Murzuq, Sabha, Sawfajjin, Surt, Tarabulus, Tarhunah, Tubruq, Yafran, Zlitan; note - the 25 municipalities may have been replaced by 13 regions |
| Independence: | 24 December 1951 (from UN trusteeship) |
| National holiday: | Revolution Day, 1 September (1969) |
| Constitution: | 11 December 1969; amended 2 March 1977 |
| Legal system: | based on Italian civil law system and Islamic law; separate religious courts; no constitutional provision for judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: Revolutionary Leader Col. Muammar Abu Minyar al-QADHAFI (since 1 September 1969); note - holds no official title, but is de facto chief of state |
| Executive branch: | head of government: Secretary of the General People's Committee (Prime Minister) al-Baghdadi Ali al-MAHMUDI (since 5 March 2006) |
| Executive branch: | cabinet: General People's Committee established by the General People's Congress |
| Executive branch: | elections: national elections are indirect through a hierarchy of people's committees; head of government elected by the General People's Congress; election last held 2 March 2000 (next to be held NA) |
| Executive branch: | election results: NA |
| Legislative branch: | unicameral General People's Congress (NA seats; members elected indirectly through a hierarchy of people's committees) |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | various Arab nationalist movements with almost negligible memberships may be functioning clandestinely, as well as some Islamic elements; an anti-QADHAFI Libyan exile movement exists, primarily based in London, but has little influence |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: ambassador (vacant); Charge d'Affaires Ali AUJALI |
| Diplomatic representation in the US: | chancery: 2600 Virginia Avenue NW, Suite 705, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-9601 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-9060 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires ad Interim Gregory L. BERRY |
| Diplomatic representation from the US: | embassy: Corinthia Bab Africa Hotel, Souq At-Tlat Al-Qadim, Tripoli |
| Diplomatic representation from the US: | mailing address: US Embassy, 8850 Tripoli Place, Washington, DC 20521-8850 |
| Diplomatic representation from the US: | telephone: [218] 21-335-1848 |
| Flag description: | plain green; green is the traditional color of Islam (the state religion) |
