| Government | Libya |
| --- | --- |
| Country name: | conventional long form: Great Socialist People's Libyan Arab Jamahiriya |
| Country name: | conventional short form: Libya |
| Country name: | local long form: Al Jamahiriyah al Arabiyah al Libiyah ash Shabiyah al Ishtirakiyah al Uthma |
| Country name: | local short form: none |
| Government type: | Jamahiriya (a state of the masses) in theory, governed by the populace through local councils; in practice, an authoritarian state |
| Capital: | name: Tripoli (Tarabulus) |
| Capital: | geographic coordinates: 32 53 N, 13 10 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 25 municipalities (baladiyat, singular - baladiyah); Ajdabiya, Al 'Aziziyah, Al Fatih, Al Jabal al Akhdar, Al Jufrah, Al Khums, Al Kufrah, An Nuqat al Khams, Ash Shati', Awbari, Az Zawiyah, Banghazi, Darnah, Ghadamis, Gharyan, Misratah, Murzuq, Sabha, Sawfajjin, Surt, Tarabulus, Tarhunah, Tubruq, Yafran, Zlitan; note - the 25 municipalities may have been replaced by 13 regions |
| Independence: | 24 December 1951 (from UN trusteeship) |
| National holiday: | Revolution Day, 1 September (1969) |
| Constitution: | none; note - following the September 1969 military overthrow of the Libyan government, the Revolutionary Command Council replaced the existing constitution with the Constitutional Proclamation in December 1969; in March 1977, Libya adopted the Declaration of the Establishment of the People's Authority |
| Legal system: | based on Italian and French civil law systems and Islamic law; separate religious courts; no constitutional provision for judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and technically compulsory |
| Executive branch: | chief of state: Revolutionary Leader Col. Muammar Abu Minyar al-QADHAFI (since 1 September 1969); note - holds no official title, but is de facto chief of state |
| Executive branch: | head of government: Secretary of the General People's Committee (Prime Minister) al-Baghdadi Ali al-MAHMUDI (since 5 March 2006) |
| Executive branch: | cabinet: General People's Committee established by the General People's Congress |
| Executive branch: | elections: national elections are indirect through a hierarchy of people's committees; head of government elected by the General People's Congress; election last held March 2006 (next to be held March 2009) |
| Executive branch: | election results: NA |
| Legislative branch: | unicameral General People's Congress (760 seats; members elected indirectly through a hierarchy of people's committees) |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | other: Arab nationalist movements; anti-QADHAFI Libyan exile Movement; Islamic elements |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ali Suleiman AUJALI |
| Diplomatic representation in the US: | chancery: 2600 Virginia Avenue NW, Suite 705, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-9601 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-9060 |
| Diplomatic representation from the US: | chief of mission: Ambassador Gene A. CRETZ |
| Diplomatic representation from the US: | embassy: off Jaraba Street, behind the Libyan-Swiss clinic, Ben Ashour |
| Diplomatic representation from the US: | mailing address: US Embassy, 8850 Tripoli Place, Washington, DC 20521-8850 |
| Diplomatic representation from the US: | telephone: [218] 91-220-3239 |
| Flag description: | plain green; green is the traditional color of Islam (the state religion) |
