| Government |
| --- | --- |
| Country name: | conventional long form: Argentine Republic |
| Country name: | conventional short form: Argentina |
| Country name: | local long form: Republica Argentina |
| Country name: | local short form: Argentina |
| Government type: | republic |
| Capital: | Buenos Aires |
| Administrative divisions: | 23 provinces (provincias, singular - provincia), and 1 autonomous city* (distrito federal); Buenos Aires; Buenos Aires Capital Federal*; Catamarca; Chaco; Chubut; Cordoba; Corrientes; Entre Rios; Formosa; Jujuy; La Pampa; La Rioja; Mendoza; Misiones; Neuquen; Rio Negro; Salta; San Juan; San Luis; Santa Cruz; Santa Fe; Santiago del Estero; Tierra del Fuego, Antartica e Islas del Atlantico Sur; Tucuman |
| Administrative divisions: | note: the US does not recognize any claims to Antarctica |
| Independence: | 9 July 1816 (from Spain) |
| National holiday: | Revolution Day, 25 May (1810) |
| Constitution: | 1 May 1853; revised August 1994 |
| Legal system: | mixture of US and West European legal systems; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and mandatory |
| Executive branch: | chief of state: President Fernando DE LA RUA (since 10 December 1999); Vice President Carlos "Chacho" ALVAREZ resigned 6 October 2000 and a replacement has not yet been named; note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Fernando DE LA RUA (since 10 December 1999); Vice President Carlos "Chacho" ALVAREZ resigned 6 October 2000 and a replacement has not yet been named; note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms; election last held 24 October 1999 (next to be held NA October 2003) |
| Executive branch: | election results: Fernando DE LA RUA elected president; percent of vote - 48.5% |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Senate (72 seats; formerly, three members appointed by each of the provincial legislatures; presently transitioning to one-third of the members being elected every two years to six-year terms) and the Chamber of Deputies (257 seats; one-half of the members elected every two years to four-year terms) |
| Legislative branch: | elections: Senate - transition phase will begin in the 2001 elections when all seats will be fully contested; winners will randomly draw to determine whether they will serve a two-year, four-year, or full six-year term, beginning a rotating cycle renovating one-third of the body every two years; Chamber of Deputies - last held 24 October 1999 (next to be held NA October 2001) |
| Legislative branch: | election results: Senate - percent of vote by bloc or party - NA%; seats by bloc or party - Peronist 40, UCR 20, Frepaso 1, other 11; Chamber of Deputies - percent of vote by bloc or party - NA%; seats by bloc or party - Alliance 124 (UCR 85, Frepaso 36, others 3), Peronist 101, AR 12, other 20 |
| Judicial branch: | Supreme Court or Corte Suprema (the nine Supreme Court judges are appointed by the president with approval by the Senate) |
| Political parties and leaders: | Action for the Republic or AR [Domingo CAVALLO]; Front for a Country in Solidarity or Frepaso (a four-party coalition) [Carlos ALVAREZ]; Justicialist Party or PJ [Carlos Saul MENEM] (Peronist umbrella political organization); Radical Civic Union or UCR [Raul ALFONSIN]; several provincial parties |
| Political pressure groups and leaders: | Argentine Association of Pharmaceutical Labs (CILFA); Argentine Industrial Union (manufacturers' association); Argentine Rural Society (large landowners' association); business organizations; General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization); Peronist-dominated labor movement; Roman Catholic Church; students |
| International organization participation: | AfDB, Australia Group, BCIE, BIS, CCC, ECLAC, FAO, G-6, G-11, G-15, G-19, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur, MINURSO, MIPONUH, MTCR, NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNMEE, UNMIBH, UNMIK, UNMOP, UNTSO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Guillermo Enrique GONZALEZ |
| Diplomatic representation in the US: | chancery: 1600 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6400 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3171 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James D. WALSH |
| Diplomatic representation from the US: | embassy: Avenida Colombia 4300, 1425 Buenos Aires |
| Diplomatic representation from the US: | mailing address: international mail: use street address; APO address: Unit 4334, APO AA 34034 |
| Diplomatic representation from the US: | telephone: [54] (11) 4777-4533/4534 |
| Diplomatic representation from the US: | FAX: [54] (11) 4511-4997 |
| Flag description: | three equal horizontal bands of light blue (top), white, and light blue; centered in the white band is a radiant yellow sun with a human face known as the Sun of May |
