| Government | Argentina |
| --- | --- |
| Country name: | conventional long form: Argentine Republic |
| Country name: | conventional short form: Argentina |
| Country name: | local long form: Republica Argentina |
| Country name: | local short form: Argentina |
| Government type: | republic |
| Capital: | name: Buenos Aires |
| Capital: | geographic coordinates: 34 36 S, 58 27 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 23 provinces (provincias, singular - provincia) and 1 autonomous city* (distrito federal); Buenos Aires, Buenos Aires Capital Federal*, Catamarca, Chaco, Chubut, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago del Estero, Tierra del Fuego - Antartida e Islas del Atlantico Sur, Tucuman |
| Administrative divisions: | note: the US does not recognize any claims to Antarctica |
| Independence: | 9 July 1816 (from Spain) |
| National holiday: | Revolution Day, 25 May (1810) |
| Constitution: | 1 May 1853; revised August 1994 |
| Legal system: | mixture of US and West European legal systems; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Nestor KIRCHNER (since 25 May 2003); Vice President Daniel SCIOLI (since 25 May 2003); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Nestor KIRCHNER (since 25 May 2003); Vice President Daniel SCIOLI (since 25 May 2003); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held 27 April 2003 (next election to be held in 2007) |
| Executive branch: | election results: results of the presidential election of 27 April 2003: Carlos Saul MENEM 24.3%, Nestor KIRCHNER 22%, Ricardo Lopez MURPHY 16.4%, Adolfo Rodriguez SAA 14.4%, Elisa CARRIO 14.2%, other 8.7%; the subsequent runoff election slated for 25 May 2003 was awarded to KIRCHNER by default after MENEM withdrew his candidacy on the eve of the election |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Senate (72 seats; members are elected by direct vote; presently one-third of the members elected every two years to a six-year term) and the Chamber of Deputies (257 seats; members are elected by direct vote; one-half of the members elected every two years to a four-year term) |
| Legislative branch: | elections: Senate - last held 23 October 2005 (next to be held in 2007); Chamber of Deputies - last held last held 23 October 2005 (next to be held in 2007) |
| Legislative branch: | election results: Senate - percent of vote by bloc or party - FV 45.1%, FJ 17.2%, UCR 7.5%, other 30.2%; seats by bloc or party - FV 14, FJ 3, UCR 2, other 5; Chamber of Deputies - percent of vote by bloc or party - FV 29.9%, UCR 8.9%, ARI 7.2%, PJ 6.7%, PRO 6.2%, FJ 3.9%, other 37.2%; seats by bloc or party - FV 50, UCR 10, ARI 8, PJ 9, PRO 9, FJ 7, other 34 |
| Judicial branch: | Supreme Court or Corte Suprema (the nine Supreme Court judges are appointed by the president with approval by the Senate) |
| Political parties and leaders: | Alternative for a Republic of Equals or ARI [Elisa CARRIO]; Front for Victory or FV [Nestor KIRCHNER]; Interbloque Federal or IF (a broad coalition of approximately 12 parties including RECREAR); Justicialist Front or FJ [Eduardo DUHALDE]; Justicialist Party or PJ (Peronist umbrella political organization); Radical Civic Union or UCR [Roberto IGLESIAS]; Republican Initiative Alliance or PRO (including Federal Recreate Movement or RECREAR [Ricardo LOPEZ MURPHY] and Commitment for Change or CPC [Mauricio MACRI]); Socialist Party or PS [Ruben GIUSTINIANI]; Union For All [Patricia BULLRICH]; several provincial parties |
| Political pressure groups and leaders: | Argentine Association of Pharmaceutical Labs (CILFA); Argentine Industrial Union (manufacturers' association); Argentine Rural Society (large landowners' association); business organizations; Central of Argentine Workers or CTA (a radical union for employed and unemployed workers); General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization); Peronist-dominated labor movement; Piquetero groups (popular protest organizations that can be either pro or anti-government); Roman Catholic Church; students |
| International organization participation: | ABEDA, AfDB, Australia Group, BCIE, BIS, CAN (associate), CSN, FAO, G-6, G-15, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, NSG, OAS, OPANAL, OPCW, PCA, RG, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNMOVIC, UNTSO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Jose Octavio BORDON |
| Diplomatic representation in the US: | chancery: 1600 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6400 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3171 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Earl Anthony WAYNE |
| Diplomatic representation from the US: | embassy: Avenida Colombia 4300, C1425GMN Buenos Aires |
| Diplomatic representation from the US: | mailing address: international mail: use street address; APO address: Unit 4334, APO AA 34034 |
| Diplomatic representation from the US: | telephone: [54] (11) 5777-4533 |
| Diplomatic representation from the US: | FAX: [54] (11) 5777-4240 |
| Flag description: | three equal horizontal bands of light blue (top), white, and light blue; centered in the white band is a radiant yellow sun with a human face known as the Sun of May |
