| Government | Argentina |
| --- | --- |
| Country name: | conventional long form: Argentine Republic |
| Country name: | conventional short form: Argentina |
| Country name: | local long form: Republica Argentina |
| Country name: | local short form: Argentina |
| Government type: | republic |
| Capital: | name: Buenos Aires |
| Capital: | geographic coordinates: 34 36 S, 58 40 W |
| Capital: | time difference: UTC-3 (2 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: none scheduled for 2011 |
| Administrative divisions: | 23 provinces (provincias, singular - provincia) and 1 autonomous city*; Buenos Aires, Catamarca, Chaco, Chubut, Ciudad Autonoma de Buenos Aires*, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago del Estero, Tierra del Fuego - Antartida e Islas del Atlantico Sur (Tierra del Fuego), Tucuman |
| Administrative divisions: | note: the US does not recognize any claims to Antarctica |
| Independence: | 9 July 1816 (from Spain) |
| National holiday: | Revolution Day, 25 May (1810) |
| Constitution: | 1 May 1853; amended many times starting in 1860 |
| Legal system: | civil law system based on West European legal systems; note - efforts at civil code reform begun in the mid-1980s has stagnated |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18-70 years of age; universal and compulsory |
| Executive branch: | chief of state: President Cristina FERNANDEZ DE KIRCHNER (since 10 December 2007); Vice President Julio COBOS (since 10 December 2007); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Cristina FERNANDEZ DE KIRCHNER (since 10 December 2007); Vice President Julio COBOS (since 10 December 2007) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held on 23 October 2011 (next election to be held in October 2015) |
| Executive branch: | election results: Cristina FERNANDEZ DE KIRCHNER reelected president; percent of vote - Cristina FERNANDEZ DE KIRCHNER 54%, Hermes BINNER 16.9%, Ricardo ALFONSIN 11.1%, Alberto Rodriguez SAA 8%, Eduardo DUHALDE 5.9%, other 4.1% |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Senate (72 seats; members are elected by direct vote; presently one-third of the members elected every two years to serve six-year terms) and the Chamber of Deputies (257 seats; members are elected by direct vote; one-half of the members elected every two years to serve four-year terms) |
| Legislative branch: | elections: Senate - last held on 28 June 2009 (next to be held in 2011); Chamber of Deputies - last held on 28 June 2009 (next to be held in 2011) |
| Legislative branch: | election results: Senate - percent of vote by bloc or party - NA; seats by bloc or party - FpV 8, ACyS 14, PJ disidente 2; Chamber of Deputies - percent of vote by bloc or party - NA; seats by bloc or party - FpV 45, ACyS 42, PRO 20, PJ disidente 12, other 8; note - as of 1 February 2011, the composition of the entire legislature is as follows: Senate - seats by bloc or party - FpV 32, UCR 16, PJ disidente 14, other 10; Chamber of Deputies - seats by bloc or party - FpV 87, ACyS 43, PRO 11, PJ disidente 28, CC 19, PS 6, other 63 |
| Judicial branch: | Supreme Court or Corte Suprema (the Supreme Court judges are appointed by the president with approval of the Senate) |
| Judicial branch: | note: the Supreme Court has seven judges; the Argentine Congress in 2006 passed a bill to gradually reduce the number of Supreme Court judges to five |
| Political parties and leaders: | Civic and Social Accord or ACyS (a now-defunct center-left alliance that included the CC, UCR, and Socialist parties-created ahead of the 2009 legislative elections); Civic Coalition or CC (a broad coalition loosely affiliated with Elisa CARRIO); Dissident Peronists or PJ Disidente (a sector of the Justicialist Party opposed to the Kirchners); Front for Victory or FpV (a broad coalition, including elements of the UCR and numerous provincial parties) [Cristina FERNANDEZ DE KIRCHNER]; Justicialist Party or PJ [Daniel SCIOLI]; Radical Civic Union or UCR [Ernesto SANZ]; Republican Proposal or PRO [Mauricio MACRI] (including Federal Recreate Movement or RECREAR [Esteban BULLRICH]; Socialist Party or PS [Ruben GIUSTINIANI]; Union For All [Patricia BULLRICH] (associated with the Civic Coalition); numerous provincial parties |
| Political pressure groups and leaders: | Argentine Association of Pharmaceutical Labs (CILFA); Argentine Industrial Union (manufacturers' association); Argentine Rural Confederation or CRA (small to medium landowners' association); Argentine Rural Society (large landowners' association); Central of Argentine Workers or CTA (a radical union for employed and unemployed workers); General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization); White and Blue CGT (dissident CGT labor confederation); Roman Catholic Church |
| Political pressure groups and leaders: | other: business organizations; Peronist-dominated labor movement; Piquetero groups (popular protest organizations that can be either pro or anti-government); students |
| International organization participation: | AfDB (nonregional member), Australia Group, BCIE, BIS, CAN (associate), FAO, FATF, G-15, G-20, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAES, LAIA, Mercosur, MIGA, MINURSO, MINUSTAH, NAM (observer), NSG, OAS, OPANAL, OPCW, Paris Club (associate), PCA, RG, SICA (observer), UN, UNASUR, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, Union Latina (observer), UNTSO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Alfredo Vicente CHIARADIA |
| Diplomatic representation in the US: | chancery: 1600 New Hampshire Avenue NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6400 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3171 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Vilma MARTINEZ |
| Diplomatic representation from the US: | embassy: Avenida Colombia 4300, C1425GMN Buenos Aires |
| Diplomatic representation from the US: | mailing address: international mail: use embassy street address; APO address: US Embassy Buenos Aires, Unit 4334, APO AA 34034 |
| Diplomatic representation from the US: | telephone: [54] (11) 5777-4533 |
| Diplomatic representation from the US: | FAX: [54] (11) 5777-4240 |
| Flag description: | three equal horizontal bands of light blue (top), white, and light blue; centered in the white band is a radiant yellow sun with a human face known as the Sun of May; the colors represent the clear skies and snow of the Andes; the sun symbol commemorates the appearance of the sun through cloudy skies on 25 May 1810 during the first mass demonstration in favor of independence; the sun features are those of Inti, the Inca god of the sun |
| National symbol(s): | Sun of May (a sun-with-face symbol) |
| National anthem: | name: "Himno Nacional Argentino" (Argentine National Anthem) |
| National anthem: | lyrics/music: Vicente LOPEZ y PLANES/Jose Blas PARERA |
| National anthem: | note: adopted 1813; Vicente LOPEZ was inspired to write the anthem after watching a play about the 1810 May Revolution against Spain |
