| Government | Tunisia |
| --- | --- |
| Country name: | conventional long form: Republic of Tunisia |
| Country name: | conventional short form: Tunisia |
| Country name: | local long form: Al Jumhuriyah at Tunisiyah |
| Country name: | local short form: Tunis |
| Country name: | etymology: the country name derives from the capital city of Tunis |
| Government type: | parliamentary republic |
| Capital: | name: Tunis |
| Capital: | geographic coordinates: 36 48 N, 10 11 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 24 governorates (wilayat, singular - wilayah); Beja (Bajah), Ben Arous (Bin 'Arus), Bizerte (Banzart), Gabes (Qabis), Gafsa (Qafsah), Jendouba (Jundubah), Kairouan (Al Qayrawan), Kasserine (Al Qasrayn), Kebili (Qibili), Kef (Al Kaf), L'Ariana (Aryanah), Mahdia (Al Mahdiyah), Manouba (Manubah), Medenine (Madanin), Monastir (Al Munastir), Nabeul (Nabul), Sfax (Safaqis), Sidi Bouzid (Sidi Bu Zayd), Siliana (Silyanah), Sousse (Susah), Tataouine (Tatawin), Tozeur (Tawzar), Tunis, Zaghouan (Zaghwan) |
| Independence: | 20 March 1956 (from France) |
| National holiday: | Independence Day, 20 March (1956)Revolution and Youth Day, 14 January (2011) |
| Constitution: | history: several previous; latest approved by Constituent Assembly 26 January 2014, signed by the president, prime minister, and Constituent Assembly speaker 27 January 2014 (2017) |
| Constitution: | amendments: proposed by the president of the republic or by one-third of members of the Assembly of the Representatives of the People; following review by the Constitutional Court, approval to proceed requires an absolute majority vote by the Assembly and final passage requires a two-thirds majority vote by the Assembly; the president can opt to submit an amendment to a referendum, which requires an absolute majority of votes cast for passage (2017) |
| Legal system: | mixed legal system of civil law, based on the French civil code and Islamic law; some judicial review of legislative acts in the Supreme Court in joint session |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Tunisia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal except for active government security forces (including the police and the military), people with mental disabilities, people who have served more than three months in prison (criminal cases only), and people given a suspended sentence of more than six months |
| Judicial branch: | highest courts: Court of Cassation or Cour de Cassation (organized into 1 civil and 3 criminal chambers); Constitutional Court (established in 2014, but remained vacant as of late 2018) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the Supreme Judicial Council (SJC), an independent 4-part body consisting mainly of elected judges and the remainder legal specialists; judge tenure based on terms of appointment; Constitutional Court NA |
| Judicial branch: | subordinate courts: Courts of Appeal; administrative courts; Court of Audit; Housing Court; courts of first instance; lower district courts; military courts |
| Judicial branch: | note: the new Tunisian constitution of January 2014 called for the creation of a constitutional court by the end of 2015, but as of November 2018, the court had not been appointed; the court will consist of 12 members - 4 each appointed by the president, SJC, and the Chamber of the People's Deputies (parliament); members will serve 9-year terms with one-third of the membership renewed every 3 years |
| Executive branch: | chief of state: President Beji CAID ESSEBSI (since 31 December 2014) |
| Executive branch: | head of government: Prime Minister Youssef CHAHED (since 27 August 2016) |
| Executive branch: | cabinet: selected by the prime minister and approved by the Assembly of the Representatives of the People |
