| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Peru |
| Country name: | conventional short form: Peru |
| Country name: | local long form: Republica del Peru |
| Country name: | local short form: Peru |
| Government type: | constitutional republic |
| Capital: | Lima |
| Administrative divisions: | 24 departments (departamentos, singular - departamento) and 1 constitutional province* (provincia constitucional); Amazonas, Ancash, Apurimac, Arequipa, Ayacucho, Cajamarca, Callao*, Cusco, Huancavelica, Huanuco, Ica, Junin, La Libertad, Lambayeque, Lima, Loreto, Madre de Dios, Moquegua, Pasco, Piura, Puno, San Martin, Tacna, Tumbes, Ucayali |
| Administrative divisions: | note: the 1979 constitution mandated the creation of regions (regiones, singular - region) to function eventually as autonomous economic and administrative entities; so far, 12 regions have been constituted from 23 of the 24 departments - Amazonas (from Loreto), Andres Avelino Caceres (from Huanuco, Pasco, Junin), Arequipa (from Arequipa), Chavin (from Ancash), Grau (from Tumbes, Piura), Inca (from Cusco, Madre de Dios, Apurimac), La Libertad (from La Libertad), Los Libertadores-Huari (from Ica, Ayacucho, Huancavelica), Mariategui (from Moquegua, Tacna, Puno), Nor Oriental del Maranon (from Lambayeque, Cajamarca, Amazonas), San Martin (from San Martin), Ucayali (from Ucayali); formation of another region has been delayed by the reluctance of the constitutional province of Callao to merge with the department of Lima; because of inadequate funding from the central government and organizational and political difficulties, the regions have yet to assume major responsibilities; the 1993 constitution retains the regions but limits their authority; the 1993 constitution also reaffirms the roles of departmental and municipal governments |
| Independence: | 28 July 1821 (from Spain) |
| National holiday: | Independence Day, 28 July (1821) |
| Constitution: | 31 December 1993 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alejandro TOLEDO (since 28 July 2001); note - the president is both the chief of state and head of government; additionally two vice presidents are provided for by the Constitution, First Vice President Raul DIEZ Conseco (since 28 July 2001) and Second Vice President David WAISMAN (since 28 July 2001) |
| Executive branch: | head of government: President Alejandro TOLEDO (since 28 July 2001); note - the president is both the chief of state and head of government; additionally two vice presidents are provided for by the Constitution, First Vice President Raul DIEZ Conseco (since 28 July 2001) and Second Vice President David WAISMAN (since 28 July 2001) |
| Executive branch: | note: Prime Minister Roberto DANINO (since 28 July 2001) does not exercise executive power; this power is in the hands of the president |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; special presidential election held 8 April 2001 with runoff election 3 June 2001); next to be held NA 2006 |
| Executive branch: | election results: President TOLEDO elected in runoff election; percent of vote - Alejandro TOLEDO 53.1%, Alan GARCIA 46.9% |
| Legislative branch: | unicameral Democratic Constituent Congress or Congresso Constituyente Democratico (120 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 9 April 2000 (next to be held 8 April 2001) |
| Legislative branch: | note: many congressmen defected to and then from former President FUJIMORI's coalition in 2000 |
| Legislative branch: | election results: percent of vote by party - Peru 2000 42.16%, Peru Possible 23.34%, FIM 7.56%, Somos Peru 7.2%, APRA 5.5%, others 14.24%; seats by party - Peru 2000 52, Peru Possible 29, FIM 9, others 30 |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (judges are appointed by the National Council of the Judiciary) |
