| Government | Peru |
| --- | --- |
| Country name: | conventional long form: Republic of Peru |
| Country name: | conventional short form: Peru |
| Country name: | local long form: Republica del Peru |
| Country name: | local short form: Peru |
| Government type: | constitutional republic |
| Capital: | Lima |
| Administrative divisions: | 24 departments (departamentos, singular - departamento) and 1 constitutional province* (provincia constitucional); Amazonas, Ancash, Apurimac, Arequipa, Ayacucho, Cajamarca, Callao*, Cusco, Huancavelica, Huanuco, Ica, Junin, La Libertad, Lambayeque, Lima, Loreto, Madre de Dios, Moquegua, Pasco, Piura, Puno, San Martin, Tacna, Tumbes, Ucayali |
| Administrative divisions: | note: the 1979 constitution mandated the creation of regions (regiones, singular - region) to function eventually as autonomous economic and administrative entities; so far, 12 regions have been constituted from 23 of the 24 departments - Amazonas (from Loreto), Andres Avelino Caceres (from Huanuco, Pasco, Junin), Arequipa (from Arequipa), Chavin (from Ancash), Grau (from Tumbes, Piura), Inca (from Cusco, Madre de Dios, Apurimac), La Libertad (from La Libertad), Los Libertadores-Huari (from Ica, Ayacucho, Huancavelica), Mariategui (from Moquegua, Tacna, Puno), Nor Oriental del Maranon (from Lambayeque, Cajamarca, Amazonas), San Martin (from San Martin), Ucayali (from Ucayali); formation of another region has been delayed by the reluctance of the constitutional province of Callao to merge with the department of Lima; because of inadequate funding from the central government and organizational and political difficulties, the regions have yet to assume major responsibilities; the 1993 constitution retains the regions but limits their authority; the 1993 constitution also reaffirms the roles of departmental and municipal governments |
| Independence: | 28 July 1821 (from Spain) |
| National holiday: | Independence Day, 28 July (1821) |
| Constitution: | 31 December 1993 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Alejandro TOLEDO Manrique (since 28 July 2001); note - the president is both the chief of state and head of government; additionally two vice presidents are provided for by the constitution, First Vice President Raul DIEZ Canseco (since 28 July 2001) and Second Vice President David WAISMAN (since 28 July 2001) |
| Executive branch: | head of government: President Alejandro TOLEDO Manrique (since 28 July 2001); note - the president is both the chief of state and head of government; additionally two vice presidents are provided for by the constitution, First Vice President Raul DIEZ Canseco (since 28 July 2001) and Second Vice President David WAISMAN (since 28 July 2001) |
| Executive branch: | note: Prime Minister Luis SOLARI DE LA FUENTE (since 12 July 2002) does not exercise executive power; this power is in the hands of the president; DANINO resigned 11 July 2002 and was replaced by Luis SOLARI |
| Executive branch: | elections: president elected by popular vote for a five-year term; special presidential and congressional elections held 8 April 2001, with runoff election held 3 June 2001; next to be held 9 April 2006 |
| Executive branch: | election results: President Alejandro TOLEDO Manrique elected president in runoff election; percent of vote - Alejandro TOLEDO Manrique 53.1%, Alan GARCIA 46.9% |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Legislative branch: | unicameral Congress of the Republic of Peru or Congresso de la Republica del Peru (120 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | election results: percent of vote by party - Peru Posible 26.3%, APRA 19.7%, Unidad Nacional 13.8%, FIM 11.0%, others 29.2%; seats by party - Peru Posible 47, APRA 28, Unidad Nacional 17, FIM 11, others 17 |
| Legislative branch: | elections: last held 8 April 2001 (next to be held 9 April 2006) |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (judges are appointed by the National Council of the Judiciary) |
