| Government | Peru |
| --- | --- |
| Country name: | conventional long form: Republic of Peru |
| Country name: | conventional short form: Peru |
| Country name: | local long form: Republica del Peru |
| Country name: | local short form: Peru |
| Government type: | constitutional republic |
| Capital: | name: Lima |
| Capital: | geographic coordinates: 12 03 S, 77 03 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Administrative divisions: | 25 regions (regiones, singular - region) and 1 province* (provincia); Amazonas, Ancash, Apurimac, Arequipa, Ayacucho, Cajamarca, Callao, Cusco, Huancavelica, Huanuco, Ica, Junin, La Libertad, Lambayeque, Lima, Lima*, Loreto, Madre de Dios, Moquegua, Pasco, Piura, Puno, San Martin, Tacna, Tumbes, Ucayali |
| Independence: | 28 July 1821 (from Spain) |
| National holiday: | Independence Day, 28 July (1821) |
| Constitution: | 29 December 1993 |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory until the age of 70 |
| Executive branch: | chief of state: President Ollanta HUMALA Tasso (since 28 July 2011); First Vice President Marisol ESPINOZA Cruz (since 28 July 2011); Second Vice President (vacant); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ollanta HUMALA Tasso (since 28 July 2011); First Vice President Marisol ESPINOZA Cruz (since 28 July 2011); Second Vice President (vacant) |
| Executive branch: | note: Prime Minister Juan Federico JIMENEZ Mayor (since 23 July 2012) does not exercise executive power; this power rests with the president |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for nonconsecutive reelection); presidential and congressional elections last held on 10 April 2011 with runoff election held on 6 June 2011 (next to be held in April 2016) |
| Executive branch: | election results: Ollanta HUMALA Tasso elected president in runoff election; percent of vote - Ollanta HUMALA Tasso 51.5%, Keiko FUJIMORI Higuchi 48.5% |
| Legislative branch: | unicameral Congress of the Republic of Peru or Congreso de la Republica del Peru (130 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 10 April 2011 (next to be held in April 2016) |
| Legislative branch: | election results: percent of vote by party - Gana Peru 25.3%, Fuerza 2011 23%, PP 14.8%, Alliance for Great Change 14.4%, National Solidarity 10.2%, Peruvian Aprista Party 6.4%, other 5.9%; seats by party - Gana Peru 47, Fuerza 2011 37, PP 21, Alliance for Great Change 12, National Solidarity 9, Peruvian Aprista Party 4; note - defections by members of National Assembly are commonplace, resulting in frequent changes in the numbers of seats held by the various parties |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (judges are appointed by the National Council of the Judiciary) |
