| Government | Dominica |
| --- | --- |
| Country name: | conventional long form: Commonwealth of Dominica |
| Country name: | conventional short form: Dominica |
| Government type: | parliamentary democracy |
| Capital: | name: Roseau |
| Capital: | geographic coordinates: 15 18 N, 61 24 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 parishes; Saint Andrew, Saint David, Saint George, Saint John, Saint Joseph, Saint Luke, Saint Mark, Saint Patrick, Saint Paul, Saint Peter |
| Independence: | 3 November 1978 (from UK) |
| National holiday: | Independence Day, 3 November (1978) |
| Constitution: | 3 November 1978 |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nicholas J. O. LIVERPOOL (since October 2003) |
| Executive branch: | head of government: Prime Minister Roosevelt SKERRIT (since 8 January 2004); note - assumed post after death of Prime Minister Pierre CHARLES |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister |
| Executive branch: | elections: president elected by the House of Assembly for a five-year term; election last held 1 October 2003 (next to be held October 2008); prime minister appointed by the president |
| Executive branch: | election results: Nicholas LIVERPOOL elected president; percent of legislative vote - NA% |
| Legislative branch: | unicameral House of Assembly (30 seats, 9 appointed senators, 21 elected by popular vote; members serve five-year terms) |
| Legislative branch: | elections: last held 5 May 2005 (next to be held by 5 August 2010); note - tradition dictates that the election will be held within five years of the last election, but technically it is five years from the first seating of parliament (12 May 2005) plus a 90-day grace period |
| Legislative branch: | election results: percent of vote by party - DLP 52.07%, UWP 43.6%, DFP 3.15%; seats by party - DLP 12, UWP 8, independent 1 |
| Judicial branch: | Eastern Caribbean Supreme Court, consisting of the Court of Appeal and the High Court (located in Saint Lucia; one of the six judges must reside in Dominica and preside over the Court of Summary Jurisdiction) |
| Political parties and leaders: | Dominica Freedom Party or DFP [Charles SAVARIN]; Dominica Labor Party or DLP [Roosevelt SKERRIT]; Dominica United Workers Party or UWP [Earl WILLIAMS] |
| Political pressure groups and leaders: | Dominica Liberation Movement or DLM (a small leftist party) |
| International organization participation: | ACCT, ACP, C, Caricom, CDB, FAO, G-77, IBRD, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO (subscriber), ITU, MIGA, NAM (observer), OAS, OECS, OIF, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Judith Anne ROLLE, Third Secretary |
| Diplomatic representation in the US: | chancery: 3216 New Mexico Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-6781 |
| Diplomatic representation in the US: | FAX: [1] (202) 364-6791 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | the US does not have an embassy in Dominica; the US Ambassador to Barbados is accredited to Dominica |
| Flag description: | green, with a centered cross of three equal bands - the vertical part is yellow (hoist side), black, and white and the horizontal part is yellow (top), black, and white; superimposed in the center of the cross is a red disk bearing a sisserou parrot encircled by 10 green, five-pointed stars edged in yellow; the 10 stars represent the 10 administrative divisions (parishes) |
