| Government | Liechtenstein |
| --- | --- |
| Country name: | conventional long form: Principality of Liechtenstein |
| Country name: | conventional short form: Liechtenstein |
| Country name: | local long form: Fuerstentum Liechtenstein |
| Country name: | local short form: Liechtenstein |
| Government type: | constitutional monarchy |
| Capital: | name: Vaduz |
| Capital: | geographic coordinates: 47 09 N, 9 31 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 11 communes (Gemeinden, singular - Gemeinde); Balzers, Eschen, Gamprin, Mauren, Planken, Ruggell, Schaan, Schellenberg, Triesen, Triesenberg, Vaduz |
| Independence: | 23 January 1719 (Principality of Liechtenstein established); 12 July 1806 (independence from the Holy Roman Empire) |
| National holiday: | Assumption Day, 15 August |
| Constitution: | 5 October 1921 |
| Legal system: | local civil and penal codes; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Prince HANS ADAM II (since 13 November 1989, assumed executive powers 26 August 1984); Heir Apparent Prince ALOIS, son of the monarch (born 11 June 1968); note - on 15 August 2004, HANS ADAM transferred the official duties of the ruling prince to ALOIS, but HANS ADAM retains status of chief of state |
| Executive branch: | head of government: Head of Government Ottmar HASLER (since 5 April 2001) and Deputy Head of Government Rita KIEBER-BECK (since 5 April 2001) |
| Executive branch: | cabinet: Cabinet elected by the Parliament, confirmed by the monarch |
| Executive branch: | elections: none; the monarch is hereditary; following legislative elections, the leader of the majority party in the Landtag is usually appointed the head of government by the monarch and the leader of the largest minority party in the Landtag is usually appointed the deputy head of government by the monarch |
| Legislative branch: | unicameral Parliament or Landtag (25 seats; members are elected by direct, popular vote under proportional representation to serve four-year terms) |
| Legislative branch: | elections: last held 11 and 13 March 2005 (next to be held by NA 2009) |
| Legislative branch: | election results: percent of vote by party - FBP 48.7%, VU 38.2%, FL 13%; seats by party - FBP 12, VU 10, FL 3 |
| Judicial branch: | Supreme Court or Oberster Gerichtshof; Court of Appeal or Obergericht |
| Political parties and leaders: | Patriotic Union (was Fatherland Union) or VU [Adolf HEEB]; Progressive Citizens' Party or FBP [Otmar HASLER]; The Free List or FL |
| Political pressure groups and leaders: | NA |
| International organization participation: | CE, EBRD, EFTA, IAEA, ICCt, ICRM, IFRCS, Interpol, IOC, IPU, ITU, OPCW, OSCE, PCA, UN, UNCTAD, UPU, WCL, WIPO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Claudia FRITSCHE |
| Diplomatic representation in the US: | chancery: 888 17th Street NW, Suite 1250, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 331-0590 |
| Diplomatic representation in the US: | FAX: [1] (202) 331-3221 |
| Diplomatic representation from the US: | the US does not have an embassy in Liechtenstein, but the US Ambassador to Switzerland is also accredited to Liechtenstein |
| Flag description: | two equal horizontal bands of blue (top) and red with a gold crown on the hoist side of the blue band |
