| Government | Liechtenstein |
| --- | --- |
| Country name: | conventional long form: Principality of Liechtenstein |
| Country name: | conventional short form: Liechtenstein |
| Country name: | local short form: Liechtenstein |
| Country name: | local long form: Fuerstentum Liechtenstein |
| Government type: | hereditary constitutional monarchy on a democratic and parliamentary basis |
| Capital: | Vaduz |
| Administrative divisions: | 11 communes (Gemeinden, singular - Gemeinde); Balzers, Eschen, Gamprin, Mauren, Planken, Ruggell, Schaan, Schellenberg, Triesen, Triesenberg, Vaduz |
| Independence: | 23 January 1719 Imperial Principality of Liechtenstein established; 12 July 1806 established independence from the Holy Roman Empire |
| National holiday: | Assumption Day, 15 August |
| Constitution: | 5 October 1921 |
| Legal system: | local civil and penal codes; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Prince HANS ADAM II (since 13 November 1989, assumed executive powers 26 August 1984); Heir Apparent Prince ALOIS, son of the monarch (born 11 June 1968) |
| Executive branch: | elections: none; the monarch is hereditary; following legislative elections, the leader of the majority party in the Diet is usually appointed the head of government by the monarch and the leader of the largest minority party in the Diet is usually appointed the deputy head of government by the monarch |
| Executive branch: | cabinet: Cabinet elected by the Parliament, confirmed by the monarch |
| Executive branch: | head of government: Head of Government Otmar HASLER (since 5 April 2001) and Deputy Head of Government Rita KIEBER-BECK (since 5 April 2001) |
| Legislative branch: | unicameral Parliament or Landtag (25 seats; members are elected by direct, popular vote under proportional representation to serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - FBP 49.90%, VU 41.35%, FL 8.71%; seats by party - FBP 13, VU 11, FL 1 |
| Legislative branch: | elections: last held 11 February 2001 (next to be held by NA 2005) |
| Judicial branch: | Supreme Court or Oberster Gerichtshof; Court of Appeal or Obergericht |
| Political parties and leaders: | Fatherland Union or VU [Oswald KRANZ]; Progressive Citizens' Party or FBP [Ernst WALCH]; The Free List or FL [Dr. Pepo FRICK, Karin JENNY, Rene HASLER] |
| Political pressure groups and leaders: | NA |
| International organization participation: | CE, EBRD, ECE, EFTA, IAEA, ICCt, ICRM, IFRCS, Interpol, IOC, ITU, OPCW, OSCE, PCA, UN, UNCTAD, UPU, WIPO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Claudia FRITSCHE |
| Diplomatic representation in the US: | chancery: 1300 Eye Street NW, Suite 550W, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 216-0460 |
| Diplomatic representation in the US: | FAX: [1] (202) 216-0459 |
| Diplomatic representation from the US: | the US does not have an embassy in Liechtenstein, but the US Ambassador to Switzerland is also accredited to Liechtenstein |
| Flag description: | two equal horizontal bands of blue (top) and red with a gold crown on the hoist side of the blue band |
