| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Chile |
| Country name: | conventional short form: Chile |
| Country name: | local long form: Republica de Chile |
| Country name: | local short form: Chile |
| Government type: | republic |
| Capital: | Santiago |
| Administrative divisions: | 13 regions (regiones, singular - region); Aisen del General Carlos Ibanez del Campo, Antofagasta, Araucania, Atacama, Bio-Bio, Coquimbo, Libertador General Bernardo O'Higgins, Los Lagos, Magallanes y de la Antartica Chilena, Maule, Region Metropolitana (Santiago), Tarapaca, Valparaiso |
| Administrative divisions: | note: the US does not recognize claims to Antarctica |
| Independence: | 18 September 1810 (from Spain) |
| National holiday: | Independence Day, 18 September (1810) |
| Constitution: | 11 September 1980, effective 11 March 1981, amended 30 July 1989, 1993, and 1997 |
| Legal system: | based on Code of 1857 derived from Spanish law and subsequent codes influenced by French and Austrian law; judicial review of legislative acts in the Supreme Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Ricardo LAGOS Escobar (since 11 March 2000); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ricardo LAGOS Escobar (since 11 March 2000); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president elected by popular vote for a six-year term; election last held 12 December 1999, with runoff election held 16 January 2000 (next to be held NA December 2005) |
| Executive branch: | election results: Ricardo LAGOS Escobar elected president; percent of vote - Ricardo LAGOS Escobar 51.32%, Joaquin LAVIN 48.68% |
| Legislative branch: | bicameral National Congress or Congreso Nacional consists of the Senate or Senado (48 seats, 38 elected by popular vote and 10 appointed (all former presidents who served 6 years are senators for life); members serve eight-year terms - one-half elected every four years) and the Chamber of Deputies or Camara de Diputados (120 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 11 December 1997 (next to be held NA December 2001); Chamber of Deputies - last held 11 December 1997 (next to be held NA December 2001) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - CPD (PDC 14, PS 4, PPD 2), RN 7, UDI 10, UCCP 1, independents 10; Chamber of Deputies - percent of vote by party - CPD 50.55% (PDC 22.98%, PS 11.10%, PPD 12.55%, PRSD 3.13%), RN 16.78%, UDI 14.43%; seats by party - CPD 70 (PDC 39, PPD 16, PRSD 4, PS 11), RN 24, UDI 21, Socialist Party 1, right-wing independents 4 |
| Judicial branch: | Supreme Court or Corte Suprema (judges are appointed by the president and ratified by the Senate from lists of candidates provided by the court itself; the president of the Supreme Court is elected by the 21-member court); Constitutional Tribunal |
| Political parties and leaders: | Center-Center Union Party or UCCP [Francisco Javier ERRAZURIZ]; Christian Democratic Party or PDC [Ricardo HORMAZABAL]; Coalition of Parties for Democracy ("Concertacion") or CPD - including PDC, PS, PPD, PRSD; Independent Democratic Union or UDI [Pablo LONGUEIRA]; National Renewal or RN [Alberto CARDEMIL]; Party for Democracy or PPD [Guido GIRARDI]; Radical Social Democratic Party or PRSD [Anselmo SULE]; Socialist Party or PS [Ricardo NUNEZ] |
| Political pressure groups and leaders: | revitalized university student federations at all major universities; Roman Catholic Church; United Labor Central or CUT includes trade unionists from the country's five largest labor confederations |
| International organization participation: | APEC, CCC, ECLAC, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, Mercosur (associate), NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMIBH, UNMOGIP, UNTAET, UNTSO, UNU, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Andres BIANCHI |
| Diplomatic representation in the US: | chancery: 1140 Connecticut Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 785-1746 |
| Diplomatic representation in the US: | FAX: [1] (202) 887-5579 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, Miami, New York, Philadelphia, San Francisco, and San Juan (Puerto Rico) |
| Diplomatic representation from the US: | chief of mission: Ambassador John O'LEARY |
| Diplomatic representation from the US: | embassy: Avenida Andres Bello 2800, Las Condes, Santiago |
| Diplomatic representation from the US: | mailing address: APO AA 34033 |
| Diplomatic representation from the US: | telephone: [56] (2) 232-2600 |
| Diplomatic representation from the US: | FAX: [56] (2) 339-3710 |
| Flag description: | two equal horizontal bands of white (top) and red; there is a blue square the same height as the white band at the hoist-side end of the white band; the square bears a white five-pointed star in the center; design was based on the US flag |
