| Government | Switzerland |
| --- | --- |
| Country name: | conventional long form: Swiss Confederation |
| Country name: | conventional short form: Switzerland |
| Country name: | local short form: Schweiz (German), Suisse (French), Svizzera (Italian) |
| Country name: | local long form: Schweizerische Eidgenossenschaft (German), Confederation Suisse (French), Confederazione Svizzera (Italian) |
| Government type: | federal republic |
| Capital: | Bern |
| Administrative divisions: | 26 cantons (cantons, singular - canton in French; cantoni, singular - cantone in Italian; kantone, singular - kanton in German); Aargau, Appenzell Ausser-Rhoden, Appenzell Inner-Rhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Geneve, Glarus, Graubunden, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais, Vaud, Zug, Zurich |
| Independence: | 1 August 1291 (founding of the Swiss Confederation) |
| National holiday: | Founding of the Swiss Confederation, 1 August (1291) |
| Constitution: | revision of Constitution of 1874 approved by the Federal Parliament 18 December 1998; adopted by referendum 18 April 1999; officially entered into force 1 January 2000 |
| Legal system: | civil law system influenced by customary law; judicial review of legislative acts, except with respect to federal decrees of general obligatory character; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Samuel SCHMID (since 1 January 2005); Vice President Moritz LEUENBERGER (since 1 January 2005); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Samuel SCHMID (since 1 January 2005); Vice President Moritz LEUENBERGER (since 1 January 2005); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Federal Council or Bundesrat (in German), Conseil Federal (in French), Consiglio Federale (in Italian) elected by the Federal Assembly usually from among its own members for a four-year term |
| Executive branch: | elections: president and vice president elected by the Federal Assembly from among the members of the Federal Council for one-year terms that run concurrently; election last held 8 December 2004 (next to be held December 2005) |
| Executive branch: | election results: Samuel SCHMID elected president; percent of Federal Assembly vote - 70.7%; Moritz LEUENBERGER elected vice president; percent of legislative vote - 64.8% |
| Legislative branch: | bicameral Federal Assembly or Bundesversammlung (in German), Assemblee Federale (in French), Assemblea Federale (in Italian) consists of the Council of States or Standerat (in German), Conseil des Etats (in French), Consiglio degli Stati (in Italian) (46 seats - members serve four-year terms) and the National Council or Nationalrat (in German), Conseil National (in French), Consiglio Nazionale (in Italian) (200 seats - members are elected by popular vote on the basis of proportional representation to serve four-year terms) |
| Legislative branch: | elections: Council of States - last held in most cantons 19 October 2003 (each canton determines when the next election will be held); National Council - last held 19 October 2003 (next to be held NA October 2007) |
