| Government | Switzerland |
| --- | --- |
| Country name: | conventional long form: Swiss Confederation |
| Country name: | conventional short form: Switzerland |
| Country name: | local long form: Schweizerische Eidgenossenschaft (German); Confederation Suisse (French); Confederazione Svizzera (Italian); Confederaziun Svizra (Romansh) |
| Country name: | local short form: Schweiz (German); Suisse (French); Svizzera (Italian); Svizra (Romansh) |
| Government type: | formally a confederation but similar in structure to a federal republic |
| Capital: | name: Bern |
| Capital: | geographic coordinates: 46 55 N, 7 28 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 26 cantons (cantons, singular - canton in French; cantoni, singular - cantone in Italian; Kantone, singular - Kanton in German); Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Bern/Berne, Fribourg/Freiburg, Geneve, Glarus, Graubuenden/Grischun/Grigioni, Jura, Luzern, Neuchatel, Nidwalden, Obwalden, Sankt Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Ticino, Uri, Valais/Wallis, Vaud, Zug, Zuerich |
| Administrative divisions: | note: 6 of the cantons - Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Nidwalden, Obwalden - are referred to as half cantons because they elect only one member to the Council of States and, in popular referendums where a majority of popular votes and a majority of cantonal votes are required, these six cantons only have a half vote |
| Independence: | 1 August 1291 (founding of the Swiss Confederation) |
| National holiday: | Founding of the Swiss Confederation, 1 August (1291) |
| Constitution: | previous 1848, 1874 (extensive revision of 1848 version); latest adopted by referendum 18 April 1999, effective 1 January 2000; amended several times, last in 2012 (2012) |
| Legal system: | civil law system; judicial review of legislative acts, except for federal decrees of a general obligatory character |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Swiss Confederation Didier BURKHALTER (since 1 January 2014); Vice President Simonetta SOMMARUGA (since 1 January 2014; note - the Federal Council, which is comprised of seven federal councillors, constitutes the federal government of Switzerland; council members rotate in one-year terms as federal president (chief of state and head of government) |
| Executive branch: | head of government: President of the Swiss Confederation Didier BURKHALTER (since 1 January 2014); Vice President Simonetta SOMMARUGA (since 1 January 2014) |
| Executive branch: | cabinet: Federal Council or Bundesrat (in German), Conseil Federal (in French), Consiglio Federale (in Italian) is elected by the Federal Assembly usually from among its members for a four-year term |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
