| Government | Serbia |
| --- | --- |
| Country name: | conventional long form: Republic of Serbia |
| Country name: | conventional short form: Serbia |
| Country name: | local long form: Republika Srbija |
| Country name: | local short form: Srbija |
| Country name: | former: People's Republic of Serbia, Socialist Republic of Serbia |
| Government type: | republic |
| Capital: | name: Belgrade |
| Capital: | geographic coordinates: 44 50 N, 20 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 190 municipalities (opcinas, singular - opcina) |
| Administrative divisions: | Serbia Proper: Beograd: Barajevo, Cukavica, Grocka, Lazarevac, Mladnovac, Novi Beograd, Obrenovac, Palilula, Rakovica, Savski Venac, Sopot, Stari Grad, Surcin, Vozdovac, Vracar, Zemun, Zrezdara; Borski Okrug: Bor, Kladovo, Majdanpek, Negotin; Branicevski Okrug: Golubac, Kucevo, Malo Crnice, Petrovac, Pozarevac, Veliko Gradiste, Zabari, Zagubica; Jablanicki Okrug: Bojnik, Crna Trava, Lebane, Leskovac, Medvedja, Vlasotince; Kolubarski Okrug: Lajkovac, Ljig, Mionica, Osecina, Ub, Valjevo; Macvanski Okrug: Bogatic, Koceljeva, Krupanj, Ljubovija, Loznica, Mali Zvornik, Sabac, Vladimirci; Moravicki Okrug: Cacak, Gornkji Milanovac, Ivanjica, Lucani; Nisavski Okrug: Aleksinac, Doljevac, Gadzin Han, Merosina, Nis, Razanj, Svrljig; Pcinjski Okrug: Bosilegrad, Bujanovac, Presevo, Surdulica, Trgoviste, Vladicin Han, Vranje; Pirotski Okrug: Babusnica, Bela Palanka, Dimitrovgrad, Pirot; Podunavski Okrug: Smederevo, Smederevskia Palanka, Velika Plana; Pomoravski Okrug: Cuprija, Despotovac, Jagodina, Paracin, Rckovac, Svilajnac; Rasinski Okrug: Aleksandrovac, Brus, Cicevac, Krusevac, Trstenik, Varvarin; Raski Okrug: Kraljevo, Novi Pazar, Raska, Tutin, Vrnjacka Banja; Sumadijski Okrug: Arandjelovac, Batocina, Knic, Kragujevac, Lapovo, Raca, Topola; Toplicki Okrug: Blace, Kursumlija, Prokuplje, Zitoradja; Zajecarski Okrug: Boljevac, Knjazevac, Sokobanja, Zalecar; Zlatiborski Okrug: Arilje, Bajina Basta, Cajetina, Kosjeric, Nova Varos, Pozega, Priboj, Prijepolje, Sjenica, Uzice; |
| Administrative divisions: | Vojvodina Autonomous Province: Juzno-Backi Okrug: Backi Petrovac, Beocin, Novi Sad, Sremski Karlovci, Temerin, Titel, Zabalj; Juzno Banatski Okrug: Alibunar, Bela Crkva, Kovacica, Kovin, Opovo, Pancevo, Plandiste, Vrsac; Severno-Backi Okrug: Backa Topola, Mali Idjos, Subotica; Severno-Banatski Okrug: Ada, Coka, Kanjiza, Kikinda, Novi Knezevac, Senta; Srednjo-Banatski Okrug: Nova Crnja, Novi Becej, Secanj, Zitiste, Zrenjanin; Sremski Okrug: Indjija, Irig, Pecinci, Ruma, Sid, Sremska Mitrovica, Stara Pazova; Zapadno-Backi Okrug: Apatin, Kula, Odzaci, Sombor; |
| Administrative divisions: | Kosovo and Metojia Autonomous Province: Kosovski Okrug: Glogovac, Kacanik, Kosovo Polje, Lipljan, Obilic, Podujevo, Pristina, Stimlje, Strpce, Urosevac; Kosovsko-Mitrovacki Okrug: Kosovska Mitrovica, Leposavic, Srbica, Vucitrn, Zubin Potok, Zvecan; Kosovsko-Pomoravski Okrug: Gnjilane, Kosovska Kamenica, Novo Brdo, Vitina; Pecki Okrug: Decani, Djakovica, Istok, Klina, Pec; Prizrenski Okrug: Gora i Opolje, Orahovac, Prizren, Suva Reka |
| Independence: | 5 June 2006 (from Serbia and Montenegro) |
| National holiday: | National Day, 15 February |
| Constitution: | adopted 8 November 2006; effective 10 November 2006 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Boris TADIC (since 11 July 2004); Kosovo - President Fatmir SEJDIU (since 10 February 2006) |
| Executive branch: | head of government: Prime Minister Vojislav KOSTUNICA (since 3 March 2004); Kosovo - Prime Minister Agim CEKU (since 10 March 2006) |
| Executive branch: | cabinet: Federal Ministries act as cabinet; Kosovo - ministry heads act as cabinet; some ministry functions are controlled by the UNMIK |
| Executive branch: | elections: president elected by direct vote for a five-year term (eligible for a second term); election last held 27 June 2004 (next to be held in 2007 due to constitutional changes); prime minister elected by the Assembly; Kosovo - president is elected by the Assembly for a three-year term; prime minister and proposed cabinet are elected by the Assembly |
| Executive branch: | election results: Boris TADIC elected president in the second round of voting; Boris TADIC received 53% of the vote |
| Legislative branch: | unicameral National Assembly (250 seats; deputies elected by direct vote to serve four-year terms); Kosovo - unicameral Assembly (120 seats; 100 deputies elected by direct vote and 20 deputies from minority community members; to serve three-year terms) |
| Legislative branch: | elections: last held on 21 January 2007 (next to be held in 2011); Kosovo - last held on 17 November 2007(next to be held in 2010) |
| Legislative branch: | election results: Serbia National Assembly: percent of vote by party - NA; seats by party - SRS 81, DSS 64, DSS-NS 47, G17 Plus 19, SPS 16, LDP Coalition 15, SVM 3, KZS 2, URS 1, KAPD 1, RP 1; Kosovo Assembly: percent of vote by party - PDK 34.3%, LDK 22.6%, Alliance for New Kosovo 12.3%, Democratic League of Dardania-Albanian Christian Democratic Party of Kosovo 10%, AAK 9.6%, other 11.2%; seats by party - PDK 37, LDK 25, The Alliance for New Kosovo 13, the Democratic League of Dardania-Albanian Christian Democratic Party of Kosovo 11, AAK 10, other 4 |
| Judicial branch: | Constitutional Court, Supreme Court (to become court of cassation under new constitution), appellate courts, district courts, municipal courts; Kosovo: Supreme Court, district courts, municipal courts, minor offense courts; note - Ministry of Justice was created on 20 December 2004; UNMIK appoints all judges and prosecutors; UNMIK is working on transferring competencies |
| Judicial branch: | note: Ministry of Justice was created on 20 December 2004; UNMIK appoints all judges and prosecutors; UNMIK is working on transferring competencies |
