| Government | Serbia |
| --- | --- |
| Country name: | conventional long form: Republic of Serbia |
| Country name: | conventional short form: Serbia |
| Country name: | local long form: Republika Srbija |
| Country name: | local short form: Srbija |
| Country name: | former: People's Republic of Serbia, Socialist Republic of Serbia |
| Government type: | republic |
| Capital: | name: Belgrade |
| Capital: | geographic coordinates: 44 50 N, 20 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 29 districts (okrugov; singular - okrug), 1 capital city* |
| Administrative divisions: | Serbia Proper: Belgrad*, Bor, Branicevo, Jablanica, Kolubara, Macva, Moravica, Nisava, Pcinja, Pirot, Podunavlje, Pomoravlje, Rasina, Raska, Sumadija, Toplica, Zajecar, Zlatibor |
| Administrative divisions: | Vojvodina Autonomous Province: Central Banat, North Backa, North Banat, South Backa, South Banat, Srem, West Backa |
| Administrative divisions: | Kosovo and Metojia Autonomous Province: Kosovo, Kosovska-Mitrovica, Kosovo-Pomoravlje, Pec, Prizren |
| Independence: | 5 June 2006 (from Serbia and Montenegro) |
| National holiday: | National Day, 27 April |
| Constitution: | 28 September 1990; note - a new draft constitution approved by Parliament on 30 September 2006 stresses that Kosovo is an integral part of Serbia; the draft must still be approved by a national referendum |
| Legal system: | based on civil law system |
| Suffrage: | 18 universal |
| Executive branch: | chief of state: President Boris TADIC (since 11 July 2004) |
| Executive branch: | head of government: Prime Minister Vojislav KOSTUNICA (since 3 March 2004) |
| Executive branch: | cabinet: Federal Ministries act as cabinet |
| Executive branch: | elections: president elected by direct vote for a five-year term (eligible for a second term); election last held 27 June 2004 (next to be held June 2009); prime minister elected by the Assembly |
| Executive branch: | election results: Boris TADIC elected president in the second round of voting; Boris TADIC received 53% of the vote |
| Legislative branch: | unicameral National Assembly (250 deputies elected by direct vote for a four-year term) |
| Legislative branch: | elections: last held 28 December 2003 (next to be held December 2007) |
| Legislative branch: | election results: SRS 83, DSS 53, DS 37, G17 Plus 34, SPO-NS 22, SPS 22 |
| Judicial branch: | Constitutional Court (nine justices with life tenure) |
| Political parties and leaders: | Democratic Party of Serbia or DSS [Vojislav KOSTUNICA]; Democratic Party or DS [Boris TADIC]; G17 Plus [Mladjan DINKIC is acting leader]; Serbian Radical Party or SRS [Vojislav SESELJ, but Tomislav NIKOLIC is acting leader]; Socialist Party of Serbia or SPS [vacant, but Ivica DACIC is head of the SPS Main Board]; New Serbia or NS [Velimir ILIC]; Serbian Renewal Movement or SPO [Vuk DRASKOVIC] |
| International organization participation: | ABEDA, BIS, BSEC, CE, CEI, EBRD, FAO, G-9, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD (suspended), IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, MONUC, NAM, OAS (observer), OIF (observer), OPCW, OSCE, PCA, SECI, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ivan VUJACIC |
| Diplomatic representation in the US: | chancery: 2134 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-0333 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3933 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael C. POLT |
| Diplomatic representation from the US: | embassy: Kneza Milosa 50, 11000 Belgrade |
| Diplomatic representation from the US: | mailing address: 5070 Belgrade Place, Washington, DC 20521-5070 |
| Diplomatic representation from the US: | telephone: [381] (11) 361-9344 |
| Diplomatic representation from the US: | FAX: [381] (11) 361-8230 |
| Diplomatic representation from the US: | note: there is a branch office in Pristina at 30 Nazim Hikmet 38000 Prstina, Kososvo; telephone: [381] (38) 549-516; FAX:[381] (38) 549-890 |
| Flag description: | three equal horizontal stripes of red (top), blue, and white; charged with the coat of arms of Serbia shifted slightly to the hoist side |
