| Government | Kuwait |
| --- | --- |
| Country name: | conventional long form: State of Kuwait |
| Country name: | conventional short form: Kuwait |
| Country name: | local long form: Dawlat al Kuwayt |
| Country name: | local short form: Al Kuwayt |
| Country name: | etymology: the name derives from the capital city, which is from Arabic "al-Kuwayt" a diminutive of "kut" meaning "fortress," possibly a reference to a small castle built on the current location of Kuwait City by the Beni Khaled tribe in the 17th century |
| Government type: | constitutional monarchy (emirate) |
| Capital: | name: Kuwait City |
| Capital: | geographic coordinates: 29 22 N, 47 58 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 6 governorates (muhafazat, singular - muhafazah); Al Ahmadi, Al 'Asimah, Al Farwaniyah, Al Jahra', Hawalli, Mubarak al Kabir |
| Independence: | 19 June 1961 (from the UK) |
| National holiday: | National Day, 25 February (1950) |
| Constitution: | history: approved and promulgated 11 November 1962 (2016) |
| Constitution: | amendments: proposed by the amir or supported by at least one-third of the National Assembly; passage requires two-thirds consent by the Assembly membership and promulgation by the amir; constitutional articles on the initiation, approval, and promulgation of general legislation cannot be amended (2016) |
| Legal system: | mixed legal system consisting of English common law, French civil law, and Islamic sharia law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Kuwait |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: not specified |
| Suffrage: | 21 years of age and at least 20-year citizenship; universal; note - in early 2017, legislation was introduced to lower the voting age to 18 and instate suffrage for the armed forces and police |
| Judicial branch: | highest courts: Constitutional Court (consists of 5 judges); Supreme Court or Court of Cassation (organized into several circuits, each with 5 judges) |
| Judicial branch: | judge selection and term of office: all Kuwaiti judges appointed by the Amir upon recommendation of the Supreme Judicial Council, a consultative body comprised of Kuwaiti judges and Ministry of Justice officials |
| Judicial branch: | subordinate courts: High Court of Appeal; Court of First Instance; Summary Court |
| Executive branch: | chief of state: Amir SABAH al-Ahmad al-Jabir al-Sabah (since 29 January 2006); Crown Prince NAWAF al-Ahmad al-Jabir al-Sabah (born 25 June 1937) |
| Executive branch: | head of government: Prime Minister JABIR AL-MUBARAK al-Hamad al-Sabah (since 30 November 2011); First Deputy Prime Minister NASIR al-Sabah al-Ahmad al-Sabah (since 12 December 2017); Deputy Prime Ministers SABAH al-KHALD al-Sabah (since 4 August 2013), KHALD al-Jarrah al-Sabah (since December 2016), Anas al-SALEH (since 2015) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister, approved by the amir |
| Executive branch: | elections/appointments: amir chosen from within the ruling family, confirmed by the National Assembly; prime minister and deputy prime ministers appointed by the amir |
| Legislative branch: | description: unicameral National Assembly or Majlis al-Umma (65 seats; 50 members directly elected in multi-seat constituencies by simple majority vote and 15 ex-officio members - cabinet ministers - appointed by the prime minister; members serve 4-year terms) |
| Legislative branch: | elections: last held on 26 November 2016 (next to be held in 2020) |
| Legislative branch: | election results: seats won - oppositionists and independents, including populists, Islamists, and liberals 26, pro-government loyalists 24; composition for elected members only - men 49, women 1, percent of women 1.5% |
| Political parties and leaders: | none; although the formation of political parties is practically not permitted, their formation is not explicitly forbidden by law |
| International organization participation: | ABEDA, AfDB (nonregional member), AFESD, AMF, BDEAC, CAEU, CD, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, Paris Club (associate), PCA, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UN Security Council (temporary), UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador SALIM al-Abdallah al-Jabir al-Sabah (since 10 October 2001) |
| Diplomatic representation in the US: | chancery: 2940 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-0702 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8468 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Lawrence R. SILVERMAN (since 5 October 2016) |
| Diplomatic representation from the US: | embassy: Bayan 36302, Block 13, Al-Masjed Al-Aqsa Street (near the Bayan palace), Kuwait City |
| Diplomatic representation from the US: | mailing address: P. O. Box 77 Safat 13001 Kuwait; or PSC 1280 APO AE 09880-9000 |
| Diplomatic representation from the US: | telephone: [965] 2259-1001 |
| Diplomatic representation from the US: | FAX: [965] 2538-6562 |
| Flag description: | three equal horizontal bands of green (top), white, and red with a black trapezoid based on the hoist side; colors and design are based on the Arab Revolt flag of World War I; green represents fertile fields, white stands for purity, red denotes blood on Kuwaiti swords, black signifies the defeat of the enemy |
| National symbol(s): | golden falcon; national colors: green, white, red, black |
| National anthem: | name: "Al-Nasheed Al-Watani" (National Anthem) |
| National anthem: | lyrics/music: Ahmad MUSHARI al-Adwani/Ibrahim Nasir al-SOULA |
| National anthem: | note: adopted 1978; the anthem is only used on formal occasions |
