| Government | Kuwait |
| --- | --- |
| Country name: | conventional long form: State of Kuwait |
| Country name: | conventional short form: Kuwait |
| Country name: | local long form: Dawlat al Kuwayt |
| Country name: | local short form: Al Kuwayt |
| Government type: | constitutional emirate |
| Capital: | name: Kuwait City |
| Capital: | geographic coordinates: 29 22 N, 47 58 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 governorates (muhafazat, singular - muhafazah); Al Ahmadi, Al 'Asimah, Al Farwaniyah, Al Jahra', Hawalli, Mubarak al Kabir |
| Independence: | 19 June 1961 (from the UK) |
| National holiday: | National Day, 25 February (1950) |
| Constitution: | approved and promulgated 11 November 1962 (2013) |
| Legal system: | mixed legal system consisting of English common law, French civil law, and Islamic religious law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 21 years of age; universal; note - males in the military or police are by law not allowed to vote; all voters must have been citizens for 20 years |
| Executive branch: | chief of state: Amir SABAH al-Ahmad al-Jabir al-Sabah (since 29 January 2006); Crown Prince NAWAF al-Ahmad al-Jabir al-Sabah (born 25 June 1937) |
| Executive branch: | head of government: Prime Minister JABIR AL-MUBARAK al-Hamad al-Sabah (since 30 November 2011); First Deputy Prime Minister KHALID al-Jarrah al-Sabah; Deputy Prime Ministers MUHAMMAD AL-KHALID al-Hamad al-Sabah, SALIM al-Abd al-Aziz al-Saud al-Sabah, Mustafa al-Jassim al-SHAMALI |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister and approved by the amir; new cabinet formed in February 2012 |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: none; the amir is hereditary; the amir appoints the prime minister and deputy prime ministers |
| Legislative branch: | unicameral National Assembly or Majlis al-Umma (65 seats - 50 members elected by popular vote plus 16 cabinet ministers, one of whom is also an elected MP, appointed by the prime minister as ex officio voting members; elected members serve four-year terms) |
| Legislative branch: | elections: last held 27 July 2013 (next to be held in July 2017) |
| Legislative branch: | election results: percent of vote - NA; seats won - tribal and liberal groups 27, Shiite 8, Sunni 7, other 8 |
| Judicial branch: | highest court(s): Constitutional Court (five judges); Supreme Court or Court of Cassation (organized into several circuits, each with five judges) |
| Judicial branch: | judge selection and term of office: all Kuwaiti judges appointed by the Amir upon recommendation of the Supreme Judicial Council, a consultative body comprised of Kuwaiti judges and Ministry of Justice officials |
| Judicial branch: | subordinate courts: High Court of Appeal; Court of First Instance; Summary Court |
| Political parties and leaders: | none; while the formation of political parties is not permitted, they are not forbidden by law |
| Political pressure groups and leaders: | other: Islamists; merchants; political groups; secular liberals and pro-governmental deputies; Shia activists; tribal groups |
| International organization participation: | ABEDA, AfDB (nonregional member), AFESD, AMF, BDEAC, CAEU, CD, FAO, G-77, GCC, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, Paris Club (associate), PCA, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador SALIM al-Abdallah al-Jabir al-Sabah (since 10 October 2001) |
| Diplomatic representation in the US: | chancery: 2940 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-0702 |
| Diplomatic representation in the US: | FAX: [1] (202) 364-2868 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Matthew H. TUELLER (since 9 September 2011) |
| Diplomatic representation from the US: | embassy: Bayan 36302, Block 13, Al-Masjed Al-Aqsa Street (near the Bayan palace), Kuwait City |
| Diplomatic representation from the US: | mailing address: P. O. Box 77 Safat 13001 Kuwait; or PSC 1280 APO AE 09880-9000 |
| Diplomatic representation from the US: | telephone: [965] 2259-1001 |
| Diplomatic representation from the US: | FAX: [965] 2538-0282 |
| Flag description: | three equal horizontal bands of green (top), white, and red with a black trapezoid based on the hoist side; colors and design are based on the Arab Revolt flag of World War I; green represents fertile fields, white stands for purity, red denotes blood on Kuwaiti swords, black signifies the defeat of the enemy |
| National symbol(s): | golden falcon |
| National anthem: | name: "Al-Nasheed Al-Watani" (National Anthem) |
| National anthem: | lyrics/music: Ahmad MUSHARI al-Adwani/Ibrahim Nasir al-SOULA |
| National anthem: | note: adopted 1978; the anthem is only used on formal occasions |
