| Government | Congo, Republic of the |
| --- | --- |
| --- | Country name: |
| --- | 30.html# |
| --- | conventional long form: Republic of the Congo |
| --- | conventional short form: Congo (Brazzaville) |
| --- | local long form: Republique du Congo |
| --- | local short form: none |
| --- | former: Middle Congo, Congo/Brazzaville, Congo |
| Government type: | republic |
| Capital: | name: Brazzaville |
| Capital: | geographic coordinates: 4 15 S, 15 17 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions (regions, singular - region) and 2 commune*; Bouenza, Brazzaville*, Cuvette, Cuvette-Ouest, Kouilou, Lekoumou, Likouala, Niari, Plateaux, Pointe-Noire*, Pool, Sangha |
| Independence: | 15 August 1960 (from France) |
| National holiday: | Independence Day, 15 August (1960) |
| Constitution: | previous 1992; latest approved by referendum 20 January 2002 (2002) |
| Legal system: | mixed legal system of French civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Denis SASSOU-Nguesso (since 25 October 1997, following the civil war in which he toppled elected president Pascal LISSOUBA); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Denis SASSOU-Nguesso (since 25 October 1997); note - the position of prime minister was abolished in September 2009 |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); election last held on 12 July 2009 (next to be held in 2016) |
| Executive branch: | election results: Denis SASSOU-Nguesso reelected president; percent of vote - Denis SASSOU-Nguesso 78.6%, Joseph Kignoumbi Kia MBOUNGOU 7.5%, Nicephore Fylla de SAINT-EUDES 7%, other 6.9% |
| Legislative branch: | bicameral Parliament consists of the Senate (72 seats; members elected by indirect vote to serve five-year terms) and the National Assembly (139 seats; members elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: Senate - last held on 5 August 2008 (next to be held in July 2014); National Assembly - last held on 15 July and 5 August 2012 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - RMP 33, FDU 23, UPADS 2, independents 7, other 7; National Assembly - percent of vote by party - NA; seats by party - PCT (and allies) 117, UPADS 7, independents 12, vacant 3 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of NA judges) |
| Judicial branch: | note - the High Court of Justice, outside the judicial authority, tries cases involving treason by the president of the republic |
| Judicial branch: | judge selection and term of office: judges elected by parliament and serve until retirement age |
| Judicial branch: | subordinate courts: courts of appeal; regional and district courts; employment tribunals; juvenile courts |
| Political parties and leaders: | Action Movement for Renewal or MAR |
| Political parties and leaders: | Congolese Labour Party or PCT |
| Political parties and leaders: | Congolese Movement for Democracy and Integral Development or MCDDI [Michel MAMPOUYA] |
| Political parties and leaders: | Movement for Solidarity and Development or MSD |
| Political parties and leaders: | Pan-African Union for Social Development or UPADS [Martin MBERI] |
| Political parties and leaders: | Rally for Democracy and the Republic or RDR [Raymond Damasge NGOLLO] |
| Political parties and leaders: | Rally for Democracy and Social Progress or RDPS [Jean-Pierre Thystere TCHICAYA, president] |
| Political parties and leaders: | Rally of the Presidential Majority or RMP |
| Political parties and leaders: | Union for Democracy and Republic or UDR |
| Political parties and leaders: | United Democratic Forces or FDU [Sebastian EBAO] |
| Political parties and leaders: | many smaller parties |
| Political pressure groups and leaders: | Congolese Trade Union Congress or CSC |
| Political pressure groups and leaders: | General Union of Congolese Pupils and Students or UGEEC |
| Political pressure groups and leaders: | Revolutionary Union of Congolese Women or URFC |
| Political pressure groups and leaders: | Union of Congolese Socialist Youth or UJSC |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, EITI (candidate country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Serge MOMBOULI (since 31 July 2001) |
| Diplomatic representation in the US: | chancery: 1720 16th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 726-5500 |
| Diplomatic representation in the US: | FAX: [1] (202) 726-1860 |
| Diplomatic representation from the US: | chief of mission: Ambassador Stephanie S. Sullivan (since 12 August 2013) |
| Diplomatic representation from the US: | embassy: 70-83 Section D, Maya-Maya Boulevard, Brazzaville; |
| Diplomatic representation from the US: | mailing address: B.P. 1015, Brazzaville |
| Diplomatic representation from the US: | telephone: [242] 06 612-200 |
| Flag description: | divided diagonally from the lower hoist side by a yellow band; the upper triangle (hoist side) is green and the lower triangle is red; green symbolizes agriculture and forests, yellow the friendship and nobility of the people, red is unexplained but has been associated with the struggle for independence |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia |
| National symbol(s): | lion; elephant |
| National anthem: | name: "La Congolaise" (The Congolese) |
| National anthem: | lyrics/music: Jacques TONDRA and Georges KIBANGHI/Jean ROYER and Joseph SPADILIERE |
| National anthem: | note: originally adopted 1959, restored 1991 |
