| Government | CONGO, REPUBLIC OF THE |
| --- | --- |
| Country name: | conventional long form: Republic of the Congo |
| Country name: | conventional short form: Congo (Brazzaville) |
| Country name: | local long form: Republique du Congo |
| Country name: | local short form: Congo |
| Country name: | former: French Congo, Middle Congo, People's Republic of the Congo, Congo/Brazzaville |
| Government type: | republic |
| Capital: | name: Brazzaville |
| Capital: | geographic coordinates: 4 15 S, 15 17 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 12 departments (departments, singular - department); Bouenza, Brazzaville, Cuvette, Cuvette-Ouest, Kouilou, Lekoumou, Likouala, Niari, Plateaux, Pointe-Noire, Pool, Sangha |
| Independence: | 15 August 1960 (from France) |
| National holiday: | Independence Day, 15 August (1960) |
| Constitution: | previous 1992; latest approved by referendum 20 January 2002 (2015) |
| Legal system: | mixed legal system of French civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Republic of the Congo |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Denis SASSOU-Nguesso (since 25 October 1997, following the civil war in which he toppled elected president Pascal LISSOUBA); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Denis SASSOU-Nguesso (since 25 October 1997); note - the position of prime minister was abolished in September 2009 |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 7-year term (eligible for a second term); election last held on 12 July 2009 (next to be held in 2016) |
| Executive branch: | election results: Denis SASSOU-Nguesso reelected president; percent of vote - Denis SASSOU-Nguesso (FDU) 78.6%, Joseph Kignoumbi Kia MBOUNGOU (independent) 7.5%, Nicephore Fylla de SAINT-EUDES 7%, other 6.9% |
| Legislative branch: | description: bicameral Parliament or Parlement consists of the Senate (72 seats; members indirectly elected by regional councils by simple majority vote to serve 6-year terms with one-half of membership renewed every three years) and the National Assembly (139 seats; members directly elected in single-seat constituencies by absolute majority popular vote in two rounds if needed; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held on 12 October 2014 for 36 of the expiry seats (next to be held in 2020); National Assembly - last held on 15 July and 5 August 2012 (next to be held in July 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - RMP 33, FDU 23, UPADS 2, other 7, independent 7; National Assembly - percent of vote by party - NA; seats by party - PCT 89, MCDDI 7, UPADS 7, RDPS 5, MAR 4, RC 3, MUST 2, UPDP 2, CPR 1, PRL 1, PUR 1, UFD 1, UR 1, independent 12, vacant 3 |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (consists of NA judges); note - the High Court of Justice, outside the judicial authority, tries cases involving treason by the president of the republic |
| Judicial branch: | judge selection and term of office: judges elected by parliament and serve until retirement age |
| Judicial branch: | subordinate courts: courts of appeal; regional and district courts; employment tribunals; juvenile courts |
| Political parties and leaders: | Action Movement for Renewal or MAR [Roland BOUITI-VIAUDO] |
| Political parties and leaders: | Citizen's Rally or RC |
