| Government | CONGO, REPUBLIC OF THE |
| --- | --- |
| Country name: | conventional long form: Republic of the Congo |
| Country name: | conventional short form: Congo (Brazzaville) |
| Country name: | local long form: Republique du Congo |
| Country name: | local short form: Congo |
| Country name: | former: French Congo, Middle Congo, People's Republic of the Congo, Congo/Brazzaville |
| Country name: | etymology: named for the Congo River, which makes up much of the country's eastern border; the river name derives from Kongo, a Bantu kingdom that occupied its mouth at the time of Portuguese discovery in the late 15th century and whose name stems from its people the Bakongo, meaning "hunters" |
| Government type: | presidential republic |
| Capital: | name: Brazzaville |
| Capital: | geographic coordinates: 4 15 S, 15 17 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 12 departments (departments, singular - department); Bouenza, Brazzaville, Cuvette, Cuvette-Ouest, Kouilou, Lekoumou, Likouala, Niari, Plateaux, Pointe-Noire, Pool, Sangha |
| Independence: | 15 August 1960 (from France) |
| National holiday: | Independence Day, 15 August (1960) |
| Constitution: | previous 1992; latest approved by referendum 20 January 2002; amended 2015; note - the constitutional referendum approved in October 2015 changed the head of government from the president to the prime minister, reduced the presidential term from 7 to 5 years and limited total presidential terms to 3 |
| Legal system: | mixed legal system of French civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of the Republic of the Congo |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Denis SASSOU-Nguesso (since 25 October 1997) |
| Executive branch: | head of government: Prime Minister Clement MOUAMBA (since 23 April 2016); note - a constitutional referendum held in 2015 approved the change of the head of government from the president to the prime minister |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for 2 additional terms); election last held on 20 March 2016 (next to be held in 2021) |
| Executive branch: | election results: Denis SASSOU-Nguesso reelected president; percent of vote - Denis SASSOU-Nguesso (PCT) 60.4%, Guy Price Parfait KOLELAS (MCDDI) 15.1%, Jean-Marie MOKOKO (independent) 13.9%, Pascal Tsaty MABIALA (UPADS) 4.4%, other 6.2% |
| Legislative branch: | description: bicameral Parliament or Parlement consists of the Senate (72 seats; members indirectly elected by regional councils by simple majority vote to serve 6-year terms with one-half of membership renewed every three years) and the National Assembly (139 seats; members directly elected in single-seat constituencies by absolute majority popular vote in two rounds if needed; members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held on 12 October 2014 for 36 of the expiry seats (next to be held in 2020); National Assembly - last held on 15 July and 5 August 2012 (next to be held in July 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - RMP 33, FDU 23, UPADS 2, other 7, independent 7; National Assembly - percent of vote by party - NA; seats by party - PCT 89, MCDDI 7, UPADS 7, RDPS 5, MAR 4, RC 3, MUST 2, UPDP 2, CPR 1, PRL 1, PUR 1, UFD 1, UR 1, independent 12, vacant 3 |
