| Government | Saint Lucia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Saint Lucia |
| Government type: | Westminster-style parliamentary democracy |
| Capital: | Castries |
| Administrative divisions: | 11 quarters; Anse-la-Raye, Castries, Choiseul, Dauphin, Dennery, Gros-Islet, Laborie, Micoud, Praslin, Soufriere, Vieux-Fort |
| Independence: | 22 February 1979 (from UK) |
| National holiday: | Independence Day, 22 February (1979) |
| Constitution: | 22 February 1979 |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor General Dr. Perlette LOUISY (since September 1997) |
| Executive branch: | elections: none; the monarch is hereditary; the governor general is appointed by the monarch; following legislative elections, the leader of the majority party or the leader of a majority coalition is usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | head of government: Prime Minister Kenneth Davis ANTHONY (since 24 May 1997) and Deputy Prime Minister Mario MICHEL (since 24 May 1997) |
| Legislative branch: | bicameral Parliament consists of the Senate (11 seats; six members appointed on the advice of the prime minister, three on the advice of the leader of the opposition, and two after consultation with religious, economic, and social groups) and the House of Assembly (17 seats; members are elected by popular vote from single-member constituencies to serve five-year terms) |
| Legislative branch: | election results: House of Assembly - percent of vote by party - SLP 55%, UWP 37%, NA 3.5%; seats by party - SLP 14, UWP 3 |
| Legislative branch: | elections: House of Assembly - last held 3 December 2001 (next to be held NA December 2006) |
| Judicial branch: | Eastern Caribbean Supreme Court (jurisdiction extends to Anguilla, Antigua and Barbuda, the British Virgin Islands, Dominica, Grenada, Montserrat, Saint Kitts and Nevis, Saint Lucia, and Saint Vincent and the Grenadines) |
| Political parties and leaders: | National Alliance or NA [George ODLUM]; Saint Lucia Freedom Party or SFP [Martinus FRANCOIS]; Saint Lucia Labor Party or SLP [Kenneth ANTHONY]; Sou Tout Apwe Fete Fini or STAFF [Christopher HUNTE]; United Workers Party or UWP [Dr. Morella JOSEPH] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, C, Caricom, CDB, ECLAC, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ITU, NAM, OAS, OECS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Sonia Merlyn JOHNNY |
| Diplomatic representation in the US: | chancery: 3216 New Mexico Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-6792 through 6795 |
| Diplomatic representation in the US: | FAX: [1] (202) 364-6723 |
| Diplomatic representation in the US: | consulate(s) general: Miami and New York |
| Diplomatic representation from the US: | the US does not have an embassy in Saint Lucia; the US Ambassador in Barbados is accredited to Saint Lucia |
| Flag description: | blue, with a gold isosceles triangle below a black arrowhead; the upper edges of the arrowhead have a white border |
