| Government | Saint Lucia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Saint Lucia |
| Government type: | parliamentary democracy and a Commonwealth realm |
| Capital: | name: Castries |
| Capital: | geographic coordinates: 14 01 N, 61 00 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 11 quarters; Anse-la-Raye, Castries, Choiseul, Dauphin, Dennery, Gros-Islet, Laborie, Micoud, Praslin, Soufriere, Vieux-Fort |
| Independence: | 22 February 1979 (from the UK) |
| National holiday: | Independence Day, 22 February (1979) |
| Constitution: | 22 February 1979 |
| Legal system: | based on English common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Dame Pearlette LOUISY (since September 1997) |
| Executive branch: | head of government: Prime Minister Stephenson KING (since 9 September 2007); note - Sir John COMPTON died in office 7 September 2007 |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; the governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of a majority coalition usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general |
| Legislative branch: | bicameral Parliament consists of the Senate (11 seats; six members appointed on the advice of the prime minister, three on the advice of the leader of the opposition, and two after consultation with religious, economic, and social groups) and the House of Assembly (17 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: House of Assembly - last held on 11 December 2006 (next to be held in December 2011) |
| Legislative branch: | election results: House of Assembly - percent of vote by party - UWP 50%, SLP 46.9%, other 3.1%; seats by party - UWP 11, SLP 6 |
| Judicial branch: | Eastern Caribbean Supreme Court (consists of a High Court and a Court of Appeals; based on Saint Lucia; three judges of the Supreme Court reside in Saint Lucia); member of the Caribbean Court of Justice (CCJ) |
| Political parties and leaders: | National Alliance or NA [George ODLUM]; Saint Lucia Freedom Party or SFP [Martinus FRANCOIS]; Saint Lucia Labor Party or SLP [Kenneth ANTHONY]; Sou Tout Apwe Fete Fini or STAFF [Christopher HUNTE]; United Workers Party or UWP [Stephenson KING] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, ITUC, MIGA, NAM, OAS, OECS, OIF, OPANAL, OPCW, PetroCaribe, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Michael LOUIS |
| Diplomatic representation in the US: | chancery: 3216 New Mexico Avenue NW, Washington, DC 20016 |
| Diplomatic representation in the US: | telephone: [1] (202) 364-6792 through 6795 |
| Diplomatic representation in the US: | FAX: [1] (202) 364-6723 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation from the US: | the US does not have an embassy in Saint Lucia; the US Ambassador to Barbados is accredited to Saint Lucia |
| Flag description: | blue, with a gold isosceles triangle below a black arrowhead; the upper edges of the arrowhead have a white border; the blue color represents the sky and sea, gold stands for sunshine and prosperity, and white and black the racial composition of the island (with the latter being dominant); the two major triangles invoke the twin Pitons (Gros Piton and Petit Piton), cone-shaped volcanic plugs that are a symbol of the island |
| National anthem: | name: "Sons and Daughters of St. Lucia" |
| National anthem: | lyrics/music: Charles JESSE/Leton Felix THOMAS |
| National anthem: | note: adopted 1967 |
