| Government | Armenia |
| --- | --- |
| Country name: | conventional long form: Republic of Armenia |
| Country name: | conventional short form: Armenia |
| Country name: | local short form: Hayastan |
| Country name: | former: Armenian Soviet Socialist Republic; Armenian Republic |
| Country name: | local long form: Hayastani Hanrapetut'yun |
| Government type: | republic |
| Capital: | Yerevan |
| Administrative divisions: | 11 provinces (marzer, singular - marz); Aragatsotn, Ararat, Armavir, Geghark'unik', Kotayk', Lorri, Shirak, Syunik', Tavush, Vayots' Dzor, Yerevan |
| Independence: | 21 September 1991 (from Soviet Union) |
| National holiday: | Independence Day, 21 September (1991) |
| Constitution: | adopted by nationwide referendum 5 July 1995 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Robert KOCHARIAN (since 30 March 1998) |
| Executive branch: | head of government: Prime Minister Andranik MARKARYAN (since 12 May 2000) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 19 February and 5 March 2003 (next to be held NA 2008); prime minister appointed by the president; the prime minister and Council of Ministers must resign if the National Assembly refuses to accept their program |
| Executive branch: | election results: Robert KOCHARIAN reelected president; percent of vote - Robert KOCHARIAN 67.5%, Stepan DEMIRCHYAN 32.5% |
| Legislative branch: | unicameral National Assembly (Parliament) or Azgayin Zhoghov (131 seats; members elected by popular vote to serve four-year terms; 75 members selected by direct vote, 56 by party list) |
| Legislative branch: | elections: last held 25 May 2003 (next to be held in the spring of 2007) |
| Legislative branch: | election results: percent of vote by party - Republican Party 23.5%, Justice Bloc 13.6%, Rule of Law 12.3%, ARF (Dashnak) 11.4%, National Unity Party 8.8%, United Labor Party 5.7%; seats by party - Republican Party 23, Justice Bloc 14, Rule of Law 12, ARF (Dashnak) 11, National Unity 9, United Labor 6; note - seats by party change frequently as deputies switch parties or announce themselves independent |
| Legislative branch: | note: electoral law was changed in 2002 so ratio in next elections will be 75 deputies elected by party list, 56 by direct election |
| Judicial branch: | Constitutional Court; Court of Cassation (Appeals Court) |
| Political parties and leaders: | Agro-Industrial Party [Vladimir BADALIAN]; Armenia Party [Myasnik MALKHASYAN]; Armenian National Movement or ANM [Alex ARZUMANYAN, chairman]; Armenian Ramkavar Liberal Party or HRAK [Ruben MIRZAKHANYAN, chairman]; Armenian Revolutionary Federation ("Dashnak" Party) or ARF [Vahan HOVHANISSIAN]; Democratic Party [Aram SARKISYAN]; Justice Bloc (comprised of the Democratic Party, National Democratic Party, National Democratic Union, and the People's Party); National Democratic Party [Shavarsh KOCHARIAN]; National Democratic Union or NDU [Vazgen MANUKIAN]; National Unity Party [Artashes GEGAMIAN, chairman]; People's Party of Armenia [Stepan DEMIRCHYAN]; Republic Party [Albert BAZEYAN and Aram SARKISYAN, chairmen]; Republican Party or RPA [Andranik MARKARYAN]; Rule of Law Party [Artur BAGDASARIAN, chairman]; Union of Constitutional Rights [Hrant KHACHATURYAN]; United Labor Party [Gurgen ARSENIAN] |
| Political pressure groups and leaders: | Yerkrapah Union [Manvel GRIGORIAN] |
| International organization participation: | BSEC, CE, CIS, COE, EAPC, EBRD, ECE, ESCAP, FAO, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO, ITU, NAM (observer), OAS (observer), OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Arman KIRAKOSSIAN |
| Diplomatic representation in the US: | chancery: 2225 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2982 |
| Diplomatic representation in the US: | telephone: [1] (202) 319-1976 |
| Diplomatic representation from the US: | chief of mission: Ambassador John M. ORDWAY |
| Diplomatic representation from the US: | embassy: 18 Baghramyan Ave., Yerevan 375019 |
| Diplomatic representation from the US: | mailing address: American Embassy Yerevan, Department of State, 7020 Yerevan Place, Washington, DC 20521-7020 |
| Diplomatic representation from the US: | telephone: [374](1) 521-611, 520-791, 542-177, 542-132, 524-661, 527-001, 524-840 |
| Diplomatic representation from the US: | FAX: [374](1) 520-800 |
| Flag description: | three equal horizontal bands of red (top), blue, and orange |
