| Government | Armenia |
| --- | --- |
| Country name: | conventional long form: Republic of Armenia |
| Country name: | conventional short form: Armenia |
| Country name: | local long form: Hayastani Hanrapetut'yun |
| Country name: | local short form: Hayastan |
| Country name: | former: Armenian Soviet Socialist Republic, Armenian Republic |
| Country name: | etymology: the etymology of the country's name remains obscure; according to tradition, the country is named after Hayk, the legendary patriarch of the Armenians and the great-great-grandson of Noah; Hayk's descendant, Aram, purportedly is the source of the name Armenia |
| Government type: | parliamentary democracy; note - constitutional changes adopted in December 2015 transformed the government to a parliamentary system |
| Capital: | name: Yerevan |
| Capital: | geographic coordinates: 40 10 N, 44 30 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: name likely derives from the ancient Urartian fortress of Erebuni established on the current site of Yerevan in 782 B.C. and whose impresive ruins still survive |
| Administrative divisions: | 11 provinces (marzer, singular - marz); Aragatsotn, Ararat, Armavir, Geghark'unik', Kotayk', Lorri, Shirak, Syunik', Tavush, Vayots' Dzor, Yerevan |
| Independence: | 21 September 1991 (from the Soviet Union); notable earlier dates: 321 B.C. (Kingdom of Armenia established under the Orontid Dynasty), A.D. 884 (Armenian Kingdom reestablished under the Bagratid Dynasty); 1198 (Cilician Kingdom established); 28 May 1918 (Democratic Republic of Armenia declared) |
| National holiday: | Independence Day, 21 September (1991) |
| Constitution: | history: previous 1915, 1978; latest adopted 5 July 1995 |
| Constitution: | amendments: proposed by the president of the republic or by the National Assembly; passage requires approval by the president, by the National Assembly, and by a referendum with at least 25% registered voter participation and more than 50% of votes; constitutional articles on the form of government and democratic procedures are not amendable; amended 2005, 2007, 2008, 2015; note - a constitutional referendum scheduled for 4 May 2020 has been postponed due to the COVID-19 pandemic |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Armenia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Armen SARKISSIAN (since 9 April 2018) |
| Executive branch: | head of government: Prime Minister Nikol PASHINYAN (since 8 May 2018); Deputy Prime Ministers Mher GRIGORYAN and Tigran AVINYAN (since 16 January 2019) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly in 3 rounds if needed for a single 7-year term; election last held on 2 March 2018; prime minister elected by majority vote in 2 rounds if needed by the National Assembly; election last held on 14 January 2019 |
