| Government | Serbia |
| --- | --- |
| Country name: | conventional long form: Republic of Serbia |
| Country name: | conventional short form: Serbia |
| Country name: | local long form: Republika Srbija |
| Country name: | local short form: Srbija |
| Country name: | former: People's Republic of Serbia, Socialist Republic of Serbia |
| Government type: | republic |
| Capital: | name: Belgrade (Beograd) |
| Capital: | geographic coordinates: 44 50 N, 20 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 161 municipalities (opcstine, singular - opcstina) |
| Administrative divisions: | Serbia Proper: Beograd: Barajevo, Cukavica, Grocka, Lazarevac, Mladnovac, Novi Beograd, Obrenovac, Palilula, Rakovica, Savski Venac, Sopot, Stari Grad, Surcin, Vozdovac, Vracar, Zemun, Zrezdara; Borski Okrug: Bor, Kladovo, Majdanpek, Negotin; Branicevski Okrug: Golubac, Kucevo, Malo Crnice, Petrovac, Pozarevac, Veliko Gradiste, Zabari, Zagubica; Jablanicki Okrug: Bojnik, Crna Trava, Lebane, Leskovac, Medvedja, Vlasotince; Kolubarski Okrug: Lajkovac, Ljig, Mionica, Osecina, Ub, Valjevo; Macvanski Okrug: Bogatic, Koceljeva, Krupanj, Ljubovija, Loznica, Mali Zvornik, Sabac, Vladimirci; Moravicki Okrug: Cacak, Gornkji Milanovac, Ivanjica, Lucani; Nisavski Okrug: Aleksinac, Doljevac, Gadzin Han, Merosina, Nis, Razanj, Svrljig; Pcinjski Okrug: Bosilegrad, Bujanovac, Presevo, Surdulica, Trgoviste, Vladicin Han, Vranje; Pirotski Okrug: Babusnica, Bela Palanka, Dimitrovgrad, Pirot; Podunavski Okrug: Smederevo, Smederevskia Palanka, Velika Plana; Pomoravski Okrug: Cuprija, Despotovac, Jagodina, Paracin, Rckovac, Svilajnac; Rasinski Okrug: Aleksandrovac, Brus, Cicevac, Krusevac, Trstenik, Varvarin; Raski Okrug: Kraljevo, Novi Pazar, Raska, Tutin, Vrnjacka Banja; Sumadijski Okrug: Arandjelovac, Batocina, Knic, Kragujevac, Lapovo, Raca, Topola; Toplicki Okrug: Blace, Kursumlija, Prokuplje, Zitoradja; Zajecarski Okrug: Boljevac, Knjazevac, Sokobanja, Zalecar; Zlatiborski Okrug: Arilje, Bajina Basta, Cajetina, Kosjeric, Nova Varos, Pozega, Priboj, Prijepolje, Sjenica, Uzice |
| Administrative divisions: | Vojvodina Autonomous Province: Juzno-Backi Okrug: Backi Petrovac, Beocin, Novi Sad, Sremski Karlovci, Temerin, Titel, Zabalj; Juzno Banatski Okrug: Alibunar, Bela Crkva, Kovacica, Kovin, Opovo, Pancevo, Plandiste, Vrsac; Severno-Backi Okrug: Backa Topola, Mali Idjos, Subotica; Severno-Banatski Okrug: Ada, Coka, Kanjiza, Kikinda, Novi Knezevac, Senta; Srednje-Banatski Okrug: Nova Crnja, Novi Becej, Secanj, Zitiste, Zrenjanin; Sremski Okrug: Indjija, Irig, Pecinci, Ruma, Sid, Sremska Mitrovica, Stara Pazova; Zapadno-Backi Okrug: Apatin, Kula, Odzaci, Sombor |
| Independence: | 5 June 2006 (from Serbia and Montenegro) |
| National holiday: | National Day, 15 February |
| Constitution: | adopted 8 November 2006; effective 10 November 2006 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Boris TADIC (since 11 July 2004) |
| Executive branch: | head of government: Prime Minister Mirko CVETKOVIC (since 7 July 2008) |
| Executive branch: | cabinet: Federal Ministries act as cabinet |
| Executive branch: | elections: president elected by direct vote for a five-year term (eligible for a second term); election last held 3 February 2008 (next to be held in 2013); prime minister elected by the Assembly |
| Executive branch: | election results: Boris TADIC elected president in the second round of voting; Boris TADIC received 51.2% of the vote and Tomislav NIKOLIC 48.8% |
| Legislative branch: | unicameral National Assembly (250 seats; deputies elected by direct vote to serve four-year terms) |
| Legislative branch: | elections: last held on 11 May 2008 (next to be held in May 2012) |
| Legislative branch: | election results: percent of vote by party - For a European Serbia coalition 38.4%, SRS 29.5%, DSS-NS 11.6%, coalition led by the SPS 7.6%, LPD 5.2%, other 7.7%; seats by party - For a European Serbia 102, SRS 78, DSS-NS 30, coalition led by the SPS 20, LDP 13, other 7; note - the seat allocation for the SNS is uncertain because of an ongoing dispute with the SRS |
| Judicial branch: | Constitutional Court, Supreme Court (to become court of cassation under new constitution), appellate courts, district courts, municipal courts |
| Political parties and leaders: | Coalition of Albanians of the Presevo Valley or KAPD [Riza HALIMI]; Coalition for Sandzak or KZS [Sulejman UGLJANIN]; Democratic Party of Albanians or PDSh [Ragmi MUSTAFA]; Democratic Party of Serbia or DSS [Vojislav KOSTUNICA]; Democratic Party or DS [Boris TADIC]; Democratic Union of the Valley or BDL [Skender DESTANI]; For a European Serbia [Boris TADIC]; Force of Serbia Movement or PSS [Bogoljub KARIC]; G17 Plus [Mladjan DINKIC]; League of Vojvodina Hungarians or SVM [Istvan PASTOR]; Liberal Democratic Party or LDP [Cedomir JOVANOVIC]; Movement for Democratic Progress or LPD [Jonuz MUSLIU]; New Serbia or NS [Velimir ILIC]; Party of Democratic Action or PVD [Riza HALIMI]; Roma Party or RP [Srdjan SAJN]; Serbian Progressive Party or SNS [Tomislav NIKOLIC]; Serbian Radical Party or SRS [Vojislav SESELJ (currently on trial at The Hague), but Tomislav NIKOLIC is acting leader]; Socialist Party of Serbia or SPS [Ivica DACIC]; Union of Roma of Serbia or URS [Rajko DJURIC] |
| Political pressure groups and leaders: | NA |
| International organization participation: | BSEC, CE, CEI, EAPC, EBRD, FAO, G-9, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD (suspended), IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUC, NAM (observer), OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SECI, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ivan VUJACIC |
| Diplomatic representation in the US: | chancery: 2134 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-0333 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-3933 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Cameron MUNTER |
| Diplomatic representation from the US: | embassy: Kneza Milosa 50, 11000 Belgrade |
| Diplomatic representation from the US: | mailing address: 5070 Belgrade Place, Washington, DC 20521-5070 |
| Diplomatic representation from the US: | telephone: [381] (11) 361-9344 |
