| Government | SERBIA |
| --- | --- |
| Country name: | conventional long form: Republic of Serbia |
| Country name: | conventional short form: Serbia |
| Country name: | local long form: Republika Srbija |
| Country name: | local short form: Srbija |
| Country name: | former: People's Republic of Serbia, Socialist Republic of Serbia |
| Government type: | republic |
| Capital: | name: Belgrade (Beograd) |
| Capital: | geographic coordinates: 44 50 N, 20 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 122 municipalities (opstine, singular - opstina) and 23 cities (gradovi, singular - grad) |
| Administrative divisions: | municipalities: Ada*, Aleksandrovac, Aleksinac, Alibunar*, Apatin*, Arandelovac, Arilje, Babusnica, Bac*, Backa Palanka*, Backa Topola*, Backi Petrovac*, Bajina Basta, Batocina, Becej*, Bela Crkva*, Bela Palanka, Beocin*, Blace, Bogatic, Bojnik, Boljevac, Bor, Bosilegrad, Brus, Bujanovac, Cajetina, Cicevac, Coka*, Crna Trava, Cuprija, Despotovac, Dimitrov, Doljevac, Gadzin Han, Golubac, Gornji Milanovac, Indija*, Irig*, Ivanjica, Kanjiza*, Kikinda*, Kladovo, Knic, Knjazevac, Koceljeva, Kosjeric, Kovacica*, Kovin*, Krupanj, Kucevo, Kula*, Kursumlija, Lajkovac, Lapovo, Lebane, Ljig, Ljubovija, Lucani, Majdanpek, Mali Idos*, Mali Zvornik, Malo Crnice, Medveda, Merosina, Mionica, Negotin, Nova Crnja*, Nova Varos, Novi Becej*, Novi Knezevac*, Odzaci*, Opovo*, Osecina, Paracin, Pecinci*, Petrovac na Mlavi, Pirot, Plandiste*, Pozega, Presevo, Priboj, Prijepolje, Prokuplje, Raca, Raska, Razanj, Rekovac, Ruma*, Secanj*, Senta*, Sid*, Sjenica, Smederevska Palanka, Sokobanja, Srbobran*, Sremski Karlovci*, Stara Pazova*, Surdulica, Svilajnac, Svrljig, Temerin*, Titel*, Topola, Trgoviste, Trstenik, Tutin, Ub, Varvarin, Velika Plana, Veliko Gradiste, Vladicin Han, Vladimirci, Vlasotince, Vrbas*, Vrnjacka Banja, Vrsac*, Zabalj*, Zabari, Zagubica, Zitiste*, Zitorada |
| Administrative divisions: | cities: Beograd, Cacak, Jagodina, Kragujevac, Kraljevo, Krusevac, Leskovac, Loznica, Nis, Novi Pazar, Novi Sad*, Pancevo*, Pozarevac, Sabac, Smederevo, Sombor*, Sremska Mitrovica*, Subotica*, Uzice, Vajevo, Vranje, Zajecar, Zrenjanin* |
| Administrative divisions: | note: the northern 39 municipalities and 6 cities - about 28% of Serbia's area - compose the autonomous province of Vojvodina and are indicated with * |
| Independence: | 5 June 2006 (from the State Union of Serbia and Montenegro) |
| National holiday: | National Day, 15 February (1835), the day the first constitution of the country was adopted |
| Constitution: | many previous; latest approved by referendum 28-29 October 2006, adopted 30 September 2006, effective 8 November 2006 (2011) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: President Tomislav NIKOLIC (since 11 June 2012) |
| Executive branch: | head of government: Prime Minister Aleksandar VUCIC (since 22 April 2014) |
| Executive branch: | cabinet: Cabinet elected by the National Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 20 May 2012 (next to be held in 2017); prime minister elected by the National Assembly |
| Executive branch: | election results: Tomislav NIKOLIC elected president; percent of vote in second round - Tomislave NIKOLIC (SNS) 51.2%, Boris TADIC (NDS-Z) 48.8% |
| Legislative branch: | description: unicameral National Assembly or Narodna Skupstina (250 seats; members directly elected in a single nationwide constituency by proportional representation vote to serve 4-year terms) |
| Legislative branch: | elections: last held on 16 March 2014 (next to be held by March 2018) |
| Legislative branch: | election results: percent of vote by coalition/party - SNS-led Coalition 48.4%, SPS/PUPS/JS 13.5%, DS 6.0%, Boris Tadic Coalition 5.7%, DSS 4.2%, Dveri 3.6%, LDP-led Coalition 3.4%, URS 3.0%, SVM 2.1%, Enough of that 2.1%, SRS 2.0%, SDA 1.0%, PDD .7%, other and invalid 4.3%; seats by coalition/party - SNS-led Coalition 158, SPS/PUPS/JS 44, DS 19, Boris Tadic Coalition 18, SVM 6, SDA 3, PDD 2 |
| Judicial branch: | shighest court(s): Supreme Court of Cassation (consists of more than 60 judges organized into 3- and 5-member panels for criminal, civil, and administrative cases); Constitutional Court (consists of 15 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court justices proposed by the High Judicial Council (HJC), an 11-member body of which 7 are judges, and elected by the National Assembly; Constitutional Court judges appointed - 5 each by the National Assembly, the president, and the Supreme Court of Cassation; judges of both courts appointed to permanent tenure by the HJC |
| Judicial branch: | subordinate courts: appellate courts, higher courts, and municipal and district courts; courts of special jurisdiction include the Administrative Court, Appellate Commercial Court, and 2 levels of misdemeanor courts |
| Judicial branch: | note: in 2003, specialized panels on war crimes were established within the Serbian court system; the panels have jurisdiction over alleged violations of the Basic Criminal Code and crimes against humanity, international law, and criminal acts as defined by the Statute of the International Criminal Tribunal for the former Yugoslavia |
| Political parties and leaders: | Alliance of Vojvodina Hungarians or SVM [Istvan PASZTOR] |
| Political parties and leaders: | Boris Tadic Coalition [Boris TADIC] (includes New Democratic Party-Greens or NDS-Z [Boris TADIC], League of Social Democrats of Vojvodina or LSV [Nenad CANAK], Together for Serbia or ZZS [Dusan PETROVIC], Democratic Alliance of Vojvodina Hungarians or VMDK [Aron CSONKA], Together for Vojvodina [Olena PAPUGA], Democratic Left of Roma or DLR [Jovan DAMJANOVIC]) |
| Political parties and leaders: | Democratic Party of Serbia or DSS [Sanda Razkovic IVIC] |
| Political parties and leaders: | Dveri [Bosko OBRADOVIC] |
| Political parties and leaders: | Enough of That [Sasa RADULOVIC] |
| Political parties and leaders: | Party for Democratic Action or PDD [Riza HALIMI] |
| Political parties and leaders: | Party of Democratic Action of the Sandzak or SDA [Sulejman UGLJANIN] |
| Political parties and leaders: | Serbian Radical Party or SRS [Vojislav SESELJ] |
| Political parties and leaders: | SNS-led Coalition/A Future We Believe In [Aleksandar VUCIC] (includes Serbian Progressive Party or SNS [Aleksandar VUCIC], Social Democratic Party of Serbia or SDPS [Rasim LJAJIC], New Serbia or NS [Velimir ILIC], Movement of Socialists or PS [Aleksandar VULIN], and Serbian Renewal Movement or SPO [Vuk DRASKOVIC]) |
| Political parties and leaders: | United Regions of Serbia or URS [Mladan DINKIC] |
| Political parties and leaders: | With Democratic Party for Democratic Serbia/Democratic Party or DS [Dragan DJILAS] |
