| Government | Nigeria |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Nigeria |
| Country name: | conventional short form: Nigeria |
| Country name: | etymology: named for the Niger River that flows through the west of the country to the Atlantic Ocean; from a native term "Ni Gir" meaning "River Gir" |
| Government type: | federal presidential republic |
| Capital: | name: Abuja |
| Capital: | geographic coordinates: 9 05 N, 7 32 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 36 states and 1 territory*; Abia, Adamawa, Akwa Ibom, Anambra, Bauchi, Bayelsa, Benue, Borno, Cross River, Delta, Ebonyi, Edo, Ekiti, Enugu, Federal Capital Territory*, Gombe, Imo, Jigawa, Kaduna, Kano, Katsina, Kebbi, Kogi, Kwara, Lagos, Nasarawa, Niger, Ogun, Ondo, Osun, Oyo, Plateau, Rivers, Sokoto, Taraba, Yobe, Zamfara |
| Independence: | 1 October 1960 (from the UK) |
| National holiday: | Independence Day (National Day), 1 October (1960) |
| Constitution: | history: several previous; latest adopted 5 May 1999, effective 29 May 1999 (2018) |
| Constitution: | amendments: proposed by the National Assembly; passage requires at least two-thirds majority vote of both houses and approval by the Houses of Assembly of at least two-thirds of the states; amendments to constitutional articles on the creation of a new state, fundamental constitutional rights, or constitution-amending procedures requires at least four-fifths majority vote by both houses of the National Assembly and approval by the Houses of Assembly in at least two-thirds of the states; passage of amendments limited to the creation of a new state require at least two-thirds majority by the proposing National Assembly house and approval by the Houses of Assembly in two-thirds of the states; amended several times, last in 2018 (2018) |
| Legal system: | mixed legal system of English common law, Islamic law (in 12 northern states), and traditional law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Nigeria |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 15 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and 15 justices) |
| Judicial branch: | judge selection and term of office: judges appointed by the president upon the recommendation of the National Judicial Council, a 23-member independent body of federal and state judicial officials; judge appointments confirmed by the Senate; judges serve until age 70 |
| Judicial branch: | subordinate courts: Court of Appeal; Federal High Court; High Court of the Federal Capital Territory; Sharia Court of Appeal of the Federal Capital Territory; Customary Court of Appeal of the Federal Capital Territory; state court system similar in structure to federal system |
| Executive branch: | chief of state: President Maj. Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015); note - the president is both chief of state, head of government, and commander-in-chief of the armed forces |
| Executive branch: | head of government: President Maj.Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015) |
| Executive branch: | cabinet: Federal Executive Council appointed by the president but constrained constitutionally to include at least one member from each of the 36 states |
| Executive branch: | elections/appointments: president directly elected by qualified majority popular vote and at least 25% of the votes cast in 24 of Nigeria's 36 states; president elected for a 4-year term (eligible for a second term); election last held on 28-29 March 2015 (next to be held on 16 February 2019) |
| Executive branch: | election results: Muhammadu BUHARI elected president; percent of vote - Muhammadu BUHARI (APC) 54%, Goodluck JONATHAN (PDP) 45%, other 1% |
| Legislative branch: | description: bicameral National Assembly consists of: |
| Legislative branch: | Senate (109 seats - 3 each for the 36 states and 1 for Abuja-Federal Capital Territory; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | House of Representatives (360 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last held on 28-29 March 2015 (next to be held on 16 February 2019) |
| Legislative branch: | House of Representatives - last held on 28-29 March 2015 (next to be held on 16 February 2019) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - percent of vote by party - NA; seats by party - APC 60, PDP 49; seats by party as of April 2017 - APC 66, PDP 43 |
| Legislative branch: | House of Representatives - percent of vote by party - NA; seats by party - APC 225, PDP 125, other 10 |
| Political parties and leaders: | Accord Party or ACC [Mohammad Lawal MALADO] |
| Political parties and leaders: | All Progressives Congress or APC [John Odigie OYEGUN] |
| Political parties and leaders: | All Progressives Grand Alliance or APGA [Victor C. UMEH] |
| Political parties and leaders: | Democratic Peoples Party or DPP [Biodun OGUNBIYI] |
| Political parties and leaders: | Labor Party or LP [Alhai Abdulkadir ABDULSALAM] |
| Political parties and leaders: | Peoples Democratic Party or PDP [Ali Modu SHERIFF] |
| International organization participation: | ACP, AfDB, AU, C, CD, D-8, ECOWAS, EITI (compliant country), FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNITAR, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Sylvanus Adiewere NSOFOR (since 29 November 2017) |
| Diplomatic representation in the US: | chancery: 3519 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 516-4277 |
| Diplomatic representation in the US: | FAX: [1] (202) 362-6541 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador W. Stuart SYMINGTON (since 1 December 2016) |
| Diplomatic representation from the US: | embassy: Plot 1075 Diplomatic Drive, Central District Area, Abuja |
