| Government | Nigeria |
| --- | --- |
| Country name: | conventional long form: Federal Republic of Nigeria |
| Country name: | conventional short form: Nigeria |
| Country name: | etymology: named for the Niger River that flows through the west of the country to the Atlantic Ocean; from a native term "Ni Gir" meaning "River Gir" |
| Government type: | federal presidential republic |
| Capital: | name: Abuja |
| Capital: | geographic coordinates: 9 05 N, 7 32 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: Abuja is a planned capital city, it replaced Lagos in 1991; situated in the center of the country, Abuja takes its name from a nearby town, now renamed Suleja |
| Administrative divisions: | 36 states and 1 territory*; Abia, Adamawa, Akwa Ibom, Anambra, Bauchi, Bayelsa, Benue, Borno, Cross River, Delta, Ebonyi, Edo, Ekiti, Enugu, Federal Capital Territory*, Gombe, Imo, Jigawa, Kaduna, Kano, Katsina, Kebbi, Kogi, Kwara, Lagos, Nasarawa, Niger, Ogun, Ondo, Osun, Oyo, Plateau, Rivers, Sokoto, Taraba, Yobe, Zamfara |
| Independence: | 1 October 1960 (from the UK) |
| National holiday: | Independence Day (National Day), 1 October (1960) |
| Constitution: | history: several previous; latest adopted 5 May 1999, effective 29 May 1999 |
| Constitution: | amendments: proposed by the National Assembly; passage requires at least two-thirds majority vote of both houses and approval by the Houses of Assembly of at least two thirds of the states; amendments to constitutional articles on the creation of a new state, fundamental constitutional rights, or constitution-amending procedures requires at least four-fifths majority vote by both houses of the National Assembly and approval by the Houses of Assembly in at least two thirds of the states; passage of amendments limited to the creation of a new state require at least two-thirds majority vote by the proposing National Assembly house and approval by the Houses of Assembly in two thirds of the states; amended several times, last in 2018 (2018) |
| Legal system: | mixed legal system of English common law, Islamic law (in 12 northern states), and traditional law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Nigeria |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 15 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Maj. Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015); note - the president is both chief of state, head of government, and commander-in-chief of the armed forces |
| Executive branch: | head of government: President Maj.Gen. (ret.) Muhammadu BUHARI (since 29 May 2015); Vice President Oluyemi "Yemi" OSINBAJO (since 29 May 2015) |
| Executive branch: | cabinet: Federal Executive Council appointed by the president but constrained constitutionally to include at least one member from each of the 36 states |
| Executive branch: | elections/appointments: president directly elected by qualified majority popular vote and at least 25% of the votes cast in 24 of Nigeria's 36 states; president elected for a 4-year term (eligible for a second term); election last held on 23 February 2019 (next to be held in February 2023); note: the election was scheduled for 16 February 2019, but postponed on 16 February 2019 |
| Executive branch: | election results: Muhammadu BUHARI elected president; percent of vote - Muhammadu BUHARI (APC) 53%, Atiku ABUBAKER (PDP) 39%, other 8% |
| Legislative branch: | description: bicameral National Assembly consists of: |
| Legislative branch: | Senate (109 seats - 3 each for the 36 states and 1 for Abuja-Federal Capital Territory; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | House of Representatives (360 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| Legislative branch: | elections: Senate - last held on 23 February 2019 (next to be held on 23 February 2023); note: election was scheduled for 16 February 2019 but was postponed on 15 February 2019 |
| Legislative branch: | House of Representatives - last held on 23 February 2019 (next to be held on 23 February 2023); note: election was scheduled for 16 February 2019 but was postponed on 15 February 2019 |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - APC 65, PDP 39, YPP 1, TBD 3; composition - men 103, women 6, percent of women 5.5% |
| Legislative branch: | House of Representatives - percent of vote by party - NA; seats by party - APC 217, PDP 115, other 20, TBD 8; composition - men 346, women 14, percent of women 3.9%; note - total National Assembly percent of women 4.3% |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice and 15 justices) |
| Judicial branch: | judge selection and term of office: judges appointed by the president upon the recommendation of the National Judicial Council, a 23-member independent body of federal and state judicial officials; judge appointments confirmed by the Senate; judges serve until age 70 |
| Judicial branch: | subordinate courts: Court of Appeal; Federal High Court; High Court of the Federal Capital Territory; Sharia Court of Appeal of the Federal Capital Territory; Customary Court of Appeal of the Federal Capital Territory; state court system similar in structure to federal system |
| Political parties and leaders: | Accord Party or ACC [Mohammad Lawal MALADO] |
| Political parties and leaders: | All Progressives Congress or APC [Adams OSHIOMHOLE] |
| Political parties and leaders: | All Progressives Grand Alliance or APGA [Victor Ike OYE] |
| Political parties and leaders: | Democratic Peoples Party or DPP [Biodun OGUNBIYI] |
| Political parties and leaders: | Labor Party or LP [Alhai Abdulkadir ABDULSALAM] |
| Political parties and leaders: | Peoples Democratic Party or PDP [Uche SECONDUS] |
| Political parties and leaders: | Young Progressive Party or YPP [Kingsley MOGHALU] |
| International organization participation: | ACP, AfDB, AU, C, CD, D-8, ECOWAS, EITI (compliant country), FAO, G-15, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIC, OPCW, OPEC, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNITAR, UNMIL, UNMISS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Sylvanus Adiewere NSOFOR (since 29 November 2017) |
| Diplomatic representation in the US: | chancery: 3519 International Court NW, Washington, DC 20008 |
