| Government | MALAWI |
| --- | --- |
| Country name: | conventional long form: Republic of Malawi |
| Country name: | conventional short form: Malawi |
| Country name: | local long form: Dziko la Malawi |
| Country name: | local short form: Malawi |
| Country name: | former: British Central African Protectorate, Nyasaland Protectorate, Nyasaland |
| Government type: | multiparty democracy |
| Capital: | name: Lilongwe |
| Capital: | geographic coordinates: 13 58 S, 33 47 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 28 districts; Balaka, Blantyre, Chikwawa, Chiradzulu, Chitipa, Dedza, Dowa, Karonga, Kasungu, Likoma, Lilongwe, Machinga, Mangochi, Mchinji, Mulanje, Mwanza, Mzimba, Neno, Ntcheu, Nkhata Bay, Nkhotakota, Nsanje, Ntchisi, Phalombe, Rumphi, Salima, Thyolo, Zomba |
| Independence: | 6 July 1964 (from the UK) |
| National holiday: | Independence Day (Republic Day), 6 July (1964) |
| Constitution: | previous 1953 (preindependence), 1966; latest drafted January to May 1994, approved 16 May 1994, entered into force 18 May 1995; amended several times, last in 2013 (2013) |
| Legal system: | mixed legal system of English common law and customary law; judicial review of legislative acts in the Supreme Court of Appeal |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Arthur Peter MUTHARIKA (since 31 May 2014); Vice President Saulos CHILIMA (since 31 May 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Arthur Peter MUTHARIKA (since 31 May 2014); Vice President Saulos CHILIMA (since 31 May 2014) |
| Executive branch: | cabinet: Cabinet named by the president |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 5-year term (eligible for a second term); election last held on 20 May 2014 (next to be held in May 2019) |
| Executive branch: | election results: Peter MUTHARIKA elected president; percent of vote - Peter MUTHARIKA (DPP) 36.4%, Lazarus CHAKWERA (MCP) 27.8%, Joyce BANDA (PP) 20.2%, Atupele MULUZI (UDF) 13.7%, other 1.9% |
| Legislative branch: | description: unicameral National Assembly (193 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: last held on 20-22 May 2014 (next to be held in May 2019) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - DPP 50, MCP 48, PP 26, UDF 14, other 2, independent 52; note - voting in one electoral constituency to be rescheduled due to death of candidate |
| Judicial branch: | highest court(s): Supreme Court of Appeal (consists of the chief justice and at least 3 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice appointed by the president and confirmed by the National Assembly; other judges appointed by the president upon recommendation of the Judicial Service Commission, which regulates judicial officers; judges serve until age 65 |
| Judicial branch: | subordinate courts: High Court; magistrate courts; Industrial Relations Court; district and city traditional or local courts |
| Political parties and leaders: | Alliance for Democracy or AFORD [Godfrey SHAWA] |
| Political parties and leaders: | Chipani Cha Fuko or CCP [Davis KATSONGA PHIRI] |
| Political parties and leaders: | Democratic Progressive Party or DPP [Peter MUTHARIKA] |
| Political parties and leaders: | Malawi Congress Party or MCP [Lazarus CHAKWERA] |
| Political parties and leaders: | People's Party or PP [Joyce BANDA] |
| Political parties and leaders: | United Democratic Front or UDF [Atupele MULUZI] |
| Political pressure groups and leaders: | Council for NGOs in Malawi or CONGOMA (human rights, democracy, and development) |
| Political pressure groups and leaders: | Human Rights Consultative Committee or HRCC (human rights) |
| Political pressure groups and leaders: | Malawi Economic Justice Network or MEJN (pro economic growth, development, government accountability) |
| Political pressure groups and leaders: | Malawi Law Society (an umbrella organization of all lawyers in Malawi) |
| Political pressure groups and leaders: | Public Affairs Committee or PAC (promotes democracy, development, peace and unity) |
| International organization participation: | ACP, AfDB, AU, C, CD, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NAM, OPCW, SADC, UN, UNCTAD, UNESCO, UNIDO, UNISFA, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Necton Darlington MHURA (since 18 May 2015) |
| Diplomatic representation in the US: | chancery: 2408 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 721-0270 |
| Diplomatic representation in the US: | FAX: [1] (202) 721-0288 |
| Diplomatic representation from the US: | chief of mission: Ambassador Virginia E. PALMER (since 5 February 2015) |
| Diplomatic representation from the US: | embassy: 16 Jomo Kenyatta Road, Lilongwe 3 |
| Diplomatic representation from the US: | mailing address: P. O. Box 30016, Lilongwe 3, Malawi |
| Diplomatic representation from the US: | telephone: [265] (1) 773-166 |
| Diplomatic representation from the US: | FAX: [265] (1) 770-471 |
| Flag description: | three equal horizontal bands of black (top), red, and green with a radiant, rising, red sun centered on the black band; black represents the native peoples, red the blood shed in their struggle for freedom, and green the color of nature; the rising sun represents the hope of freedom for the continent of Africa |
| National symbol(s): | lion; national colors: black, red, green |
| National anthem: | name: "Mulungu dalitsa Malawi" (Oh God Bless Our Land of Malawi) |
| National anthem: | lyrics/music: Michael-Fredrick Paul SAUKA |
| National anthem: | note: adopted 1964 |
