| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Malawi |
| Country name: | conventional short form: Malawi |
| Country name: | former: British Central African Protectorate, Nyasaland Protectorate, Nyasaland |
| Government type: | multiparty democracy |
| Capital: | Lilongwe |
| Administrative divisions: | 24 districts; Blantyre, Chikwawa, Chiradzulu, Chitipa, Dedza, Dowa, Karonga, Kasungu, Lilongwe, Machinga (Kasupe), Mangochi, Mchinji, Mulanje, Mwanza, Mzimba, Ntcheu, Nkhata Bay, Nkhotakota, Nsanje, Ntchisi, Rumphi, Salima, Thyolo, Zomba; note - there may be three new districts named Balaka, Likoma, and Phalombe |
| Independence: | 6 July 1964 (from UK) |
| National holiday: | Independence Day, 6 July (1964) |
| Constitution: | 18 May 1994 |
| Legal system: | based on English common law and customary law; judicial review of legislative acts in the Supreme Court of Appeal; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bakili MULUZI (since 21 May 1994); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Bakili MULUZI (since 21 May 1994); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: 36-member Cabinet named by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 15 June 1999 (next to be held NA 2004) |
| Executive branch: | election results: Bakili MULUZI reelected president; percent of vote - Bakili MULUZI (UDF) 51.4%, Gwandaguluwe CHAKUAMBA (MCP-AFORD) 44.3% |
| Legislative branch: | unicameral National Assembly (193 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 15 June 1999 (next to be held NA 2004) |
| Legislative branch: | election results: percent of vote by party - UDF 48%, MCP 34%, AFORD 15%, others 3%; seats by party - UDF 94, MCP 66, AFORD 29, others 4 |
| Judicial branch: | Supreme Court of Appeal; High Court (chief justice appointed by the president, puisne judges appointed on the advice of the Judicial Service Commission); magistrate's courts |
| Political parties and leaders: | Alliance for Democracy or AFORD [Chakufwa CHIHANA, president]; Malawi Congress Party or MCP [Gwanda CHAKUAMBA, president, John TEMBO, vice president]; Malawi Democratic Party or MDP [Kampelo KALUA, president]; National Independence Party; Social Democratic Party or SDP [Eston KAKHOME, president]; United Democratic Front or UDF [Bakili MULUZI] - governing party |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, C, CCC, ECA, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, ISO (correspondent), ITU, NAM, OAU, OPCW, SADC, UN, UNCTAD, UNESCO, UNIDO, UNMIK, UPU, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Paul Tony Steven KANDIERO |
| Diplomatic representation in the US: | chancery: 2408 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 797-1007 |
| Diplomatic representation from the US: | chief of mission: Ambassador Roger A. MEECE |
| Diplomatic representation from the US: | embassy: Area 40, Plot 24, Kenyatta Road |
| Diplomatic representation from the US: | mailing address: P. O. Box 30016, Lilongwe 3, Malawi |
| Diplomatic representation from the US: | telephone: [265] 773 166 |
| Diplomatic representation from the US: | FAX: [265] 770 471 |
| Flag description: | three equal horizontal bands of black (top), red, and green with a radiant, rising, red sun centered in the black band |
| Government - note: | the executive exerts considerable influence over the legislature |
