| Government | Singapore |
| --- | --- |
| Country name: | conventional long form: Republic of Singapore |
| Country name: | conventional short form: Singapore |
| Country name: | local long form: Republic of Singapore |
| Country name: | local short form: Singapore |
| Government type: | parliamentary republic |
| Capital: | name: Singapore |
| Capital: | geographic coordinates: 1 17 N, 103 51 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none |
| Independence: | 9 August 1965 (from Malaysian Federation) |
| National holiday: | National Day, 9 August (1965) |
| Constitution: | 3 June 1959; amended 1965 (based on pre-independence State of Singapore Constitution) |
| Legal system: | based on English common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; universal and compulsory |
| Executive branch: | chief of state: President S R NATHAN (since 1 September 1999) |
| Executive branch: | note: uses S R NATHAN but his full name and the one used in formal communications is Sellapan RAMANATHAN |
| Executive branch: | head of government: Prime Minister LEE Hsien Loong (since 12 August 2004); Senior Minister GOH Chok Tong (since 12 August 2004); Senior Minister Shunmugam JAYAKUMAR (since 1 April 2009); Minister Mentor LEE Kuan Yew (since 12 August 2004); Deputy Prime Minister TEO Chee Huan (since 1 April 2009) and Deputy Prime Minister WONG Kan Seng (since 1 September 2005) |
| Executive branch: | cabinet: appointed by president, responsible to parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for six-year term; appointed on 17 August 2005 (next election to be held by August 2011); following legislative elections, leader of majority party or leader of majority coalition usually appointed prime minister by president; deputy prime ministers appointed by president |
| Executive branch: | election results: Sellapan Rama (S R) NATHAN was appointed president in August 2005 after Presidential Elections Committee disqualified three other would-be candidates; scheduled election not held |
| Legislative branch: | unicameral Parliament (84 seats; members elected by popular vote to serve five-year terms); note - in addition, there are up to 9 nominated members; up to three losing opposition candidates who came closest to winning seats may be appointed as "nonconstituency" members |
| Legislative branch: | elections: last held on 6 May 2006 (next to be held by February 2012) |
| Legislative branch: | election results: percent of vote by party - PAP 66.6%, WP 16.3%, SDA 13%, SDP 4.1%; seats by party - PAP 82, WP 1, SDA 1 |
| Judicial branch: | Supreme Court (chief justice is appointed by the president with the advice of the prime minister, other judges are appointed by the president with the advice of the chief justice); Court of Appeals |
| Political parties and leaders: | People's Action Party or PAP [LEE Hsien Loong]; Reform Party [NG Teck Siong]; Singapore Democratic Alliance or SDA [CHIAM See Tong]; Singapore Democratic Party or SDP [CHEE Soon Juan]; Workers' Party or WP [Sylvia LIM Swee Lian] |
| Political parties and leaders: | note: SDA includes Singapore Justice Party or SJP, Singapore National Malay Organization or PKMS, Singapore People's Party or SPP |
| Political pressure groups and leaders: | none |
| International organization participation: | ADB, AOSIS, APEC, ARF, ASEAN, BIS, C, CP, EAS, FATF, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC, MIGA, NAM, OPCW, PCA, UN, UNCTAD, UNESCO, UNMIT, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador CHAN Heng Chee |
| Diplomatic representation in the US: | chancery: 3501 International Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 537-3100 |
| Diplomatic representation in the US: | FAX: [1] (202) 537-0876 |
| Diplomatic representation in the US: | consulate(s) general: San Francisco |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador David I. ADELMAN |
| Diplomatic representation from the US: | embassy: 27 Napier Road, Singapore 258508 |
| Diplomatic representation from the US: | mailing address: FPO AP 96507-0001 |
| Diplomatic representation from the US: | telephone: [65] 6476-9100 |
| Diplomatic representation from the US: | FAX: [65] 6476-9340 |
| Flag description: | two equal horizontal bands of red (top) and white; near the hoist side of the red band, there is a vertical, white crescent (closed portion is toward the hoist side) partially enclosing five white five-pointed stars arranged in a circle; red denotes brotherhood and equality; white signifies purity and virtue; the waxing crescent moon symbolizes a young nation on the ascendancy; the five stars represent the nation's ideals of democracy, peace, progress, justice, and equality |
| National anthem: | name: "Majulah Singapura" (Onward Singapore) |
| National anthem: | lyrics/music: ZUBIR Said |
| National anthem: | note: adopted 1965; the anthem, which was first performed in 1958 at the Victoria Theatre, is sung only in Malay |
