| Government | Korea, South |
| --- | --- |
| Country name: | conventional long form: Republic of Korea |
| Country name: | conventional short form: South Korea |
| Country name: | local long form: Taehan-min'guk |
| Country name: | local short form: Han'guk |
| Country name: | abbreviation: ROK |
| Government type: | republic |
| Capital: | name: Seoul |
| Capital: | geographic coordinates: 37 33 N, 126 59 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 provinces (do, singular and plural), 6 metropolitan cities (gwangyoksi, singular and plural), 1 special city, and 1 special self-governing city |
| Administrative divisions: | provinces: Chungbuk (North Chungcheong), Chungnam (South Chungcheong), Gangwon, Gyeonggi, Gyeongbuk (North Gyeongsang), Gyeongnam (South Gyeongsang), Jeju, Jeonbuk (North Jeolla), Jeonnam (South Jeolla) |
| Administrative divisions: | metropolitan cities: Busan (Pusan), Daegu (Taegu), Daejeon (Taejon), Gwangju (Kwangju), Incheon (Inch'on), Ulsan |
| Administrative divisions: | special city: Seoul |
| Administrative divisions: | special self-governing city: Sejong |
| Independence: | 15 August 1945 (from Japan) |
| National holiday: | Liberation Day, 15 August (1945) |
| Constitution: | effective 17 July 1948; amended several times, last in 1987 (2013) |
| Legal system: | mixed legal system combining European civil law, Anglo-American law, and Chinese classical thought |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 19 years of age; universal |
| Executive branch: | chief of state: President PARK Geun-hye (since 25 February 2013) |
| Executive branch: | head of government: (vacant); note - Prime Minister CHUNG Hong-won resigned 27 April 2014; MOON Chang-keuk was nominated Prime Minister 10 June 2014 and awaits parliamentary confirmation; Deputy Prime Minister HYUN Oh-seok (since 26 June 2013) |
| Executive branch: | cabinet: State Council appointed by the president on the prime minister's recommendation |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a single five-year term; election last held on 19 December 2012 (next to be held in December 2017); prime minister appointed by president with consent of National Assembly |
| Executive branch: | election results: PARK Geun-Hye elected president; percent of vote - PARK Geun-Hye (NFP) 51.6%, MOON Jae-In (DUP) 48%, others 0.4% |
| Legislative branch: | unicameral National Assembly or Gukhoe (300 seats; 246 members elected in single-seat constituencies, 54 elected by proportional representation; members serve four-year terms) |
| Legislative branch: | elections: last held on 11 April 2012 (next to be held in April 2016) |
| Legislative branch: | election results: percent of vote by party - NFP 42.8%, DUP 36.5%, UPP 10.3%, LFP 3.2%, others 7.2%; seats by party - NFP 152, DUP 127, UPP 13, LFP 5, independents 3 |
| Legislative branch: | note: seats by negotiation group as of April 2014 - NFP 156, NPAD 130, UPP 6, Justice Party 5, Independents 1; note - 2 seats are vacant |
| Judicial branch: | highest court(s): Supreme Court of South Korea (consists of a chief justice and 13 justices); Constitutional Court (consists of a court head and 8 justices) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice appointed by the president with the consent of the National Assembly; other justices appointed by the president upon the recommendation of the chief justice and consent of the National Assembly; position of the chief justice is a 6-year non-renewable term; other justices serve 6-year renewable terms; Constitutional Court justices appointed - 3 by the president, 3 by the National Assembly, and 3 by the Supreme Court chief justice; court head serves until retirement at age 70, while other justices serve 6-year renewable terms with mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: High Courts; District Courts; Branch Courts (organized undeer the Branch Courts); specialized courts for family and administrative issues |
| Political parties and leaders: | Justice Party [CHEON Ho-sun] |
| Political parties and leaders: | Liberty Forward Party or LFP (merged with NFP in October 2012) |
| Political parties and leaders: | New Frontier Party (NFP) or Saenuri (formerly Grand National Party) [HWANG Woo-yea] |
| Political parties and leaders: | New Politics Alliance for Diplomacy or NPAD [KIM Han-gil and AHN Cheol-soo] (merger of the Democratic Party or DP (formerly DUP) [Kim Han-gil] and the New Political Vision Party or NPVP [AHN Cheol-soo] in March 2014) |
| Political parties and leaders: | Progressive Justice Party or PJP [ROH Hoe-chan and CHO Joon-ho] |
| Political parties and leaders: | Unified Progressive Party or UPP [LEE Jung-hee] |
| Political pressure groups and leaders: | Catholic Priests' Association for Justice |
| Political pressure groups and leaders: | Citizen's Coalition for Economic Justice |
| Political pressure groups and leaders: | Federation of Korean Industries |
| Political pressure groups and leaders: | Federation of Korean Trade Unions |
| Political pressure groups and leaders: | Korean Confederation of Trade Unions |
| Political pressure groups and leaders: | Korean Veterans' Association |
| Political pressure groups and leaders: | Lawyers for a Democratic Society |
| Political pressure groups and leaders: | National Council of Churches |
| Political pressure groups and leaders: | People's Solidarity for Participatory Democracy |
| International organization participation: | ADB, AfDB (nonregional member), APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, CD, CICA, CP, EAS, EBRD, FAO, FATF, G-20, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINURSO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), Pacific Alliance (observer), Paris Club (associate), PCA, PIF (partner), SAARC (observer), SICA (observer), UN, UN Security Council (temporary), UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNISFA, UNMIL, UNMISS, UNMOGIP, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador AHN Ho-young (since 7 June 2013) |
| Diplomatic representation in the US: | chancery: 2450 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-5600 |
| Diplomatic representation in the US: | FAX: [1] (202) 797-0595 |
| Diplomatic representation in the US: | consulate(s) general: Agana (Guam), Atlanta, Boston, Chicago, Honolulu, Houston, Los Angeles, New York, San Francisco, Seattle |
| Diplomatic representation in the US: | consulate(s): Anchorage (AK), Dallas, Hagatna (Guam) |
| Diplomatic representation from the US: | chief of mission: Ambassador Sung Y. KIM (since 3 November 2011) |
| Diplomatic representation from the US: | embassy: 188 Sejong-daero, Jongno-gu, Seoul 110-710 |
| Diplomatic representation from the US: | mailing address: US Embassy Seoul, Unit 15550, APO AP 96205-5550 |
| Diplomatic representation from the US: | telephone: [82] (2) 397-4114 |
| Diplomatic representation from the US: | FAX: [82] (2) 725-0152 |
| Flag description: | white with a red (top) and blue yin-yang symbol in the center; there is a different black trigram from the ancient I Ching (Book of Changes) in each corner of the white field; the South Korean national flag is called Taegukki; white is a traditional Korean color and represents peace and purity; the blue section represents the negative cosmic forces of the yin, while the red symbolizes the opposite positive forces of the yang; each trigram (kwae) denotes one of the four universal elements, which together express the principle of movement and harmony |
| National symbol(s): | taegeuk (yin yang symbol) |
| National anthem: | name: "Aegukga" (Patriotic Song) |
| National anthem: | lyrics/music: YUN Ch'i-Ho or AN Ch'ang-Ho/AHN Eaktay |
| National anthem: | note: adopted 1948, well-known by 1910; both North Korea and South Korea's anthems share the same name and have a vaguely similar melody but have different lyrics |
