| Government | Korea, South |
| --- | --- |
| Country name: | conventional long form: Republic of Korea |
| Country name: | conventional short form: South Korea |
| Country name: | local long form: Taehan-min'guk |
| Country name: | local short form: none |
| Country name: | note: the South Koreans generally use the term "Han'guk" to refer to their country |
| Country name: | abbreviation: ROK |
| Government type: | republic |
| Capital: | Seoul |
| Administrative divisions: | 9 provinces (do, singular and plural) and 7 metropolitan cities (gwangyoksi, singular and plural) |
| Administrative divisions: | : provinces: Cheju-do, Cholla-bukto (North Cholla), Cholla-namdo (South Cholla), Ch'ungch'ong-bukto (North Ch'ungch'ong), Ch'ungch'ong-namdo (South Ch'ungch'ong), Kangwon-do, Kyonggi-do, Kyongsang-bukto (North Kyongsang), Kyongsang-namdo (South Kyongsang) |
| Administrative divisions: | : metropolitan cities: Inch'on-gwangyoksi (Inch'on), Kwangju-gwangyoksi (Kwangju), Pusan-gwangyoksi (Pusan), Soul-t'ukpyolsi (Seoul), Taegu-gwangyoksi (Taegu), Taejon-gwangyoksi (Taejon), Ulsan-gwangyoksi (Ulsan) |
| Independence: | 15 August 1945 (from Japan) |
| National holiday: | Liberation Day, 15 August (1945) |
| Constitution: | 17 July 1948 |
| Legal system: | combines elements of continental European civil law systems, Anglo-American law, and Chinese classical thought |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: President ROH Moo-hyun (since 25 February 2003) |
| Executive branch: | head of government: Prime Minister LEE Hae-chan (since 25 May 2004); Deputy Prime Ministers HAN Duck-soo (14 March 2005), KIM Jin-pyo (since 28 January 2005), and OH Myung (since 18 October 2004) |
| Executive branch: | cabinet: State Council appointed by the president on the prime minister's recommendation |
| Executive branch: | elections: president elected by popular vote for single five-year term; election last held 19 December 2002 (next to be held in February 2008); prime minister appointed by president with consent of National Assembly; deputy prime ministers appointed by president on prime minister's recommendation |
| Executive branch: | election results: results of the 19 December 2002 election - ROH Moo-hyun elected president; percent of vote - ROH Moo-hyun (MDP) 48.9%; LEE Hoi-chang (GNP) 46.6%; other 4.5% |
| Legislative branch: | unicameral National Assembly or Kukhoe (299 seats - members elected for four-year terms; 243 in single-seat constituencies, 56 by proportional representation |
| Legislative branch: | elections: last held 15 April 2004 (next to be held in April 2008; byelections held on 30 April 2005) |
| Legislative branch: | election results: percent of vote by party - Uri 51%, GNP 41%, DLP 3%, DP 3%, others 2%; seats by party - Uri 146, GNP 125, DLP 10, DP 9, ULD 3, independents 6 |
| Legislative branch: | note: percent of vote is for 2004 general election; seats by party reflect results of 2005 byelections involving six seats; MDP became DP in May 2005 (2005) |
| Judicial branch: | Supreme Court (justices appointed by president with consent of National Assembly); Constitutional Court (justices appointed by president based partly on nominations by National Assembly and Chief Justice of the court) |
| Political parties and leaders: | Democratic Labor Party or DLP [KIM Hye-kyung, chairwoman]; Democratic Party or DP [HAHN Hwa-kap, chairman]; Grand National Party or GNP [PARK Geun-hye, chairwoman]; United Liberal Democrats or ULD [KIM Hak-won, chairman]; Uri Party [MOON Hee-sang, chairman] |
| Political pressure groups and leaders: | Federation of Korean Industries; Federation of Korean Trade Unions; Korean Confederation of Trade Unions; Korean National Council of Churches; Korean Traders Association; Korean Veterans' Association; National Council of Labor Unions; National Democratic Alliance of Korea; National Federation of Farmers' Associations; National Federation of Student Associations |
| International organization participation: | AfDB, APEC, APT, ARF, AsDB, ASEAN (dialogue partner), Australia Group, BIS, CP, EBRD, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAIA, MIGA, MINURSO, NAM (guest), NEA, NSG, OAS (observer), OECD, ONUB, OPCW, OSCE (partner), PCA, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMOGIP, UNOMIG, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Lee Tae-sik (designated) |
| Diplomatic representation in the US: | chancery: 2450 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-5600 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-0205 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Honolulu, Houston, Los Angeles, New York, San Francisco, and Seattle |
| Diplomatic representation in the US: | consulate(s): Agana (Guam) and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher R. HILL |
| Diplomatic representation from the US: | embassy: 82 Sejong-no, Jongno-gu, Seoul 110-710 |
| Diplomatic representation from the US: | mailing address: American Embassy, Unit 15550, APO AP 96205-5550 |
| Diplomatic representation from the US: | telephone: [82] (2) 397-4114 |
| Diplomatic representation from the US: | FAX: [82] (2) 738-8845 |
| Flag description: | white with a red (top) and blue yin-yang symbol in the center; there is a different black trigram from the ancient I Ching (Book of Changes) in each corner of the white field |
