| Government | Korea, South |
| --- | --- |
| Country name: | conventional long form: Republic of Korea |
| Country name: | conventional short form: South Korea |
| Country name: | local long form: Taehan-min'guk |
| Country name: | local short form: Han'guk |
| Country name: | abbreviation: ROK |
| Government type: | republic |
| Capital: | name: Seoul |
| Capital: | geographic coordinates: 37 33 N, 126 59 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 provinces (do, singular and plural) and 7 metropolitan cities (gwangyoksi, singular and plural) |
| Administrative divisions: | provinces: Cheju-do, Cholla-bukto (North Cholla), Cholla-namdo (South Cholla), Ch'ungch'ong-bukto (North Ch'ungch'ong), Ch'ungch'ong-namdo (South Ch'ungch'ong), Kangwon-do, Kyonggi-do, Kyongsang-bukto (North Kyongsang), Kyongsang-namdo (South Kyongsang) |
| Administrative divisions: | metropolitan cities: Inch'on-gwangyoksi, Kwangju-gwangyoksi, Pusan-gwangyoksi, Soul-t'ukpyolsi (Seoul), Taegu-gwangyoksi, Taejon-gwangyoksi, Ulsan-gwangyoksi |
| Independence: | 15 August 1945 (from Japan) |
| National holiday: | Liberation Day, 15 August (1945) |
| Constitution: | 17 July 1948; note - amended or rewritten many times; current constitution approved on 29 October 1987 |
| Legal system: | combines elements of continental European civil law systems, Anglo-American law, and Chinese classical thought; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 19 years of age; universal |
| Executive branch: | chief of state: President LEE Myung-bak (since 25 February 2008) |
| Executive branch: | head of government: Prime Minister KIM Hwang-sik (since 1 October 2010) |
| Executive branch: | cabinet: State Council appointed by the president on the prime minister's recommendation |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a single five-year term; election last held on 19 December 2007 (next to be held in December 2012); prime minister appointed by president with consent of National Assembly |
| Executive branch: | election results: LEE Myung-bak elected president on 19 December 2007; percent of vote - LEE Myung-bak (GNP) 48.7%; CHUNG Dong-young (UNDP) 26.1%); LEE Hoi-chang (independent) 15.1; others 10.1% |
| Legislative branch: | unicameral National Assembly or Kukhoe (299 seats; 245 members elected in single-seat constituencies, 54 elected by proportional representation; members serve four-year terms) |
| Legislative branch: | elections: last held on 9 April 2008 (next to be held in April 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - GNP 172, UDP 83, LFP 20, PPA 8, DLP 5, RKP 1, independents 9 |
| Judicial branch: | Supreme Court (justices appointed by the president with consent of National Assembly); Constitutional Court (justices appointed by the president based partly on nominations by National Assembly and Chief Justice of the court) |
| Political parties and leaders: | Democratic Party or DP [CHUNG Sye-kyun] (formerly the United Democratic Party or UDP); Democratic Labor Party or DLP [KANG Ki-kap]; Grand National Party or GNP [AHN Sang-soo]; Liberty Forward Party or LFP [LEE Hoi-chang]; New Progressive Party or NPP [ROH Hoe-chan]; Pro-Park Alliance or PPA [SUH Choung-won]; Renewal Korea Party or RKP [SONG Yong-o] |
| Political pressure groups and leaders: | Federation of Korean Industries; Federation of Korean Trade Unions; Korean Confederation of Trade Unions; Korean National Council of Churches; Korean Traders Association; Korean Veterans' Association; National Council of Labor Unions; National Democratic Alliance of Korea; National Federation of Farmers' Associations; National Federation of Student Associations |
| International organization participation: | ADB, AfDB (nonregional member), APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, CD, CICA, CP, EAS, EBRD, FAO, FATF, G-20, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAIA (observer), MIGA, MINURSO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), Paris Club (associate), PCA, PIF (partner), SAARC (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNMOGIP, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador HAN Duck-soo |
| Diplomatic representation in the US: | chancery: 2450 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-5600 |
| Diplomatic representation in the US: | FAX: [1] (202) 387-0205 |
| Diplomatic representation in the US: | consulate(s) general: Agana (Guam), Atlanta, Boston, Chicago, Honolulu, Houston, Los Angeles, New York, San Francisco, Seattle |
| Diplomatic representation from the US: | chief of mission: Ambassador Kathleen STEPHENS |
| Diplomatic representation from the US: | embassy: 32 Sejongno, Jongno-gu, Seoul 110-710 |
| Diplomatic representation from the US: | mailing address: US Embassy Seoul, APO AP 96205-5550 |
| Diplomatic representation from the US: | telephone: [82] (2) 397-4114 |
| Diplomatic representation from the US: | FAX: [82] (2) 738-8845 |
| Flag description: | white with a red (top) and blue yin-yang symbol in the center; there is a different black trigram from the ancient I Ching (Book of Changes) in each corner of the white field; the Korean national flag is called Taegukki; white is a traditional Korean color and represents peace and purity; the blue section represents the negative cosmic forces of the yin, while the red symbolizes the opposite positive forces of the yang; each trigram (kwae) denotes one of the four universal elements, which together express the principle of movement and harmony |
| National anthem: | name: "Aegukga" (Patriotic Song) |
| National anthem: | lyrics/music: YUN Ch'i-Ho or AN Ch'ang-Ho/AHN Eaktay |
| National anthem: | note: adopted 1948, well known by 1910; both North Korea and South Korea's anthems share the same name and have a vaguely similar melody but have different lyrics |
