| Government | Hungary |
| --- | --- |
| Country name: | conventional long form: Republic of Hungary |
| Country name: | conventional short form: Hungary |
| Country name: | local short form: Magyarorszag |
| Country name: | local long form: Magyar Koztarsasag |
| Government type: | parliamentary democracy |
| Capital: | Budapest |
| Administrative divisions: | 19 counties (megyek, singular - megye), 20 urban counties* (singular - megyei varos), and 1 capital city** (fovaros); Bacs-Kiskun, Baranya, Bekes, Bekescsaba*, Borsod-Abauj-Zemplen, Budapest**, Csongrad, Debrecen*, Dunaujvaros*, Eger*, Fejer, Gyor*, Gyor-Moson-Sopron, Hajdu-Bihar, Heves, Hodmezovasarhely*, Jasz-Nagykun-Szolnok, Kaposvar*, Kecskemet*, Komarom-Esztergom, Miskolc*, Nagykanizsa*, Nograd, Nyiregyhaza*, Pecs*, Pest, Somogy, Sopron*, Szabolcs-Szatmar-Bereg, Szeged*, Szekesfehervar*, Szolnok*, Szombathely*, Tatabanya*, Tolna, Vas, Veszprem, Veszprem*, Zala, Zalaegerszeg* |
| Independence: | 1001 (unification by King Stephen I) |
| National holiday: | St. Stephen's Day, 20 August |
| Constitution: | 18 August 1949, effective 20 August 1949, revised 19 April 1972; 18 October 1989 revision ensured legal rights for individuals and constitutional checks on the authority of the prime minister and also established the principle of parliamentary oversight; 1997 amendment streamlined the judicial system |
| Legal system: | rule of law based on Western model |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Ferenc MADL (since NA August 2000) |
| Executive branch: | head of government: Prime Minister Peter MEDGYESSY (since 27 May 2002) |
| Executive branch: | cabinet: Council of Ministers elected by the National Assembly on the recommendation of the president |
| Executive branch: | elections: president elected by the National Assembly for a five-year term; election last held 6 June 2000 (next to be held by June 2005); prime minister elected by the National Assembly on the recommendation of the president |
| Executive branch: | note: to be elected, the president must win two-thirds of legislative vote in the first two rounds or a simple majority in the third round |
| Executive branch: | election results: Ferenc MADL elected president; percent of legislative vote - NA% (but by a simple majority in the third round of voting); Peter MEDGYESSY elected prime minister; percent of legislative vote - NA% |
| Legislative branch: | unicameral National Assembly or Orszaggyules (386 seats; members are elected by popular vote under a system of proportional and direct representation to serve four-year terms) |
| Legislative branch: | election results: percent of vote by party (5% or more of the vote required for parliamentary representation in the first round) - FIDESZ/MDF 48.70%, MSZP 46.11%, SZDSZ 4.92%, other 0.27%; seats by party - FIDESZ/MDF 188, MSZP 178, SZDSZ 20 |
| Legislative branch: | elections: last held 7 and 21 April 2002 (next to be held NA April 2006) |
| Judicial branch: | Constitutional Court (judges are elected by the National Assembly for nine-year terms) |
| Political parties and leaders: | Alliance of Free Democrats or SZDSZ [Gabor KUNCZE]; Christian Democratic People's Party or KDNP [Gyorgy GICZY, president]; Hungarian Civic Party or FIDESZ [Zoltan POKORNI]; Hungarian Democratic Forum or MDF [Ibolya DAVID]; Hungarian Democratic People's Party or MDNP [Erzsebet PUSZTAI, chairman]; Hungarian Justice and Life Party or MIEP [Istvan CSURKA, chairman]; Hungarian Socialist Party or MSZP [Laszlo KOVACS, chairman]; Hungarian Workers' Party or MMP [Gyula THURMER, chairman]; Independent Smallholders or FKGP [Jozsef TORGYAN, president] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, Australia Group, BIS, CCC, CE, CEI, CERN, EAPC, EBRD, ECE, EU (applicant), FAO, G- 9, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, PFP, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNIKOM, UNMIBH, UNMIK, UNOMIG, UNU, UPU, WCL, WEU (associate), WFTU, WHO, WIPO, WMO, WToO, WTrO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Andras SIMONYI |
| Diplomatic representation in the US: | chancery: 3910 Shoemaker Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles and New York |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8135 |
| Diplomatic representation in the US: | telephone: [1] (202) 362-6730 |
| Diplomatic representation from the US: | chief of mission: Ambassador Nancy Goodman BRINKER |
| Diplomatic representation from the US: | embassy: Szabadsag ter 12, H-1054 Budapest |
| Diplomatic representation from the US: | mailing address: pouch: American Embassy Budapest, 5270 Budapest Place, Department of State, Washington, DC 20521-5270 |
| Diplomatic representation from the US: | telephone: [36] (1) 475-4400 |
| Diplomatic representation from the US: | FAX: [36] (1) 475-4764 |
| Flag description: | three equal horizontal bands of red (top), white, and green |
