| Government | Hungary |
| --- | --- |
| Country name: | conventional long form: Republic of Hungary |
| Country name: | conventional short form: Hungary |
| Country name: | local long form: Magyar Koztarsasag |
| Country name: | local short form: Magyarorszag |
| Government type: | parliamentary democracy |
| Capital: | Budapest |
| Administrative divisions: | 19 counties (megyek, singular - megye), 20 urban counties (singular - megyei varos), and 1 capital city (fovaros) |
| Administrative divisions: | : counties: Bacs-Kiskun, Baranya, Bekes, Borsod-Abauj-Zemplen, Csongrad, Fejer, Gyor-Moson-Sopron, Hajdu-Bihar, Heves, Jasz-Nagykun-Szolnok, Komarom-Esztergom, Nograd, Pest, Somogy, Szabolcs-Szatmar-Bereg, Tolna, Vas, Veszprem, Zala |
| Administrative divisions: | : urban counties: Bekescsaba, Debrecen, Dunaujvaros, Eger, Gyor, Hodmezovasarhely, Kaposvar, Kecskemet, Miskolc, Nagykanizsa, Nyiregyhaza, Pecs, Sopron, Szeged, Szekesfehervar, Szolnok, Szombathely, Tatabanya, Veszprem, Zalaegerszeg |
| Administrative divisions: | : capital city: Budapest |
| Independence: | 1001 (unification by King Stephen I) |
| National holiday: | Saint Stephen's Day, 20 August |
| Constitution: | 18 August 1949, effective 20 August 1949; revised 19 April 1972; 18 October 1989 revision ensured legal rights for individuals and constitutional checks on the authority of the prime minister and also established the principle of parliamentary oversight; 1997 amendment streamlined the judicial system |
| Legal system: | rule of law based on Western model |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Laszlo SOLYOM (since 5 August 2005) |
| Executive branch: | head of government: Prime Minister Ferenc GYURCSANY (since 29 September 2004) |
| Executive branch: | cabinet: Council of Ministers elected by the National Assembly on the recommendation of the president |
| Executive branch: | elections: president elected by the National Assembly for a five-year term; election last held 6-7 June 2005 (next to be held by June 2010); prime minister elected by the National Assembly on the recommendation of the president; election last held 29 September 2004 |
| Executive branch: | election results: Laszlo SOLYOM elected president by a simple majority in the third round of voting, 185 to 182; Ferenc GYURCSANY elected prime minister; result of legislative vote - 197 to 12 |
| Executive branch: | note: to be elected, the president must win two-thirds of legislative vote in the first two rounds or a simple majority in the third round |
| Legislative branch: | unicameral National Assembly or Orszaggyules (386 seats; members are elected by popular vote under a system of proportional and direct representation to serve four-year terms) |
| Legislative branch: | elections: last held 7 and 21 April 2002 (next to be held NA April 2006) |
| Legislative branch: | election results: percent of vote by party (5% or more of the vote required for parliamentary representation in the first round) - Fidesz/MDF 48.70%, MSzP 46.11%, SzDSz 4.92%, other 0.27%; seats by party - Fidesz 164, MSzP 178, MDF 24, SzDSz 20 |
| Judicial branch: | Constitutional Court (judges are elected by the National Assembly for nine-year terms) |
| Political parties and leaders: | Alliance of Free Democrats or SzDSz [Gabor KUNCZE]; Hungarian Civic Alliance or Fidesz [Viktor ORBAN, chairman]; Hungarian Democratic Forum or MDF [Ibolya DAVID]; Hungarian Democratic People's Party or MDNP [Erzsebet PUSZTAI, chairman]; Hungarian Socialist Party or MSzP [Istvan HILLER, chairman]; Hungarian Workers' Party or MMP [Gyula THURMER, chairman] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Australia Group, BIS, CE, CEI, CERN, EAPC, EBRD, EIB, ESA (cooperating state), EU (new member), FAO, G- 9, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNMIK, UNOMIG, UPU, WCL, WCO, WEU (member affiliate), WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Andras SIMONYI |
| Diplomatic representation in the US: | chancery: 3910 Shoemaker Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 362-6730 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-8135 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador George Herbert WALKER |
| Diplomatic representation from the US: | embassy: Szabadsag ter 12, H-1054 Budapest |
| Diplomatic representation from the US: | mailing address: pouch: American Embassy Budapest, 5270 Budapest Place, Department of State, Washington, DC 20521-5270 |
| Diplomatic representation from the US: | telephone: [36] (1) 475-4400 |
| Diplomatic representation from the US: | FAX: [36] (1) 475-4764 |
| Flag description: | three equal horizontal bands of red (top), white, and green |
