| Government | Botswana |
| --- | --- |
| Country name: | conventional long form: Republic of Botswana |
| Country name: | conventional short form: Botswana |
| Country name: | local long form: Republic of Botswana |
| Country name: | local short form: Botswana |
| Country name: | former: Bechuanaland |
| Government type: | parliamentary republic |
| Capital: | name: Gaborone |
| Capital: | geographic coordinates: 24 45 S, 25 55 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 districts and 5 town councils*; Central, Francistown*, Gaborone*, Ghanzi, Jwaneng*, Kgalagadi, Kgatleng, Kweneng, Lobatse*, Northeast, Northwest, Selebi-Pikwe*, Southeast, Southern |
| Independence: | 30 September 1966 (from UK) |
| National holiday: | Independence Day (Botswana Day), 30 September (1966) |
| Constitution: | March 1965, effective 30 September 1966 |
| Legal system: | based on Roman-Dutch law and local customary law; judicial review limited to matters of interpretation; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Festus G. MOGAE (since 1 April 1998); Vice President Seretse Ian KHAMA (since 13 July 1998); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Festus G. MOGAE (since 1 April 1998); Vice President Seretse Ian KHAMA (since 13 July 1998) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president indirectly elected for a five-year term (eligible for a second term); election last held 20 October 2004 (next to be held in 2009); vice president appointed by the president |
| Executive branch: | election results: Festus G. MOGAE elected president; percent of National Assembly vote - 52% |
| Legislative branch: | bicameral Parliament consists of the House of Chiefs (a largely advisory 15-member body with 8 permanent members consisting of the chiefs of the principal tribes, and 7 non-permanent members serving 5-year terms, consisting of 4 elected subchiefs and 3 members selected by the other 12 members) and the National Assembly (63 seats, 57 members are directly elected by popular vote, 4 are appointed by the majority party, and 2, the President and Attorney-General, serve as ex-officio members; members serve five-year terms) |
| Legislative branch: | elections: National Assembly elections last held 30 October 2004 (next to be held in October 2009) |
| Legislative branch: | election results: percent of vote by party - BDP 51.7%, BNF 26.1%, BCP 16.6%, other 5%; seats by party - BDP 44, BNF 12, BCP 1 |
| Judicial branch: | High Court; Court of Appeal; Magistrates' Courts (one in each district) |
| Political parties and leaders: | Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO]; Botswana Congress Party or BCP [Otlaadisa KOOSALETSE]; Botswana Democratic Party or BDP [Festus G. MOGAE]; Botswana National Front or BNF [Otswoletse MOUPO]; Botswana Peoples Party or BPP; MELS Movement of Botswana or MELS; New Democratic Front or NDF |
| Political parties and leaders: | note: a number of minor parties joined forces in 1999 to form the BAM but did not capture any parliamentary seats - includes the United Action Party [Ephraim Lepetu SETSHWAELO]; the Independence Freedom Party or IFP [Motsamai MPHO]; the Botswana Progressive Union [D. K. KWELE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IPU, ISO, ITSO, ITU, MIGA, NAM, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UNMIS, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Lapologang Caesar LEKOA |
| Diplomatic representation in the US: | chancery: 1531-1533 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-4990 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-4164 |
| Diplomatic representation from the US: | chief of mission: Ambassador Katherine H. CANAVAN |
| Diplomatic representation from the US: | embassy: address NA, Gaborone |
| Diplomatic representation from the US: | mailing address: Embassy Enclave, P. O. Box 90, Gaborone |
| Diplomatic representation from the US: | telephone: [267] 353982 |
| Diplomatic representation from the US: | FAX: [267] 312782 |
| Flag description: | light blue with a horizontal white-edged black stripe in the center |
