| Government | Botswana |
| --- | --- |
| Country name: | conventional long form: Republic of Botswana |
| Country name: | conventional short form: Botswana |
| Country name: | local long form: Republic of Botswana |
| Country name: | local short form: Botswana |
| Country name: | former: Bechuanaland |
| Country name: | etymology: the name Botswana means "Land of the Tswana" - referring to the country's major ethnic group |
| Government type: | parliamentary republic |
| Capital: | name: Gaborone |
| Capital: | geographic coordinates: 24 38 S, 25 54 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: named after GABORONE (ca. 1825-1931), a revered kgosi (chief) of the Tlokwa tribe, part of the larger Tswana ethnic group |
| Administrative divisions: | 10 districts and 6 town councils*; Central, Chobe, Francistown*, Gaborone*, Ghanzi, Jwaneng*, Kgalagadi, Kgatleng, Kweneng, Lobatse*, North East, North West, Selebi-Phikwe*, South East, Southern, Sowa Town* |
| Independence: | 30 September 1966 (from the UK) |
| National holiday: | Independence Day (Botswana Day), 30 September (1966) |
| Constitution: | history: previous 1960 (preindependence); latest adopted March 1965, effective 30 September 1966 |
| Constitution: | amendments: proposed by the National Assembly; passage requires approval in two successive Assembly votes with at least two-thirds majority in the final vote; proposals to amend constitutional provisions on fundamental rights and freedoms, the structure and branches of government, and public services also requires approval by majority vote in a referendum and assent by the president of the republic; amended several times, last in 2006 |
| Legal system: | mixed legal system of civil law influenced by the Roman-Dutch model and also customary and common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Botswana |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mokgweetse Eric MASISI (since 1 April 2018); Vice President Slumber TSOGWANE (since 4 April 2018); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Mokgweetse Eric MASISI (since 1 April 2018); Vice President Slumber TSOGWANE (since 4 April 2018); note - the president is both chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly for a 5-year term (eligible for a second term); election last held on 24 October 2014 (next to be held on 31 October 2019); vice president appointed by the president |
| Executive branch: | election results: President Seretse Khama Ian KHAMA (since 1 April 2008) stepped down on 1 April 2018 having completed the constitutionally mandated 10-year term limit; upon his retirement, then Vice President MASISI became president; national elections held on 23 October 2019 gave MASISI'S BPD 38 seats in the National Assembly which then selected MASISI as President |
| Legislative branch: | description: unicameral Parliament consists of the National Assembly (63 seats; 57 members directly elected in single-seat constituencies by simple majority vote,Â 4 nominated by the president and indirectly elected by simple majority vote by the rest of the National Assembly, and 2 ex-officio members - the president and attorney general; elected members serve 5-year terms); note - the House of Chiefs (Ntlo ya Dikgosi), an advisory body to the National Assembly, consists of 35 members - 8 hereditary chiefs from Botswana's principal tribes, 22 indirectly elected by the chiefs, and 5 appointed by the president; the House of Chiefs consults on issues including powers of chiefs, customary courts, customary law, tribal property, and constitutional amendments |
| Legislative branch: | elections: last held on 23 October 2019 (next to be held in October 2024) |
| Legislative branch: | election results: percent of vote by party - BDP 52.7%, UDC 35.9%, BPF 4.4%, AP 5.1%, other 1.7%; seats by party - BDP 38, UDC 15, BPF 3, AP 1; composition - NA |
| Judicial branch: | highest courts: Court of Appeal, High Court (each consists of a chief justice and a number of other judges as prescribed by the Parliament) |
