| Government | Botswana |
| --- | --- |
| Country name: | conventional long form: Republic of Botswana |
| Country name: | conventional short form: Botswana |
| Country name: | local long form: Republic of Botswana |
| Country name: | local short form: Botswana |
| Country name: | former: Bechuanaland |
| Government type: | parliamentary republic |
| Capital: | name: Gaborone |
| Capital: | geographic coordinates: 24 38 S, 25 54 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 10 districts and 6 town councils*; Central, Chobe, Francistown*, Gaborone*, Ghanzi, Jwaneng*, Kgalagadi, Kgatleng, Kweneng, Lobatse*, North East, North West, Selebi-Phikwe*, South East, Southern, Sowa Town |
| Independence: | 30 September 1966 (from the UK) |
| National holiday: | Independence Day (Botswana Day), 30 September (1966) |
| Constitution: | previous 1960 (preindependence); latest adopted March 1965, effective 30 September 1966; amended several times, last in 2006 (2006) |
| Legal system: | mixed legal system of civil law influenced by the Roman-Dutch model and also customary and common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Seretse Khama Ian KHAMA (since 1 April 2008); Vice President Ponatshego KEDIKILWE (since 2 August 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Seretse Khama Ian KHAMA (since 1 April 2008); Vice President Ponatshego KEDIKILWE (since 2 August 2012) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president indirectly elected for a five-year term (eligible for a second term); election last held on 20 October 2009 (next to be held in October 2014); vice president appointed by the president |
| Executive branch: | election results: Seretse Khama Ian KHAMA elected president; percent of National Assembly vote - NA |
| Legislative branch: | bicameral Parliament consists of the House of Chiefs (a largely advisory 35-member body with 8 ex-officio members consisting of the chiefs of the principal tribes, and 27 non-permanent members serving five-year terms, of which 22 are indirectly elected with the remaining 5 appointed by the President) and the National Assembly (63 seats; 57 members directly elected by popular vote, 4 appointed by the majority party, and 2, the President and Attorney General, serve as ex-officio members; members serve five-year terms) |
| Legislative branch: | elections: National Assembly elections last held on 16 October 2009 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - BDP 53.3%, BNF 21.9%, BCP 19.2%, BAM 2.3%, other 3.3%; seats by party - BDP 45, BNF 6, BCP 4, BAM 1, other 1 |
| Judicial branch: | highest court(s): Court of Appeal, High Court (each consists of a chief justice and number of other judges as prescribed by the Parliament) |
| Judicial branch: | judge selection and term of office: Court of Appeal and High Court chief justices appointed by the president and other judges appointed by the president upon the advice of the Judicial Service Commission; all judges appointed to serve until age 70 |
| subordinate courts: | Industrial Court (with circuits scheduled monthly in the capital city and in three districts); Magistrates Courts (one in each district); Customary Court of Appeal; Paramount Chief's Court/Urban Customary Court; Senior Chief's Representative Court; Chief's Representative’s Court; Headman's Court |
| Political parties and leaders: | Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO]; Botswana Congress Party or BCP [Dumelang SALESHANDO]; Botswana Democratic Party or BDP [Ian KHAMA]; Botswana Movement for Democracy or BMD [Gomolemo MOTSWALEDI]; Botswana National Front or BNF [Duma BOKO]; Botswana Peoples Party or BPP [Motlatsi MOLAPISI]; MELS Movement of Botswana or MELS [Themba JOINA]; New Democratic Front or NDF [Dick BAYFORD] |
| Political parties and leaders: | note: a number of minor parties joined forces in 1999 to form the BAM but did not capture any parliamentary seats - includes the United Action Party [Ephraim Lepetu SETSHWAELO]; the Independence Freedom Party or IFP [Motsamai MPHO]; the Botswana Progressive Union [D. K. KWELE] |
| Political pressure groups and leaders: | First People of the Kalahari (Bushman organization); Pitso Ya Ba Tswana; Society for the Promotion of Ikalanga Language (Kalanga elites) |
| Political pressure groups and leaders: | other: diamond mining companies |
| International organization participation: | ACP, AfDB, AU, C, CD, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Tebelelo Mazile SERETSE (since 16 February 2011) |
| Diplomatic representation in the US: | chancery: 1531-1533 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-4990 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-4164 |
| Diplomatic representation from the US: | chief of mission: Ambassador Michelle D. GAVIN (since 15 June 2011) |
| Diplomatic representation from the US: | embassy: Embassy Drive, Government Enclave (off Khama Crescent), Gaborone |
| Diplomatic representation from the US: | mailing address: Embassy Enclave, P. O. Box 90, Gaborone |
| Diplomatic representation from the US: | telephone: [267] 395-3982 |
| Diplomatic representation from the US: | FAX: [267] 318-0232 |
| Flag description: | light blue with a horizontal white-edged black stripe in the center; the blue symbolizes water in the form of rain, while the black and white bands represent racial harmony |
| National symbol(s): | zebra |
| National anthem: | name: "Fatshe leno la rona" (Our Land) |
| National anthem: | lyrics/music: Kgalemang Tumedisco MOTSETE |
| National anthem: | note: adopted 1966 |
