| Government | BOTSWANA |
| --- | --- |
| Country name: | conventional long form: Republic of Botswana |
| Country name: | conventional short form: Botswana |
| Country name: | local long form: Republic of Botswana |
| Country name: | local short form: Botswana |
| Country name: | former: Bechuanaland |
| Country name: | etymology: the name Botswana means "Land of the Tswana" - referring to the country's major ethnic group |
| Government type: | parliamentary republic |
| Capital: | name: Gaborone |
| Capital: | geographic coordinates: 24 38 S, 25 54 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 10 districts and 6 town councils*; Central, Chobe, Francistown*, Gaborone*, Ghanzi, Jwaneng*, Kgalagadi, Kgatleng, Kweneng, Lobatse*, North East, North West, Selebi-Phikwe*, South East, Southern, Sowa Town* |
| Independence: | 30 September 1966 (from the UK) |
| National holiday: | Independence Day (Botswana Day), 30 September (1966) |
| Constitution: | previous 1960 (preindependence); latest adopted March 1965, effective 30 September 1966; amended several times, last in 2006 (2016) |
| Legal system: | mixed legal system of civil law influenced by the Roman-Dutch model and also customary and common law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Botswana |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Seretse Khama Ian KHAMA (since 1 April 2008); Vice President Mokgweetsi Eric MASISI (since 12 November 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Seretse Khama Ian KHAMA (since 1 April 2008); Vice President Mokgweetsi Eric MASISI (since 12 November 2014) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president indirectly elected by the National Assembly for a 5-year term (eligible for a second term); election last held on 24 October 2014 (next to be held in October 2019); vice president appointed by the president |
| Executive branch: | election results: Seretse Khama Ian KHAMA elected president; percent of National Assembly vote - NA |
| Legislative branch: | description: unicameral Parliament consists of the National Assembly (63 seats; 57 members directly elected in single-seat constituencies by simple majority vote, 4 nominated by the president and indirectly elected by simple majority vote by the rest of the National Assembly, and 2 ex-officio members - the president and attorney general; elected members serve 5-year terms); note - the House of Chiefs (Ntlo ya Dikgosi), an advisory body to the National Assembly, consists of 35 members - 8 hereditary chiefs from Botswana's principal tribes, 22 indirectly elected by the chiefs, and 5 appointed by the president; the House of Chiefs consults on issues including powers of chiefs, customary courts, customary law, tribal property, and constitutional amendments |
| Legislative branch: | elections: National Assembly elections last held on 24 October 2014 (next to be held in October 2019) |
| Legislative branch: | election results: percent of vote by party - BDP 46.5%, UDC 30.0%, BCP 20.4%, independent 3.1%; seats by party - BDP 37, UDC 17, BCP 3 |
| Judicial branch: | highest court(s): Court of Appeal, High Court (each consists of a chief justice and a number of other judges as prescribed by the Parliament) |
| Judicial branch: | judge selection and term of office: Court of Appeal and High Court chief justices appointed by the president and other judges appointed by the president upon the advice of the Judicial Service Commission; all judges appointed to serve until age 70 |
| Judicial branch: | subordinate courts: Industrial Court (with circuits scheduled monthly in the capital city and in 3 districts); Magistrates Courts (1 in each district); Customary Court of Appeal; Paramount Chief's Court/Urban Customary Court; Senior Chief's Representative Court; Chief's Representative’s Court; Headman's Court |
| Political parties and leaders: | Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO] |
| Political parties and leaders: | Botswana Congress Party or BCP [Dumelang SALESHANDO] |
| Political parties and leaders: | Botswana Democratic Party or BDP [Ian KHAMA] |
