| Government | Botswana |
| --- | --- |
| Country name: | conventional long form: Republic of Botswana |
| Country name: | conventional short form: Botswana |
| Country name: | former: Bechuanaland |
| Government type: | parliamentary republic |
| Capital: | Gaborone |
| Administrative divisions: | 9 districts and four town councils*; Central, Francistown*, Gaborone*, Ghanzi, Kgalagadi, Kgatleng, Kweneng, Lobatse*, Northwest, Northeast, Selebi-Pikwe*, Southeast, Southern |
| Independence: | 30 September 1966 (from UK) |
| National holiday: | Independence Day (Botswana Day), 30 September (1966) |
| Constitution: | March 1965, effective 30 September 1966 |
| Legal system: | based on Roman-Dutch law and local customary law; judicial review limited to matters of interpretation; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Festus MOGAE (since 1 April 1998) and Vice President Seretse Ian KHAMA (since 13 July 1998); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Festus MOGAE (since 1 April 1998) and Vice President Seretse Ian KHAMA (since 13 July 1998); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president elected by the National Assembly for a five-year term; election last held 16 October 1999 (next to be held NA October 2004); vice president appointed by the president |
| Executive branch: | election results: Festus MOGAE elected president; percent of National Assembly vote - 54.3% |
| Legislative branch: | bicameral Parliament consists of the House of Chiefs (a largely advisory 15-member body consisting of the chiefs of the eight principal tribes, four elected subchiefs, and three members selected by the other 12 members) and the National Assembly (44 seats, 40 members are directly elected by popular vote and 4 are appointed by the majority party; members serve five-year terms) |
| Legislative branch: | elections: National Assembly elections last held 16 October 1999 (next to be held NA October 2004) |
| Legislative branch: | election results: percent of vote by party - BDP 54.3%, BNF 24.7%, other 21%; seats by party - BDP 33, BNF 6, other 1 |
| Judicial branch: | High Court; Court of Appeal; Magistrates' Courts (one in each district) |
| Political parties and leaders: | Botswana Democratic Party or BDP [Festus MOGAE]; Botswana National Front or BNF [Otswoletse MOUPO]; Botswana Congress Party or BCP [Mokgweetsi KGOSIPULA]; Botswana Alliance Movement or BAM [Ephraim Lepetu SETSHWAELO] |
| Political parties and leaders: | note: a number of minor parties joined forces in 1999 to form the BAM but did not capture any parliamentary seats; the BAM parties are: the United Action Party [Ephraim Lepetu SETSHWAELO], the Independence Freedom Party or IFP [Motsamai MPHO], and the Botswana Progressive Union [D. K. KWELE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, C, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ISO, ITU, NAM, OAU, OPCW, SACU, SADC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Lapologang Caesar LEKOA |
| Diplomatic representation in the US: | chancery: 1531-1533 New Hampshire Avenue NW, Washington, DC 20036 |
| Diplomatic representation in the US: | FAX: [1] (202) 244-4164 |
| Diplomatic representation in the US: | telephone: [1] (202) 244-4990 |
| Diplomatic representation from the US: | chief of mission: Ambassador Joseph HUGGINS |
| Diplomatic representation from the US: | embassy: address NA, Gaborone |
| Diplomatic representation from the US: | mailing address: Embassy Enclave, P. O. Box 90, Gaborone |
| Diplomatic representation from the US: | telephone: [267] 353982 |
| Diplomatic representation from the US: | FAX: [267] 312782 |
| Flag description: | light blue with a horizontal white-edged black stripe in the center |
