| Government | Bahamas, The |
| --- | --- |
| Country name: | conventional long form: Commonwealth of The Bahamas |
| Country name: | conventional short form: The Bahamas |
| Government type: | constitutional parliamentary democracy |
| Capital: | name: Nassau |
| Capital: | geographic coordinates: 25 05 N, 77 21 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | 21 districts; Acklins and Crooked Islands, Bimini, Cat Island, Exuma, Freeport, Fresh Creek, Governor's Harbour, Green Turtle Cay, Harbour Island, High Rock, Inagua, Kemps Bay, Long Island, Marsh Harbour, Mayaguana, New Providence, Nichollstown and Berry Islands, Ragged Island, Rock Sound, Sandy Point, San Salvador and Rum Cay |
| Independence: | 10 July 1973 (from UK) |
| National holiday: | Independence Day, 10 July (1973) |
| Constitution: | 10 July 1973 |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Arthur D. HANNA (since 1 February 2006) |
| Executive branch: | head of government: Prime Minister Hubert A. INGRAHAM (since 4 May 2007) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the prime minister's recommendation |
| Executive branch: | elections: the monarch is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the governor general; the prime minister recommends the deputy prime minister |
| Legislative branch: | bicameral Parliament consists of the Senate (16 seats; members appointed by the governor general upon the advice of the prime minister and the opposition leader to serve five-year terms) and the House of Assembly (41 seats; members elected by direct popular vote to serve five-year terms); the government may dissolve the Parliament and call elections at any time |
| Legislative branch: | elections: last held 2 May 2007 (next to be held by May 2012) |
| Legislative branch: | election results: percent of vote by party - FNM 49.86%, PLP 47.02%; seats by party - FNM 23, PLP 18 |
| Judicial branch: | Privy Council in London; Courts of Appeal; Supreme (lower) Court; Magistrates' Courts |
| Political parties and leaders: | Free National Movement or FNM [Hubert INGRAHAM]; Progressive Liberal Party or PLP [Perry CHRISTIE] |
| Political pressure groups and leaders: | Friends of the Environment |
| Political pressure groups and leaders: | other: trade unions |
| International organization participation: | ACP, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, ITSO, ITU, LAES, MIGA, NAM, OAS, OPANAL, OPCW (signatory), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Cornelius A. SMITH |
| Diplomatic representation in the US: | chancery: 2220 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 319-2660 |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2668 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ned L. SIEGEL |
| Diplomatic representation from the US: | embassy: 42 Queen Street, Nassau, New Providence |
| Diplomatic representation from the US: | mailing address: local or express mail address: P. O. Box N-8197, Nassau; US Department of State, 3370 Nassau Place, Washington, DC 20521-3370 |
| Diplomatic representation from the US: | telephone: [1] (242) 322-1181, 328-2206 (after hours) |
| Diplomatic representation from the US: | FAX: [1] (242) 328-2206 |
| Flag description: | three equal horizontal bands of aquamarine (top), gold, and aquamarine, with a black equilateral triangle based on the hoist side |
