| Government | Micronesia, Federated States of |
| --- | --- |
| Country name: | conventional long form: Federated States of Micronesia |
| Country name: | conventional short form: none |
| Country name: | abbreviation: FSM |
| Country name: | former: Ponape, Truk, and Yap Districts (Trust Territory of the Pacific Islands) |
| Government type: | constitutional government in free association with the US; the Compact of Free Association entered into force 3 November 1986; economic provisions of the Compact are being renegotiated |
| Capital: | Palikir |
| Administrative divisions: | 4 states; Chuuk (Truk), Kosrae (Kosaie), Pohnpei (Ponape), Yap |
| Independence: | 3 November 1986 (from the US-administered UN Trusteeship) |
| National holiday: | Constitution Day, 10 May (1979) |
| Constitution: | 10 May 1979 |
| Legal system: | based on adapted Trust Territory laws, acts of the legislature, municipal, common, and customary laws |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Leo A. FALCAM (since 21 July 1999); Vice President Redley KILLION (since 21 July 1999); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Leo A. FALCAM (since 21 July 1999); Vice President Redley KILLION (since 21 July 1999); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet |
| Executive branch: | elections: president and vice president elected by Congress from among the four senators-at-large for four-year terms; election last held NA May 1999 (next to be held NA May 2003); note - a proposed constitutional amendment to establish popular elections for president and vice president failed |
| Executive branch: | election results: Leo A. FALCAM elected president; percent of Congress vote - NA%; Redley KILLION elected vice president; percent of Congress vote - NA% |
| Legislative branch: | unicameral Congress (14 seats; members elected by popular vote; four - one elected from each state - to serve four-year terms and 10 - elected from single-member districts delineated by population - to serve two-year terms) |
| Legislative branch: | elections: elections for four-year term seats last held 2 March 1999 (next to be held NA March 2003); elections for two-year term seats last held 6 March 2001 (next to be held NA March 2003) |
| Legislative branch: | election results: percent of vote - NA%; seats - independents 14 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | no formal parties |
| International organization participation: | ACP, AsDB, ESCAP, G-77, IBRD, ICAO, IDA, IFC, IFRCS (associate), IMF, IOC, ITU, OPCW, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, WHO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jesse Bibiano MAREHALAU |
| Diplomatic representation in the US: | telephone: [1] (202) 223-4383 |
| Diplomatic representation in the US: | consulate(s) general: Honolulu and Tamuning (Guam) |
| Diplomatic representation in the US: | FAX: [1] (202) 223-4391 |
| Diplomatic representation in the US: | chancery: 1725 N Street NW, Washington, DC 20036 |
| Diplomatic representation from the US: | chief of mission: Ambassador Larry DINGER |
| Diplomatic representation from the US: | embassy: address NA, Kolonia |
| Diplomatic representation from the US: | mailing address: P. O. Box 1286, Kolonia, Pohnpei, Federated States of Micronesia 96941 |
| Diplomatic representation from the US: | telephone: [691] 320-2187 |
| Diplomatic representation from the US: | FAX: [691] 320-2186 |
| Flag description: | light blue with four white five-pointed stars centered; the stars are arranged in a diamond pattern |
