| Government | Cocos (Keeling) Islands |
| --- | --- |
| Country name: | conventional long form: Territory of Cocos (Keeling) Islands |
| Country name: | conventional short form: Cocos (Keeling) Islands |
| Country name: | etymology: the name refers to the abundant coconut trees on the islands and to English Captain William KEELING, the first European to sight the islands in 1609 |
| Dependency status: | non-self governing territory of Australia; administered from Canberra by the Department of Regional Australia, Local Government, Arts and Sport |
| Government type: | non-self-governing overseas territory of Australia |
| Capital: | name: West Island |
| Capital: | geographic coordinates: 12 10 S, 96 50 E |
| Capital: | time difference: UTC+6.5 (11.5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none (territory of Australia) |
| Independence: | none (territory of Australia) |
| National holiday: | Australia Day (commemorates the arrival of the First Fleet of Australian settlers), 26 January (1788) |
| Constitution: | history: 23 November 1955 (Cocos (Keeling) Islands Act 1955) (2017) |
| Constitution: | amendments: amended many times, last in 2016 (2017) |
| Legal system: | common law based on the Australian model |
| Citizenship: | see Australia |
| Suffrage: | 18 years of age |
| Judicial branch: | under the terms of the Territorial Law Reform Act 1992, Western Australia provides court services as needed for the island including the Supreme Court and subordinate courts (District Court, Magistrate Court, Family Court, Children's Court, and Coroners' Court) |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General of the Commonwealth of Australia General Sir Peter COSGROVE (since 28 March 2014) |
| Executive branch: | head of government: Administrator Natasha GRIGGS (since 5 October 2018) |
| Executive branch: | cabinet: NA |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the Australian prime minister; administrator appointed by the governor general for a 2-year term and represents the monarch and Australia |
| Legislative branch: | description: unicameral Cocos (Keeling) Islands Shire Council (7 seats; members directly elected by simple majority vote to serve 4-year terms with half the membership renewed every 2 years) |
| Legislative branch: | elections: last held in October 2017 (next to be held in October 2019) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA; composition - men 5, women 2, percent of women 28.6% |
| Political parties and leaders: | none |
| International organization participation: | none |
| Diplomatic representation in the US: | none (territory of Australia) |
| Diplomatic representation from the US: | none (territory of Australia) |
| Flag description: | the flag of Australia is used |
| National anthem: | note: as a territory of Australia, "Advance Australia Fair" remains official as the national anthem, while "God Save the Queen" serves as the royal anthem (see Australia) |
