| Government | Tajikistan |
| --- | --- |
| Country name: | conventional long form: Republic of Tajikistan |
| Country name: | conventional short form: Tajikistan |
| Country name: | local long form: Jumhurii Tojikiston |
| Country name: | local short form: Tojikiston |
| Country name: | former: Tajik Soviet Socialist Republic |
| Government type: | republic |
| Capital: | Dushanbe |
| Administrative divisions: | 2 provinces (viloyatho, singular - viloyat) and 1 autonomous province* (viloyati mukhtor); Viloyati Mukhtori Kuhistoni Badakhshon* [Gorno-Badakhshan] (Khorugh), Viloyati Khatlon (Qurghonteppa), Viloyati Sughd (Khujand) |
| Administrative divisions: | note: the administrative center name follows in parentheses |
| Independence: | 9 September 1991 (from Soviet Union) |
| National holiday: | Independence Day (or National Day), 9 September (1991) |
| Constitution: | 6 November 1994 |
| Legal system: | based on civil law system; no judicial review of legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Emomali RAHMONOV (since 6 November 1994; head of state and Supreme Assembly chairman since 19 November 1992) |
| Executive branch: | head of government: Prime Minister Oqil OQILOV (since 20 January 1999) |
| Executive branch: | cabinet: Council of Ministers appointed by the president, approved by the Supreme Assembly |
| Executive branch: | elections: president elected by popular vote for a seven-year term; election last held 6 November 1999 (next to be held NA 2006); prime minister appointed by the president; Tajikistan held a constitutional referendum on 22 June 2003 that, among other things, set a limit of two seven-year terms for the president |
| Executive branch: | election results: Emomali RAHMONOV elected president; percent of vote - Emomali RAHMONOV 97%, Davlat USMON 2% |
| Legislative branch: | bicameral Supreme Assembly or Majlisi Oli consists of the Assembly of Representatives (lower chamber) or Majlisi Namoyandagon (63 seats; members are elected by popular vote to serve five-year terms) and the National Assembly (upper chamber) or Majlisi Milliy (33 seats; members are indirectly elected, 25 selected by local deputies, 8 appointed by the president; all serve five-year terms) |
| Legislative branch: | elections: last held 27 February and 13 March 2000 for the Assembly of Representatives (next to be held NA 2010) and 23 March 2000 for the National Assembly (next to be held NA 2005) |
| Legislative branch: | election results: Assembly of Representatives - percent of vote by party - PDPT 74%, CPT 13%, Islamic Revival Party 8%, other 5%; seats by party - PDPT 49, CPT 4, Islamic Revival Party 2, independents 5, vacant 3; National Assembly - percent of vote by party - NA%; seats by party - NA |
| Judicial branch: | Supreme Court (judges are appointed by the president) |
| Political parties and leaders: | Democratic Party or DPT [Mahmadruzi ISKANDAROV]; Islamic Revival Party [Said Abdullo NURI]; People's Democratic Party of Tajikistan or PDPT [Emomali RAHMONOV]; Social Democratic Party or SDPT [Rahmatullo ZOIROV]; Socialist Party or SPT [Mirhuseyn NAZRIYEV]; Tajik Communist Party or CPT [Shodi SHABDOLOV] |
| Political pressure groups and leaders: | there are three unregistered political parties: Agrarian Party or APT [Hikmatullo NASRIDDINOV]; Progressive Party [Sulton QUVVATOV]; Unity Party [Hikmatullo SAIDOV] |
| International organization participation: | AsDB, CIS, EAPC, EBRD, ECO, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO (subscriber), ITU, MIGA, OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Hamrohon ZARIPOV |
| Diplomatic representation in the US: | chancery: 1725 K Street NW, Suite 409, Washington, DC 20006 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-6090 |
| Diplomatic representation in the US: | FAX: [1] (202) 223-6091 |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard E. HOAGLAND |
| Diplomatic representation from the US: | embassy: 10 Pavlova Street, Dushanbe, Tajikistan 734003; note - the embassy in Dushanbe is not yet fully operational; most business is still handled in Almaty at: 531 Sayfullin Street, Almaty, Kazakhstan, telephone 7-3272-58-79-61, FAX 7-3272-58-79-68 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [992] (372) 21-03-48, 21-03-52, 24-15-60 |
| Diplomatic representation from the US: | FAX: [992] (372) 21-03-62, 51-00-28 |
| Flag description: | three horizontal stripes of red (top), a wider stripe of white, and green; a gold crown surmounted by seven gold, five-pointed stars is located in the center of the white stripe |
