| Government | Tajikistan |
| --- | --- |
| Country name: | conventional long form: Republic of Tajikistan |
| Country name: | conventional short form: Tajikistan |
| Country name: | local long form: Jumhurii Tojikiston |
| Country name: | local short form: Tojikiston |
| Country name: | former: Tajik Soviet Socialist Republic |
| Country name: | etymology: the Persian suffix "-stan" means "place of" or "country," so the word Tajikistan literally means "Land of the Tajik [people]" |
| Government type: | presidential republic |
| Capital: | name: Dushanbe |
| Capital: | geographic coordinates: 38 33 N, 68 46 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 2 provinces (viloyatho, singular - viloyat), 1 autonomous province* (viloyati mukhtor), 1 capital region** (viloyati poytakht), and 1 area referred to as Districts Under Republic Administration***; Dushanbe**, Khatlon (Qurghonteppa), Kuhistoni Badakhshon [Gorno-Badakhshan]* (Khorugh), Nohiyahoi Tobei Jumhuri***, Sughd (Khujand) |
| Administrative divisions: | note: the administrative center name follows in parentheses |
| Independence: | 9 September 1991 (from the Soviet Union) |
| National holiday: | Independence Day (or National Day), 9 September (1991) |
| Constitution: | history: several previous; latest adopted 6 November 1994 (2017) |
| Constitution: | amendments: proposed by the president of the republic or by at least one-third of the total membership of both houses of the Supreme Assembly; adoption of any amendment requires a referendum, which includes approval by the president or approval by at least two-thirds of the Assembly of Representatives membership; passage in a referendum requires participation of an absolute majority of eligible voters and an absolute majority of votes; note â€“ constitutional articles including Tajikistanâ€™s form of government, its territory, and its democratic nature cannot be amended; amended several times, last in 2016 (2017) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Tajikistan |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years or 3 years of continuous residence prior to application |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court (consists of the chairman, deputy chairmen, and 34 judges organized into civil, criminal, and military chambers); Constitutional Court (consists of the court chairman, vice president, and 5 judges); High Economic Court (consists of 16 judicial positions) |
| Judicial branch: | judge selection and term of office: Supreme Court, Constitutional Court, and High Economic Court judges nominated by the president and approved by the National Assembly; judges of all 3 courts appointed for 10-year renewable terms with no term limits, but the last appointment must occur before the age of 65 |
| Judicial branch: | subordinate courts: regional and district courts; Dushanbe City Court; viloyat (province level) courts; Court of Gorno-Badakhshan Autonomous Region |
| Executive branch: | chief of state: President Emomali RAHMON (since 6 November 1994; head of state and Supreme Assembly chairman since 19 November 1992) |
| Executive branch: | head of government: Prime Minister Qohir RASULZODA (since 23 November 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the president, approved by the Supreme Assembly |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 7-year term for a maximum of two terms; however, as the "Leader of the Nation" President RAHMON can run an unlimited number of times; election last held on 6 November 2013 (next to be held in November 2020); prime minister appointed by the president |
| Executive branch: | election results: Emomali RAHMON reelected president; percent of vote - Emomali RAHMON (PDPT) 83.9%, Ismoil TALBAKOV (CPT) 5%, other 11.1% |
| Legislative branch: | description: bicameral Supreme Assembly or Majlisi Oli consists of: |
| Legislative branch: | National Assembly or Majlisi Milli (34 seats; 25 members indirectly elected by local representative assemblies or majlisi, 8 appointed by the president, and 1 reserved for each living former president; members serve 5-year terms) |
| Legislative branch: | Assembly of Representatives or Majlisi Namoyandagon (63 seats; 41 members directly elected in single-seat constituencies by 2-round absolute majority vote and 22 directly elected in a single nationwide constituency by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | National Assembly - last held on 1 March 2015 (next to be held in 2020) |
| Legislative branch: | Assembly of Representatives - last held on 1 March 2015 (next to be held in 2020) |
| Legislative branch: | election results: |
| Legislative branch: | National Assembly - percent of vote by party - NA; seats by party - NA; composition - men 32, women 2, percent of women 5.9% |
| Legislative branch: | Assembly of Representatives - percent of vote by party - PDPT 65.4%, APT 11.7%, PERT 7.5%, SPT 5.5%, CPT 2.2%, DPT 1.7%, other 6%; seats by party - PDPT 51, APT 5, PERT 3, CPT 2, SPT 1, DPT 1; composition - men 51, women 12, percent of women19%; note - total Supreme Assembly percent of women 14.4% |
| Political parties and leaders: | Agrarian Party of Tajikistan or APT [Rustam LATIFZODA] |
| Political parties and leaders: | Communist Party of Tajikistan or CPT [Miroj ABDULLOYEV] |
| Political parties and leaders: | Democratic Party of Tajikistan or DPT [Saidjafar USMONZODA] |
| Political parties and leaders: | Party of Economic Reform of Tajikistan or PERT [Olimjon BOBOEV] |
| Political parties and leaders: | People's Democratic Party of Tajikistan or PDPT [Emomali RAHMON] |
| Political parties and leaders: | Social Democratic Party of Tajikistan or SDPT [Rahmatullo ZOIROV] |
| Political parties and leaders: | Socialist Party of Tajikistan or SPT [Abduhalim GHAFFOROV] |
| International organization participation: | ADB, CICA, CIS, CSTO, EAEC, EAPC, EBRD, ECO, EITI (candidate country), FAO, G-77, GCTU, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Farhod SALIM (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 1005 New Hampshire Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-6090 |
| Diplomatic representation in the US: | FAX: [1] (202) 223-6091 |
