| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Tajikistan |
| Country name: | conventional short form: Tajikistan |
| Country name: | local long form: Jumhurii Tojikiston |
| Country name: | local short form: none |
| Country name: | former: Tajik Soviet Socialist Republic |
| Government type: | republic |
| Capital: | Dushanbe |
| Administrative divisions: | 2 oblasts (viloyatho, singular - viloyat) and one autonomous oblast* (viloyati mukhtori); Viloyati Mukhtori Kuhistoni Badakhshon* (Khorugh - formerly Khorog), Viloyati Khatlon (Qurghonteppa - formerly Kurgan-Tyube), Viloyati Leninobod (Khujand - formerly Leninabad) |
| Administrative divisions: | note: the administrative center name follows in parentheses |
| Independence: | 9 September 1991 (from Soviet Union) |
| National holiday: | Independence Day, 9 September (1991) |
| Constitution: | 6 November 1994 |
| Legal system: | based on civil law system; no judicial review of legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Emomali RAHMONOV (since 6 November 1994; head of state and Supreme Assembly chairman since 19 November 1992) |
| Executive branch: | head of government: Prime Minister Oqil OQILOV (since 20 January 1999) |
| Executive branch: | cabinet: Council of Ministers appointed by the president, approved by the Supreme Assembly |
| Executive branch: | elections: president elected by popular vote for a seven-year term; election last held 6 November 1999 (next to be held NA 2006); prime minister appointed by the president |
| Executive branch: | election results: Emomali RAHMONOV elected president; percent of vote - Emomali RAHMONOV 97%, Davlat USMON 2% |
| Legislative branch: | bicameral Supreme Assembly or Majlisi Oli consists of the Assembly of Representatives (lower chamber) or Majlisi Namoyandagon (63 seats; members are elected by popular vote to serve five-year terms) and National Assembly (upper chamber) or Majlisi Milliy (33 seats; members are indirectly elected, 25 selected by local deputies, 8 appointed by the president; all to serve five-year terms) |
| Legislative branch: | elections: last held 27 February and 12 March 2000 for the Assembly of Representatives (next to be held NA 2005) and 23 March 2000 for the National Assembly (next to be held NA 2005) |
| Legislative branch: | election results: Assembly of Representatives - percent of vote by party - PDPT 65%, Communist Party 20%, Islamic Rebirth Party 7.5%, other 7.5%; seats by party - NA; National Assembly - percent of vote by party - NA%; seats by party - NA |
| Judicial branch: | Supreme Court (judges are appointed by the president) |
| Political parties and leaders: | Congress of People's Unity of Tajikistan [Saiffidin TURAYEV]; Democratic Party or TDP [Mahmadruzi ISKANDAROV, chairman]; Islamic Rebirth Party [Muhammadsharif HIMMAT-ZODA, chairman]; Lali Badakhshan Movement [Atobek AMIRBEKOV]; National Movement Party [Hakim MUHHABATOV]; Party of Justice and Development [Rahmatullo ZOIROV]; People's Democratic Party of Tajikistan or PDPT [Emomali RAHMONOV]; Rastokhez (Rebirth) Movement [Tohiri ABDUJABBOR]; Socialist Party [Sherali KENJAEV]; Tajik Communist Party or CPT [Shodi SHABDOLOV]; Adolatho "Justice" Party [Abdurahmon KARIMOV, chairman] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AsDB, CCC, CIS, EAPC, EBRD, ECE, ECO, ESCAP, FAO, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Intelsat, IOC, IOM, ITU, OIC, OPCW, OSCE, UN, UNCTAD, UNESCO, UNIDO, UPU, WFTU, WHO, WIPO, WMO, WTrO (observer) |
| Diplomatic representation in the US: Tajikistan does not have an embassy in the US, but does have a permanent mission to the UN: | address - 136 East 67th Street, New York, NY 10021, telephone - [1] (212) 472-7645, FAX - [1] (212) 628-0252; permanent representative to the UN is Rashid ALIMOV |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert P. J. FINN |
| Diplomatic representation from the US: | embassy: temporarily collocated with the US Embassy in Almaty (Kazakhstan) |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: NA |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three horizontal stripes of red (top), a wider stripe of white, and green; a gold crown surmounted by seven gold, five-pointed stars is located in the center of the white stripe |
