| Government | Indonesia |
| --- | --- |
| Country name: | conventional long form: Republic of Indonesia |
| Country name: | conventional short form: Indonesia |
| Country name: | local long form: Republik Indonesia |
| Country name: | local short form: Indonesia |
| Country name: | former: Netherlands East Indies, Dutch East Indies |
| Government type: | republic |
| Capital: | name: Jakarta |
| Capital: | geographic coordinates: 6 10 S, 106 49 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Indonesia is divided into three time zones |
| Administrative divisions: | 30 provinces (provinsi-provinsi, singular - provinsi), 2 special regions* (daerah-daerah istimewa, singular - daerah istimewa), and 1 special capital city district** (daerah khusus ibukota); Aceh*, Bali, Banten, Bengkulu, Gorontalo, Jakarta Raya**, Jambi, Jawa Barat (West Java), Jawa Tengah (Central Java), Jawa Timur (East Java), Kalimantan Barat (West Kalimantan), Kalimantan Selatan (South Kalimantan), Kalimantan Tengah (Central Kalimantan), Kalimantan Timur (East Kalimantan), Kepulauan Bangka Belitung (Bangka Belitung Islands), Kepulauan Riau (Riau Islands), Lampung, Maluku, Maluku Utara (North Maluku), Nusa Tenggara Barat (West Nusa Tenggara), Nusa Tenggara Timur (East Nusa Tenggara), Papua, Papua Barat (West Papua), Riau, Sulawesi Barat (West Sulawesi), Sulawesi Selatan (South Sulawesi), Sulawesi Tengah (Central Sulawesi), Sulawesi Tenggara (Southeast Sulawesi), Sulawesi Utara (North Sulawesi), Sumatera Barat (West Sumatra), Sumatera Selatan (South Sumatra), Sumatera Utara (North Sumatra), Yogyakarta* |
| Administrative divisions: | note: following the implementation of decentralization beginning on 1 January 2001, regencies and municipalities have become the key administrative units responsible for providing most government services |
| Independence: | 17 August 1945 (declared); 27 December 1949 (recognized by the Netherlands); note - in August 2005 the Netherlands announced that it had recognized de facto Indonesian independence on 17 August 1945 |
| National holiday: | Independence Day, 17 August (1945) |
| Constitution: | August 1945; abrogated by Federal Constitution of 1949 and Provisional Constitution of 1950, restored 5 July 1959; series of amendments concluded in 2002 |
| Legal system: | civil law system based on the Roman-Dutch model and influenced by customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 17 years of age; universal and married persons regardless of age |
| Executive branch: | chief of state: President Susilo Bambang YUDHOYONO (since 20 October 2004); Vice President BOEDIONO (since 20 October 2009); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Susilo Bambang YUDHOYONO (since 20 October 2004); Vice President BOEDIONO (since 20 October 2009) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected for five-year terms (eligible for a second term) by direct vote of the citizenry; election last held on 8 July 2009 (next to be held in 2014) |
| Executive branch: | election results: Susilo Bambang YUDHOYONO elected president; percent of vote - Susilo Bambang YUDHOYONO 60.8%, MEGAWATI Sukarnoputri 26.8%, Jusuf KALLA 12.4% |
| Legislative branch: | People's Consultative Assembly (Majelis Permusyawaratan Rakyat or MPR) is the upper house; it consists of members of the DPR and DPD and has role in inaugurating and impeaching the president and in amending the constitution but does not formulate national policy; House of Representatives or Dewan Perwakilan Rakyat (DPR) (560 seats, members elected to serve five-year terms), formulates and passes legislation at the national level; House of Regional Representatives (Dewan Perwakilan Daerah or DPD), constitutionally mandated role includes providing legislative input to DPR on issues affecting regions (132 members, four from each of Indonesia's 30 provinces, two special regions, and one special capital city district) |
| Legislative branch: | elections: last held on 9 April 2009 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - PD 20.9%, GOLKAR 14.5%, PDI-P 14.0%, PKS 7.9%, PAN 6.0%, PPP 5.3%, PKB 4.9%, GERINDRA 4.5%, HANURA 3.8%, others 18.2%; seats by party - PD 148, GOLKAR 107, PDI-P 94, PKS 57, PAN 46, PPP 37, PKB 28, GERINDRA 26, HANURA 17 |
| Legislative branch: | note: 29 other parties received less than 2.5% of the vote so did not obtain any seats; because of election rules, the number of seats won does not always follow the percentage of votes received by parties |
