| Government | Iraq |
| --- | --- |
| Country name: | conventional long form: Republic of Iraq |
| Country name: | conventional short form: Iraq |
| Country name: | local long form: Al Jumhuriyah al-Iraqiyah |
| Country name: | local short form: Al Iraq |
| Government type: | parliamentary democracy |
| Capital: | name: Baghdad |
| Capital: | geographic coordinates: 33 20 N, 44 23 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins 1 April; ends 1 October |
| Administrative divisions: | 18 governorates (muhafazat, singular - muhafazah) and 1 region*; Al Anbar, Al Basrah, Al Muthanna, Al Qadisiyah, An Najaf, Arbil, As Sulaymaniyah, At Ta'mim, Babil, Baghdad, Dahuk, Dhi Qar, Diyala, Karbala', Kurdistan Regional Government*, Maysan, Ninawa, Salah ad Din, Wasit |
| Independence: | 3 October 1932 (from League of Nations mandate under British administration); note - on 28 June 2004 the Coalition Provisional Authority transferred sovereignty to the Iraqi-controlled Government |
| National holiday: | Revolution Day, 17 July (1968); note - this holiday was celebrated under the SADDAM Husayn regime; the Government of Iraq has yet to declare a new national holiday |
| Constitution: | ratified on 15 October 2005 (subject to review by the Constitutional Review Committee and a possible public referendum ) |
| Legal system: | based on European civil and Islamic law under the framework outlined in the Iraqi Constitution; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jalal TALABANI (since 6 April 2005); Vice Presidents Adil ABD AL-MAHDI and Tariq al-HASHIMI (since 22 April 2006); note - the president and vice presidents comprise the Presidency Council) |
| Executive branch: | head of government: Prime Minister Nuri al-MALIKI (since 20 May 2006); Deputy Prime Ministers Barham SALIH (since 20 May 2006)and Rafi al-ISSAWI (since 19 July 2008) |
| Executive branch: | cabinet: 34 ministers appointed by the Presidency Council, plus Prime Minister Nuri al-MALIKI and Deputy Prime Ministers Barham SALIH and Rafi al-ISSAWI |
| Executive branch: | elections: held 15 December 2005 to elect a 275-member Council of Representatives |
| Legislative branch: | Council of Representatives (consisting of 275 members elected by a closed-list, proportional representation system) |
| Legislative branch: | elections: last held 15 December 2005 to elect a 275-member Council of Representatives (next to be held January 2009); the Council of Representatives elected the Presidency Council and approved the prime minister and two deputy prime ministers |
| Legislative branch: | election results: Council of Representatives - percent of vote by party - Unified Iraqi Alliance 41%, Kurdistan Alliance 22%, Tawafuq Coalition 15%, Iraqi National List 8%, Iraqi Front for National Dialogue 4%, other 10%; number of seats by party (as of November 2007) - Unified Iraqi Alliance (including the Sadrist bloc with 30 and Fadilah with 15) 130, Kurdistan Alliance 53, Tawafuq Front 44, Iraqi National List 25, Fadilah 15, Iraqi Front for National Dialogue 11, other 12 |
