| Government | IRAQ |
| Diplomatic representation in the US: | chief of mission: Ambassador Farid YASIN (since 18 January 2017) |
| Diplomatic representation in the US: | chancery: 3421 Massachusetts Avenue, NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 742-1600 |
| Diplomatic representation in the US: | FAX: [1] (202) 333-1129 |
| Diplomatic representation in the US: | consulate(s) general: Detroit, Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Douglas A. SILLIMAN (since 1 September 2016) |
| Diplomatic representation from the US: | embassy: Al-Kindi Street, International Zone, Baghdad |
| Diplomatic representation from the US: | mailing address: APO AE 09316 |
| Diplomatic representation from the US: | telephone: 0760-030-3000 |
| Diplomatic representation from the US: | FAX: NA |
| Flag description: | three equal horizontal bands of red (top), white, and black; the Takbir (Arabic expression meaning "God is great") in green Arabic script is centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white); the Council of Representatives approved this flag in 2008 as a compromise temporary replacement for the Ba'thist SADDAM-era flag |
| Flag description: | note: similar to the flag of Syria, which has two stars but no script; Yemen, which has a plain white band; and that of Egypt, which has a golden Eagle of Saladin centered in the white band |
| National symbol(s): | golden eagle; national colors: red, white, black |
| National anthem: | name: "Mawtini" (My Homeland) |
| National anthem: | lyrics/music: Ibrahim TOUQAN/Mohammad FLAYFEL |
| National anthem: | note: adopted 2004; following the ouster of SADDAM Husayn, Iraq adopted "Mawtini," a popular folk song throughout the Arab world; also serves as an unofficial anthem of the Palestinian people |
