| Government | Iraq |
| --- | --- |
| Country name: | conventional long form: Republic of Iraq |
| Country name: | conventional short form: Iraq |
| Country name: | local long form: Jumhuriyat al-Iraq/Komar-i Eraq |
| Country name: | local short form: Al Iraq/Eraq |
| Government type: | parliamentary democracy |
| Capital: | name: Baghdad |
| Capital: | geographic coordinates: 33 20 N, 44 24 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 18 governorates (muhafazat, singular - muhafazah (Arabic); parezgakan, singular - parezga (Kurdish)) and 1 region*; Al Anbar; Al Basrah; Al Muthanna; Al Qadisiyah (Ad Diwaniyah); An Najaf; Arbil (Erbil) (Arabic), Hewler (Kurdish); As Sulaymaniyah (Arabic), Slemani (Kurdish); Babil; Baghdad; Dahuk (Arabic), Dihok (Kurdish); Dhi Qar; Diyala; Karbala'; Kirkuk; Kurdistan Regional Government*; Maysan; Ninawa; Salah ad Din; Wasit |
| Independence: | 3 October 1932 (from League of Nations mandate under British administration); note - on 28 June 2004 the Coalition Provisional Authority transferred sovereignty to the Iraqi Interim Government |
| National holiday: | Republic Day, July 14 (1958); note - the Government of Iraq has yet to declare an official national holiday but still observes Republic Day |
| Constitution: | ratified 15 October 2005 (subject to review by the Constitutional Review Committee and a possible public referendum) |
| Legal system: | mixed legal system of civil and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jalal TALABANI (since 6 April 2005); Vice Presidents Tariq al-HASHIMI and Khudayr Musa Jafar Abbas al-KHUZAI |
| Executive branch: | head of government: Prime Minister Nuri al-MALIKI (since 20 May 2006) |
| Executive branch: | cabinet: The Council of Ministers consists of the prime minister and cabinet ministers he proposes; approved by an absolute majority vote by the Council of Representatives |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by Council of Representatives (parliament) to serve a four-year term (eligible for a second term); election last held on 11 November 2010 (next to be held in 2014) |
| Executive branch: | election results: President Jalal TALABANI reelected on 11 November 2010; parliamentary vote count on second ballot - 195 votes; Nuri al-MALIKI reselected prime minister |
| Legislative branch: | unicameral Council of Representatives (325 seats consisting of 317 members elected by an optional open-list and representing a specific governorate, proportional representation system and 8 seats reserved for minorities; members serve four-year terms); note - Iraq's Constitution calls for the establishment of an upper house, the Federation Council |
| Legislative branch: | elections: last held on 7 March 2010 for an enlarged 325-seat parliament (next to be held in 2014) |
