| Government | Iraq |
| --- | --- |
| Country name: | conventional long form: Republic of Iraq |
| Country name: | conventional short form: Iraq |
| Country name: | local long form: Jumhuriyat al-Iraq/Komar-i Eraq |
| Country name: | local short form: Al Iraq/Eraq |
| Country name: | former: Mesopotamia, Mandatory Iraq, Hashemite Kingdom of Iraq |
| Country name: | etymology: the name probably derives from "Uruk" (Biblical "Erech"), the ancient Sumerian and Babylonian city on the Euphrates River |
| Government type: | federal parliamentary republic |
| Capital: | name: Baghdad |
| Capital: | geographic coordinates: 33 20 N, 44 24 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | although the origin of the name is disputed, it likely has compound Persian roots with "bagh" and "dad" meaning "god" and "given" respectively to create the meaning of "bestowed by God" |
| Administrative divisions: | 18 governorates (muhafazat, singular - muhafazah (Arabic); parezgakan, singular - parezga (Kurdish)) and 1 region*; Al Anbar; Al Basrah; Al Muthanna; Al Qadisiyah (Ad Diwaniyah); An Najaf; Arbil (Erbil) (Arabic), Hewler (Kurdish); As Sulaymaniyah (Arabic), Slemani (Kurdish); Babil; Baghdad; Dahuk (Arabic), Dihok (Kurdish); Dhi Qar; Diyala; Karbala'; Kirkuk; Kurdistan Regional Government*; Maysan; Ninawa; Salah ad Din; Wasit |
| Independence: | 3 October 1932 (from League of Nations mandate under British administration); note - on 28 June 2004 the Coalition Provisional Authority transferred sovereignty to the Iraqi Interim Government |
| National holiday: | Independence Day, 3 October (1932); Republic Day, 14 July (1958) |
| Constitution: | history: several previous; latest adopted by referendum 15 October 2005 |
| Constitution: | amendments: proposed by the president of the republic and the Council of Minsters collectively, or by one fifth of the Council of Representatives members; passage requires at least two-thirds majority vote by the Council of Representatives, approval by referendum, and ratification by the president; passage of amendments to articles on citizen rights and liberties requires two-thirds majority vote of Council of Representatives members after two successive electoral terms, approval in a referendum, and ratification by the president |
| Legal system: | mixed legal system of civil and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Iraq |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Barham SALIH (since 2 October 2018); vice presidents (vacant) |
| Executive branch: | head of government: Prime Minister Mustafa al-KADHIMI (since 7 May 2020) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, approved by Council of Representatives |
| Executive branch: | elections/appointments: president indirectly elected by Council of Representatives (COR) to serve a 4-year term (eligible for a second term);Â COR election last held on 12 May 2018 (next NA) |
| Executive branch: | election results: |
